,Country,Monthly_Sal_EUR,YearsCodePro
154,India,1399.1833333333334,7
205,India,899.475,1
509,India,9794.283333333333,10
554,India,6995.916666666666,1
595,India,1499.125,1
614,India,4997.083333333333,1
634,India,14991.25,2
655,India,18689.091666666667,7
745,India,3497.958333333333,1
779,India,4797.2,6
870,India,6396.266666666666,2
941,India,3997.6666666666665,4
956,India,7495.625,6
1176,India,12492.708333333332,6
1260,India,1499.125,4
1261,India,1499.125,1
1309,India,4297.491666666667,3
1331,India,9594.4,7
1355,India,3497.958333333333,1
1461,India,3997.6666666666665,1
1472,India,1499.125,2
1507,India,14991.25,9
1613,India,4997.083333333333,5
1654,India,3697.8416666666662,6
1675,India,19988.333333333332,4
1797,India,0.09994166666666666,4
2143,India,0.59965,1
2157,India,3997.6666666666665,2
2181,India,7495.625,3
2205,India,4797.2,4
2210,India,3497.958333333333,8
2260,India,8634.96,19
2300,India,3997.6666666666665,3
2377,India,499.7083333333333,1
2446,India,9994.166666666666,5
2456,India,1998.8333333333333,2
2468,India,6995.916666666666,7
2516,India,2498.5416666666665,6
2567,India,8994.75,7
2615,India,5496.791666666666,5
2642,India,6995.916666666666,1
2646,India,4997.083333333333,11
2712,India,3348.0458333333336,1
2812,India,1499.125,1
2988,India,999.4166666666666,1
3023,India,1199.3,1
3047,India,2998.25,3
3198,India,3398.016666666667,4
3203,India,1998.8333333333333,1
3253,India,2198.7166666666667,2
3266,India,2998.25,2
3300,India,2498.5416666666665,3
3498,India,3997.6666666666665,3
3503,India,899.475,1
3521,India,2998.25,6
3528,India,6995.916666666666,7
3555,India,999.4166666666666,2
3589,India,79.95333333333333,20
3639,India,2778.378333333333,2
3767,India,19488.625,6
3821,India,4997.083333333333,1
4245,India,12492.708333333332,5
4265,India,3797.7833333333333,6
4402,India,2598.483333333333,1
4460,India,11993.0,4
4481,India,6496.208333333333,7
4531,India,999.4166666666666,2
4560,India,3597.9,4
4637,India,4997.083333333333,2
4712,India,1499.125,9
4756,India,3997.6666666666665,3
4904,India,9594.4,1
5198,India,999.4166666666666,1
5231,India,4197.549999999999,4
5248,India,99.94166666666666,6
5352,India,4297.491666666667,4
5442,India,4997.083333333333,2
5563,India,13492.125,5
5759,India,4497.375,4
5842,India,9994.166666666666,8
5895,India,9994.166666666666,3
5967,India,2998.25,2
6055,India,7995.333333333333,4
6247,India,8295.158333333333,12
6295,India,4347.4625,3
6628,India,3348.0458333333336,2
7021,India,3298.075,2
7210,India,11993.0,5
7265,India,999.4166666666666,2
7313,India,2998.25,2
7383,India,4997.083333333333,7
7465,India,5996.5,5
7799,India,1998.8333333333333,1
8057,India,8328.438908333334,7
8058,India,6995.916666666666,4
8277,India,6995.916666666666,1
8301,India,17989.5,13
8833,India,14991.25,6
9310,India,6995.916666666666,4
9675,India,14991.25,12
9875,India,3997.6666666666665,3
9964,India,11993.0,19
10064,India,7195.8,6
10083,India,999.4166666666666,10
10169,India,3997.6666666666665,3
10174,India,499.7083333333333,4
10378,India,349.79583333333335,7
10472,India,1499.125,1
10590,India,3997.6666666666665,5
10654,India,7495.625,6
10655,India,14991.25,13
10707,India,7995.333333333333,8
10730,India,68.46004166666665,5
10763,India,9994.166666666666,12
10770,India,2998.25,2
10810,India,4497.375,5
10821,India,9494.458333333332,4
10855,India,3497.958333333333,5
10871,India,0.39976666666666666,1
10888,India,5396.85,4
10906,India,9994.166666666666,2
10983,India,999.4166666666666,1
10990,India,4797.2,5
11016,India,4997.083333333333,2
11050,India,17989.5,3
11067,India,10993.583333333332,16
11068,India,1499.125,3
11084,India,6696.091666666667,9
11094,India,4997.083333333333,5
11120,India,5496.791666666666,8
11135,India,8994.75,13
11142,India,1858.915,2
11162,India,6995.916666666666,4
11169,India,2698.425,2
11171,India,2998.25,3
11188,India,1998.8333333333333,2
11201,India,19988.333333333332,5
11240,India,999.4166666666666,2
11268,India,11993.0,5
11286,India,4497.375,4
11294,India,3198.133333333333,1
11318,India,3997.6666666666665,4
11339,India,3997.6666666666665,1
11347,India,2498.5416666666665,3
11389,India,10993.583333333332,1
11405,India,9994.166666666666,4
11408,India,2198.7166666666667,1
11432,India,4997.083333333333,9
11433,India,3298.075,2
11436,India,4517.363333333333,3
11439,India,5496.791666666666,6
11474,India,9994.166666666666,8
11481,India,6995.916666666666,4
11499,India,1798.95,2
11526,India,5996.5,4
11570,India,2398.6,2
11581,India,1.1993,5
11633,India,9994.166666666666,7
11647,India,3405.312408333333,1
11667,India,4997.083333333333,4
11679,India,9494.458333333332,5
11702,India,7495.625,4
11703,India,3997.6666666666665,4
11725,India,8794.866666666667,1
11726,India,2498.5416666666665,5
11800,India,18988.916666666664,7
11841,India,1499.125,1
11845,India,5196.966666666666,8
11847,India,9594.4,8
11875,India,6995.916666666666,12
11926,India,9994.166666666666,5
11946,India,12992.416666666666,10
11966,India,19988.333333333332,10
11982,India,1499.125,2
11995,India,1499.125,2
11996,India,9994.166666666666,14
12008,India,3497.958333333333,3
12011,India,3997.6666666666665,3
12034,India,4997.083333333333,3
12058,India,9994.166666666666,1
12088,India,9994.166666666666,8
12160,India,199.88333333333333,12
12166,India,239.86,9
12178,India,999.4166666666666,6
12223,India,1599.0666666666666,1
12236,India,5496.791666666666,7
12276,India,4797.2,1
12318,India,349.79583333333335,8
12407,India,19988.333333333332,6
12416,India,5996.5,6
12447,India,4997.083333333333,1
12452,India,5196.966666666666,2
12499,India,1748.9791666666665,3
12556,India,19988.333333333332,4
12569,India,99.94166666666666,4
12635,India,10993.583333333332,3
12695,India,1499.125,1
12720,India,17989.5,3
12742,India,6995.916666666666,1
12832,India,12992.416666666666,5
12962,India,10993.583333333332,14
12975,India,14791.366666666665,9
13011,India,1798.95,2
13038,India,1998.8333333333333,6
13060,India,3198.133333333333,3
13076,India,3847.7541666666666,6
13124,India,3198.133333333333,1
13203,India,19988.333333333332,2
13300,India,29.9825,1
13381,India,99.94166666666666,5
13462,India,4497.375,5
13472,India,2798.366666666667,2
13514,India,4997.083333333333,6
13551,India,4997.083333333333,3
13585,India,1499.125,1
13596,India,9994.166666666666,8
13659,India,4997.083333333333,7
13745,India,3098.1916666666666,2
13790,India,2498.5416666666665,1
13889,India,2198.7166666666667,4
13930,India,5996.5,5
13972,India,3997.6666666666665,4
13979,India,3497.958333333333,4
14000,India,12492.708333333332,5
14132,India,699.5916666666667,2
14247,India,2998.25,10
14334,India,799.5333333333333,1
14363,India,4997.083333333333,4
14401,India,14991.25,20
14402,India,6196.383333333333,2
14413,India,2498.5416666666665,3
14468,India,3997.6666666666665,2
14546,India,4997.083333333333,1
14557,India,14991.25,8
14624,India,9994.166666666666,5
14636,India,9994.166666666666,3
14663,India,12992.416666666666,5
14690,India,6995.916666666666,2
14782,India,5996.5,3
14814,India,18988.916666666664,1
14815,India,2998.25,5
14846,India,1998.8333333333333,1
14907,India,18988.916666666664,1
14918,India,9994.166666666666,6
14959,India,7995.333333333333,5
15047,India,2198.7166666666667,1
15053,India,6995.916666666666,6
15057,India,9994.166666666666,7
15071,India,2198.7166666666667,2
15086,India,2598.483333333333,2
15199,India,6995.916666666666,5
15239,India,1998.8333333333333,1
15296,India,3378.0283333333336,1
15335,India,2998.25,6
15338,India,8325.140833333333,5
15339,India,6995.916666666666,2
15341,India,3997.6666666666665,6
15351,India,2998.25,3
15363,India,19988.333333333332,2
15391,India,2.9982499999999996,3
15433,India,1199.3,17
15584,India,1798.95,3
15701,India,1998.8333333333333,2
15711,India,4497.375,3
15732,India,2498.5416666666665,1
15739,India,9994.166666666666,1
15810,India,5496.791666666666,2
15903,India,999.4166666666666,1
15990,India,11993.0,6
16000,India,1998.8333333333333,3
16004,India,2998.25,2
16045,India,2998.25,3
16083,India,7271.6557250000005,4
16100,India,17989.5,2
16205,India,2498.5416666666665,3
16219,India,9994.166666666666,4
16221,India,2098.7749999999996,8
16266,India,2498.5416666666665,2
16270,India,4997.083333333333,12
16328,India,6995.916666666666,5
16373,India,4997.083333333333,6
16377,India,4497.375,2
16440,India,2498.5416666666665,1
16597,India,6496.208333333333,8
16627,India,5996.5,4
16633,India,7995.333333333333,10
16679,India,1998.8333333333333,4
16734,India,10993.583333333332,9
16748,India,3497.958333333333,2
16824,India,2798.366666666667,1
16838,India,9994.166666666666,11
