,Country,Monthly_Sal_EUR,YearsCodePro
4658,Iran,99.94166666666666,10
5609,Iran,9.994166666666667,14
6625,Iran,149.9125,6
8449,Iran,2998.25,3
10659,Iran,4997.083333333333,3
11208,Iran,9.994166666666667,3
14381,Iran,109.93583333333333,16
18044,Iran,3997.6666666666665,7
29483,Iran,129.92416666666668,6
36103,Iran,999.4166666666666,5
39298,Iran,119.93,6
40902,Iran,949.4458333333333,12
49188,Iran,199.88333333333333,15
49336,Iran,599.65,11
50594,Iran,999.4166666666666,6
52497,Iran,39.97666666666667,3
53784,Iran,4.997083333333333,16
57674,Iran,1099.3583333333333,6
58894,Iran,249.85416666666666,10
67117,Iran,1499.125,6
68121,Iran,299.825,8
68916,Iran,99.94166666666666,10
74588,Iran,39.97666666666667,8
76003,Iran,25.685008333333332,8
81377,Iran,499.7083333333333,7
81397,Iran,59.965,5
