,Country,Monthly_Sal_EUR,YearsCodePro
1957,Ireland,5824.372759856633,18.0
3825,Ireland,4032.258064516125,9.0
4570,Ireland,5555.555555555558,10.0
4788,Ireland,5824.372759856633,20.0
4924,Ireland,3136.200716845875,4.0
4989,Ireland,6720.430107526883,14.0
5134,Ireland,5824.372759856633,6.0
6114,Ireland,10752.688172043,20.0
6666,Ireland,8288.530465949816,6.0
9500,Ireland,4390.681003584234,17.0
9519,Ireland,2867.3835125447995,2.0
9948,Ireland,6451.612903225808,12.0
9951,Ireland,5376.344086021508,3.0
11550,Ireland,7616.487455197133,9.0
12411,Ireland,8512.544802867416,11.0
12519,Ireland,6272.401433691758,9.0
13623,Ireland,3512.5448028673836,4.0
13775,Ireland,3136.200716845875,6.0
13807,Ireland,1792.1146953404998,2.0
13934,Ireland,6003.5842293906835,4.0
13978,Ireland,4301.0752688172,3.0
14144,Ireland,5376.344086021508,9.0
14346,Ireland,4480.2867383512585,3.0
14420,Ireland,10752.688172043,9.0
15517,Ireland,4032.258064516125,4.0
15661,Ireland,4928.315412186383,6.0
17644,Ireland,6272.401433691758,17.0
18014,Ireland,7168.458781362007,12.0
18528,Ireland,3584.2293906809996,4.0
18538,Ireland,9856.630824372749,3.0
18747,Ireland,7526.8817204301085,5.0
18908,Ireland,5107.526881720433,9.0
21972,Ireland,8064.5161290322585,6.0
22076,Ireland,2688.17204301075,2.0
22718,Ireland,5555.555555555558,8.0
25232,Ireland,2777.7777777777746,1.0
25253,Ireland,4211.469534050175,4.0
25889,Ireland,3118.279569892475,2.0
26313,Ireland,6339.605734767025,19.0
26609,Ireland,5824.372759856633,6.0
27232,Ireland,5645.161290322583,13.0
27347,Ireland,3763.4408602150497,3.0
28130,Ireland,5824.372759856633,16.0
28672,Ireland,6272.401433691758,20.0
28765,Ireland,9856.630824372749,20.0
28915,Ireland,2680.173958333333,1.0
28936,Ireland,6720.430107526883,20.0
29151,Ireland,3405.01792114695,2.0
29860,Ireland,8960.573476702499,20.0
30317,Ireland,2473.1182795698915,2.0
30668,Ireland,4480.2867383512585,5.0
31127,Ireland,3942.6523297490994,3.0
31516,Ireland,6451.612903225808,6.0
32066,Ireland,6193.996415770607,6.0
34351,Ireland,4480.2867383512585,7.0
35313,Ireland,4032.258064516125,3.0
35503,Ireland,5376.344086021508,3.0
35591,Ireland,5555.555555555558,7.0
36135,Ireland,4928.315412186383,5.0
37767,Ireland,4301.0752688172,11.0
37785,Ireland,5376.344086021508,20.0
38551,Ireland,6810.035842293908,20.0
38689,Ireland,6720.430107526883,8.0
38872,Ireland,4032.258064516125,8.0
40160,Ireland,4301.0752688172,4.0
40710,Ireland,6720.430107526883,20.0
43100,Ireland,3369.1756272401417,2.0
43331,Ireland,8064.5161290322585,9.0
43432,Ireland,2150.5376344086,3.0
43452,Ireland,5824.372759856633,7.0
43716,Ireland,6451.612903225808,6.0
43863,Ireland,6451.612903225808,5.0
44610,Ireland,5376.344086021508,14.0
44994,Ireland,4569.892473118274,9.0
45152,Ireland,7168.458781362007,9.0
45704,Ireland,4480.2867383512585,5.0
45912,Ireland,4.032258064516125,4.0
46452,Ireland,6003.5842293906835,5.0
47973,Ireland,5376.344086021508,16.0
49727,Ireland,4032.258064516125,4.0
49958,Ireland,5197.132616487458,12.0
50039,Ireland,4211.469534050175,4.0
50222,Ireland,5824.372759856633,4.0
50702,Ireland,3808.2437275985667,2.0
50923,Ireland,5197.132616487458,5.0
