,Country,Monthly_Sal_EUR,EdLevel
305,Ireland,4997.083333333333,Bachelor's degree
536,Ireland,13991.833333333332,Doctoral degree
827,Ireland,13991.833333333332,Master's degree
898,Ireland,10094.108333333334,Doctoral degree
1368,Ireland,13991.833333333332,college/university without bachelor's degree
1537,Ireland,8994.75,Master's degree
2864,Ireland,437.24479166666663,Bachelor's degree
3119,Ireland,4997.083333333333,Associate degree
3551,Ireland,14991.25,Doctoral degree
3713,Ireland,272.3410416666667,Bachelor's degree
3941,Ireland,8994.75,Bachelor's degree
4035,Ireland,1199.3,Bachelor's degree
4290,Ireland,6496.208333333333,Bachelor's degree
4603,Ireland,449.7375,Doctoral degree
5065,Ireland,7995.333333333333,Bachelor's degree
6911,Ireland,15490.958333333332,Doctoral degree
7052,Ireland,6496.208333333333,Bachelor's degree
7783,Ireland,3198.133333333333,Bachelor's degree
8160,Ireland,4997.083333333333,Associate degree
8310,Ireland,4722.24375,Master's degree
8575,Ireland,5996.5,Bachelor's degree
8747,Ireland,3797.7833333333333,Bachelor's degree
8776,Ireland,4197.549999999999,Master's degree
8938,Ireland,9.994166666666667,Bachelor's degree
9022,Ireland,7795.450000000001,Doctoral degree
9149,Ireland,4497.375,Bachelor's degree
9253,Ireland,7995.333333333333,Master's degree
9426,Ireland,6496.208333333333,Bachelor's degree
9772,Ireland,4997.083333333333,Bachelor's degree
9804,Ireland,7995.333333333333,Master's degree
10061,Ireland,4097.608333333334,Bachelor's degree
10332,Ireland,5996.5,college/university without bachelor's degree
10465,Ireland,999.4166666666666,Master's degree
10812,Ireland,10493.875,college/university without bachelor's degree
11187,Ireland,3797.7833333333333,Bachelor's degree
11208,Ireland,6696.091666666667,Master's degree
11622,Ireland,7195.8,Bachelor's degree
11667,Ireland,10993.583333333332,Associate degree
12231,Ireland,5196.966666666666,Master's degree
12783,Ireland,7995.333333333333,Secondary school
12940,Ireland,249.85416666666666,Secondary school
12952,Ireland,9244.604166666666,college/university without bachelor's degree
12978,Ireland,6995.916666666666,Bachelor's degree
13005,Ireland,9994.166666666666,Bachelor's degree
13132,Ireland,4297.491666666667,Bachelor's degree
13287,Ireland,2998.25,college/university without bachelor's degree
13292,Ireland,5996.5,Associate degree
13322,Ireland,12992.416666666666,Master's degree
13356,Ireland,6496.208333333333,Bachelor's degree
13420,Ireland,9994.166666666666,Bachelor's degree
13435,Ireland,19888.391666666666,college/university without bachelor's degree
13521,Ireland,6496.208333333333,Master's degree
13773,Ireland,8594.983333333334,Secondary school
13868,Ireland,12492.708333333332,Bachelor's degree
14002,Ireland,14991.25,Master's degree
14043,Ireland,4497.375,Bachelor's degree
14084,Ireland,5996.5,Master's degree
14124,Ireland,6496.208333333333,Master's degree
14159,Ireland,6596.15,Master's degree
14191,Ireland,9994.166666666666,Bachelor's degree
14206,Ireland,3298.075,college/university without bachelor's degree
14663,Ireland,3997.6666666666665,Bachelor's degree
14920,Ireland,4497.375,Bachelor's degree
14976,Ireland,4997.083333333333,Doctoral degree
15078,Ireland,8994.75,Bachelor's degree
15103,Ireland,3997.6666666666665,Bachelor's degree
15311,Ireland,3497.958333333333,Bachelor's degree
15407,Ireland,4197.549999999999,Master's degree
15561,Ireland,2998.25,Bachelor's degree
15731,Ireland,5596.733333333334,Bachelor's degree
15846,Ireland,699.5916666666667,Bachelor's degree
16027,Ireland,4197.549999999999,college/university without bachelor's degree
16135,Ireland,4997.083333333333,college/university without bachelor's degree
16152,Ireland,3947.695833333333,Master's degree
16165,Ireland,5396.85,Master's degree
16180,Ireland,3797.7833333333333,Bachelor's degree
16399,Ireland,4997.083333333333,Bachelor's degree
16493,Ireland,6496.208333333333,Bachelor's degree
16530,Ireland,483.018075,Bachelor's degree
16834,Ireland,499.7083333333333,Bachelor's degree
16877,Ireland,7395.6833333333325,Bachelor's degree
16888,Ireland,2798.366666666667,Bachelor's degree
16917,Ireland,4322.477083333333,Bachelor's degree
17055,Ireland,3997.6666666666665,Bachelor's degree
17273,Ireland,11993.0,Master's degree
17378,Ireland,8594.983333333334,college/university without bachelor's degree
17407,Ireland,5596.733333333334,Bachelor's degree
17415,Ireland,4697.258333333333,Master's degree
17477,Ireland,2798.366666666667,Master's degree
17720,Ireland,5996.5,Master's degree
17734,Ireland,274.83958333333334,Bachelor's degree
17998,Ireland,6746.0625,Associate degree
18133,Ireland,6496.208333333333,Secondary school
18230,Ireland,4797.2,Bachelor's degree
18327,Ireland,6995.916666666666,Bachelor's degree
18349,Ireland,7595.566666666667,Master's degree
18471,Ireland,6496.208333333333,Bachelor's degree
18517,Ireland,7995.333333333333,Associate degree
18534,Ireland,7295.741666666667,Bachelor's degree
18668,Ireland,4497.375,Bachelor's degree
18755,Ireland,6696.091666666667,Master's degree
18799,Ireland,9994.166666666666,Professional degree
18887,Ireland,19988.333333333332,Bachelor's degree
18923,Ireland,5996.5,Master's degree
19000,Ireland,10693.758333333333,Bachelor's degree
19112,Ireland,10993.583333333332,Bachelor's degree
19127,Ireland,5496.791666666666,Master's degree
19240,Ireland,5996.5,Master's degree
19275,Ireland,15391.016666666666,Bachelor's degree
19314,Ireland,3078.2033333333334,Associate degree
19374,Ireland,7220.785416666667,Master's degree
19377,Ireland,3697.8416666666662,Master's degree
19493,Ireland,6887.579900000001,Master's degree
19524,Ireland,6196.383333333333,Doctoral degree
19600,Ireland,11493.291666666666,Bachelor's degree
19701,Ireland,5996.5,Bachelor's degree
20245,Ireland,144.91541666666666,Bachelor's degree
20730,Ireland,3497.958333333333,Bachelor's degree
20785,Ireland,7495.625,Master's degree
20796,Ireland,16990.083333333332,Bachelor's degree
21123,Ireland,5696.675,Bachelor's degree
21147,Ireland,399.76666666666665,Bachelor's degree
21272,Ireland,5496.791666666666,Bachelor's degree
21548,Ireland,3697.8416666666662,Master's degree
22032,Ireland,6496.208333333333,Master's degree
22233,Ireland,6496.208333333333,Bachelor's degree
22293,Ireland,3997.6666666666665,Associate degree
22506,Ireland,5496.791666666666,Master's degree
22603,Ireland,7495.625,college/university without bachelor's degree
22652,Ireland,3997.6666666666665,Bachelor's degree
22819,Ireland,4197.549999999999,Bachelor's degree
22946,Ireland,8495.041666666666,college/university without bachelor's degree
22977,Ireland,3797.7833333333333,Bachelor's degree
22979,Ireland,3298.075,Master's degree
23442,Ireland,11993.0,Master's degree
23504,Ireland,13991.833333333332,Master's degree
23541,Ireland,7495.625,Bachelor's degree
23691,Ireland,8994.75,college/university without bachelor's degree
23899,Ireland,199.88333333333333,Master's degree
23956,Ireland,4997.083333333333,Bachelor's degree
23983,Ireland,9194.633333333333,Master's degree
24003,Ireland,7495.625,Bachelor's degree
24031,Ireland,7995.333333333333,Bachelor's degree
24554,Ireland,270.6420333333333,Bachelor's degree
24598,Ireland,13991.833333333332,Bachelor's degree
24658,Ireland,3497.958333333333,Bachelor's degree
24821,Ireland,6496.208333333333,college/university without bachelor's degree
24857,Ireland,9494.458333333332,Bachelor's degree
24897,Ireland,6995.916666666666,Bachelor's degree
24905,Ireland,7495.625,Secondary school
25257,Ireland,5496.791666666666,Bachelor's degree
25568,Ireland,6496.208333333333,Master's degree
25772,Ireland,10493.875,Bachelor's degree
25983,Ireland,5996.5,Master's degree
26148,Ireland,8295.158333333333,Bachelor's degree
26902,Ireland,7995.333333333333,Master's degree
27080,Ireland,8095.275,Bachelor's degree
27294,Ireland,7495.625,Bachelor's degree
27461,Ireland,9194.633333333333,Master's degree
27498,Ireland,4047.6375,Bachelor's degree
27599,Ireland,5196.966666666666,Bachelor's degree
27910,Ireland,9994.166666666666,Master's degree
28028,Ireland,3997.6666666666665,Master's degree
28770,Ireland,9994.166666666666,Bachelor's degree
29013,Ireland,7595.566666666667,Secondary school
29328,Ireland,3497.958333333333,Associate degree
29377,Ireland,3997.6666666666665,Bachelor's degree
29456,Ireland,449.7375,Doctoral degree
29945,Ireland,4397.433333333333,Bachelor's degree
30698,Ireland,5996.5,Bachelor's degree
30827,Ireland,7395.6833333333325,college/university without bachelor's degree
31126,Ireland,2998.25,Master's degree
31390,Ireland,3298.075,Master's degree
31520,Ireland,4597.316666666667,Professional degree
32200,Ireland,6296.325000000001,Bachelor's degree
32216,Ireland,4997.083333333333,Master's degree
32244,Ireland,5696.675,Bachelor's degree
32280,Ireland,9924.2075,Bachelor's degree
33232,Ireland,18489.208333333332,Master's degree
33303,Ireland,4497.375,Bachelor's degree
33378,Ireland,2998.25,Master's degree
34218,Ireland,6995.916666666666,Bachelor's degree
34224,Ireland,7495.625,Master's degree
34237,Ireland,3198.133333333333,Bachelor's degree
34244,Ireland,3198.133333333333,Bachelor's degree
34259,Ireland,8245.1875,Master's degree
34276,Ireland,5996.5,Bachelor's degree
34285,Ireland,3787.7891666666665,Bachelor's degree
34918,Ireland,8994.75,Master's degree
35015,Ireland,5996.5,Bachelor's degree
35206,Ireland,6396.266666666666,college/university without bachelor's degree
35443,Ireland,4647.2875,Bachelor's degree
35479,Ireland,7495.625,Bachelor's degree
35699,Ireland,4097.608333333334,Bachelor's degree
35707,Ireland,3497.958333333333,Bachelor's degree
35815,Ireland,7695.508333333333,college/university without bachelor's degree
37169,Ireland,5996.5,Doctoral degree
37228,Ireland,329.8075,Bachelor's degree
37802,Ireland,7995.333333333333,Master's degree
38018,Ireland,6496.208333333333,Master's degree
38103,Ireland,3957.6899999999996,Bachelor's degree
38341,Ireland,6496.208333333333,Bachelor's degree
38616,Ireland,2598.483333333333,Bachelor's degree
39275,Ireland,3497.958333333333,Bachelor's degree
39382,Ireland,5496.791666666666,Master's degree
40073,Ireland,9494.458333333332,Bachelor's degree
40101,Ireland,3248.1041666666665,Bachelor's degree
40112,Ireland,4997.083333333333,Master's degree
40129,Ireland,3897.7250000000004,Bachelor's degree
41147,Ireland,2848.3375,Bachelor's degree
41497,Ireland,5496.791666666666,Bachelor's degree
41698,Ireland,5996.5,Bachelor's degree
41729,Ireland,5996.5,Bachelor's degree
41799,Ireland,1049.3874999999998,Master's degree
41970,Ireland,7495.625,Master's degree
42142,Ireland,6196.383333333333,Bachelor's degree
42602,Ireland,8495.041666666666,Bachelor's degree
43844,Ireland,13492.125,Bachelor's degree
43919,Ireland,5196.966666666666,Bachelor's degree
43991,Ireland,4397.433333333333,Master's degree
44025,Ireland,8495.041666666666,Bachelor's degree
44139,Ireland,3997.6666666666665,Bachelor's degree
44171,Ireland,7995.333333333333,Master's degree
44545,Ireland,5996.5,Master's degree
44598,Ireland,11993.0,Doctoral degree
44611,Ireland,4997.083333333333,Bachelor's degree
44627,Ireland,199.88333333333333,Bachelor's degree
44667,Ireland,10493.875,Master's degree
44730,Ireland,10593.816666666666,Bachelor's degree
44942,Ireland,3997.6666666666665,Master's degree
45266,Ireland,249.85416666666666,Master's degree
45533,Ireland,11993.0,college/university without bachelor's degree
45550,Ireland,5196.966666666666,Bachelor's degree
45642,Ireland,3997.6666666666665,Bachelor's degree
46151,Ireland,11993.0,college/university without bachelor's degree
46440,Ireland,5996.5,Master's degree
46535,Ireland,3398.016666666667,Master's degree
46598,Ireland,6586.155833333332,Master's degree
48023,Ireland,3198.133333333333,Bachelor's degree
48478,Ireland,3497.958333333333,Master's degree
50435,Ireland,7795.450000000001,Bachelor's degree
50519,Ireland,4997.083333333333,Bachelor's degree
50621,Ireland,3797.7833333333333,Doctoral degree
50649,Ireland,9994.166666666666,No formal education
50671,Ireland,10493.875,Doctoral degree
50758,Ireland,17989.5,Bachelor's degree
51793,Ireland,7995.333333333333,Bachelor's degree
51864,Ireland,7495.625,Doctoral degree
51951,Ireland,4512.36625,Bachelor's degree
51968,Ireland,7245.770833333333,college/university without bachelor's degree
51974,Ireland,3398.016666666667,Bachelor's degree
53349,Ireland,299.825,Professional degree
54895,Ireland,5097.025,Bachelor's degree
55269,Ireland,6496.208333333333,Master's degree
55315,Ireland,5496.791666666666,Master's degree
55360,Ireland,5196.966666666666,Bachelor's degree
55393,Ireland,13991.833333333332,Master's degree
55665,Ireland,8495.041666666666,Doctoral degree
55715,Ireland,9994.166666666666,Bachelor's degree
55853,Ireland,6496.208333333333,Master's degree
55984,Ireland,4197.549999999999,Bachelor's degree
56441,Ireland,14991.25,Master's degree
56579,Ireland,3797.7833333333333,Bachelor's degree
56685,Ireland,4897.141666666666,Master's degree
57124,Ireland,5996.5,Bachelor's degree
57561,Ireland,11993.0,college/university without bachelor's degree
57751,Ireland,4497.375,college/university without bachelor's degree
58437,Ireland,2998.25,Bachelor's degree
58740,Ireland,6096.441666666667,Bachelor's degree
59111,Ireland,6596.15,Bachelor's degree
59117,Ireland,1212.3923583333333,Master's degree
59189,Ireland,2998.25,Bachelor's degree
59913,Ireland,769.5508333333333,Master's degree
60010,Ireland,7995.333333333333,Secondary school
61060,Ireland,8994.75,college/university without bachelor's degree
61193,Ireland,2998.25,Bachelor's degree
61489,Ireland,8495.041666666666,college/university without bachelor's degree
61507,Ireland,5246.9375,Master's degree
61726,Ireland,6796.033333333334,Master's degree
