,Country,Monthly_Sal_EUR,YearsCodePro
23,Israel,799.5333333333333,1
274,Israel,2398.6,3
326,Israel,2998.25,5
332,Israel,2598.483333333333,3
397,Israel,2898.3083333333334,10
562,Israel,623.636,1
688,Israel,1299.2416666666666,4
836,Israel,2338.6349999999998,3
852,Israel,1798.95,6
1459,Israel,1848.9208333333331,1
1677,Israel,1998.8333333333333,3
1833,Israel,2698.425,3
1843,Israel,3398.016666666667,20
1950,Israel,2998.25,15
1993,Israel,3398.016666666667,12
2072,Israel,1199.3,10
2435,Israel,3747.8125,15
2551,Israel,2498.5416666666665,6
2840,Israel,2298.6583333333333,6
2995,Israel,2298.6583333333333,3
3031,Israel,1499.125,2
3048,Israel,2998.25,5
3402,Israel,1798.95,2
3569,Israel,2098.7749999999996,3
3828,Israel,1099.3583333333333,1
4002,Israel,2698.425,6
4560,Israel,2598.483333333333,6
4623,Israel,1574.0812500000002,4
4661,Israel,2898.3083333333334,6
5024,Israel,3298.075,10
5226,Israel,3198.133333333333,15
5248,Israel,1998.8333333333333,10
5671,Israel,3497.958333333333,7
5705,Israel,2998.25,15
5762,Israel,3098.1916666666666,6
5810,Israel,1748.9791666666665,7
6185,Israel,2998.25,18
6202,Israel,2998.25,7
6209,Israel,3497.958333333333,5
6318,Israel,1649.0375,3
6359,Israel,1099.3583333333333,17
6461,Israel,3597.9,10
7012,Israel,699.5916666666667,1
7327,Israel,3198.133333333333,25
7492,Israel,3797.7833333333333,15
7538,Israel,2998.25,10
7770,Israel,3797.7833333333333,22
7829,Israel,2498.5416666666665,3
8065,Israel,2398.6,3
8292,Israel,2998.25,30
8746,Israel,949.4458333333333,1
8776,Israel,5996.5,15
9276,Israel,2898.3083333333334,7
9382,Israel,2798.366666666667,22
9419,Israel,1998.8333333333333,2
9648,Israel,1449.1541666666667,1
10119,Israel,3198.133333333333,10
10261,Israel,2498.5416666666665,3
10367,Israel,2898.3083333333334,10
10443,Israel,2698.425,5
10517,Israel,3497.958333333333,17
10649,Israel,1998.8333333333333,7
10664,Israel,2848.3375,8
11230,Israel,899.475,1
11268,Israel,1499.125,23
11293,Israel,2998.25,6
11310,Israel,2748.395833333333,7
11387,Israel,3997.6666666666665,7
11479,Israel,369.78416666666664,4
11630,Israel,2598.483333333333,8
11637,Israel,2998.25,5
11730,Israel,3847.7541666666666,14
11823,Israel,3497.958333333333,18
12058,Israel,9994.166666666666,7
12131,Israel,149.9125,14
12478,Israel,1199.3,10
12566,Israel,3198.133333333333,12
13153,Israel,1199.3,3
13416,Israel,1499.125,5
13462,Israel,3198.133333333333,11
13768,Israel,4197.549999999999,10
14060,Israel,1798.95,2
14071,Israel,499.7083333333333,27
14184,Israel,1199.3,4
14262,Israel,3882.73375,15
14638,Israel,59.965,2
14901,Israel,2898.3083333333334,10
15271,Israel,1998.8333333333333,1
15322,Israel,3298.075,5
15517,Israel,4697.258333333333,16
15545,Israel,2098.7749999999996,3
15552,Israel,2998.25,10
15709,Israel,1888.8975,3
15839,Israel,3797.7833333333333,9
15977,Israel,2498.5416666666665,5
16711,Israel,2198.7166666666667,11
17027,Israel,3997.6666666666665,8
17049,Israel,2798.366666666667,12
17280,Israel,4497.375,8
17505,Israel,3398.016666666667,23
17640,Israel,2598.483333333333,3
17826,Israel,999.4166666666666,4
18000,Israel,529.6908333333333,1
18101,Israel,3797.7833333333333,12
18200,Israel,2798.366666666667,11
18450,Israel,1599.0666666666666,1
18472,Israel,899.475,1
18742,Israel,4497.375,6
18774,Israel,779.5450000000001,9
18883,Israel,824.51875,3
19083,Israel,2998.25,5
19386,Israel,2698.425,4
20108,Israel,2498.5416666666665,4
20258,Israel,3398.016666666667,8
20611,Israel,3248.1041666666665,7
20625,Israel,3497.958333333333,10
20993,Israel,3797.7833333333333,19
21086,Israel,2398.6,8
21113,Israel,3098.1916666666666,20
21183,Israel,2361.121875,8
21292,Israel,1679.02,1
21450,Israel,1499.125,17
21482,Israel,2598.483333333333,8
21654,Israel,2298.6583333333333,25
21790,Israel,3497.958333333333,4
21905,Israel,2798.366666666667,6
21935,Israel,2798.366666666667,15
21939,Israel,1299.2416666666666,2
21981,Israel,2398.6,7
22238,Israel,999.4166666666666,5
22411,Israel,3497.958333333333,8
22513,Israel,829.5158333333334,9
22525,Israel,3198.133333333333,9
22634,Israel,4997.083333333333,24
22682,Israel,799.5333333333333,4
22948,Israel,1299.2416666666666,7
23120,Israel,1898.8916666666667,5
23134,Israel,2298.6583333333333,40
23308,Israel,3198.133333333333,8
23399,Israel,3997.6666666666665,10
23690,Israel,2698.425,12
23813,Israel,1499.125,18
23978,Israel,5896.5583333333325,8
24138,Israel,4497.375,20
24187,Israel,4297.491666666667,7
24390,Israel,2698.425,4
24555,Israel,2998.25,4
24753,Israel,3997.6666666666665,15
24764,Israel,3497.958333333333,8
24801,Israel,2148.7458333333334,7
24899,Israel,1299.2416666666666,1
25093,Israel,2298.6583333333333,4
25432,Israel,3398.016666666667,5
25595,Israel,389.77250000000004,2
26071,Israel,6496.208333333333,2
26700,Israel,599.65,2
26761,Israel,2998.25,2
26973,Israel,3098.1916666666666,5
27031,Israel,1099.3583333333333,1
27633,Israel,1199.3,3
27728,Israel,79.95333333333333,2
27752,Israel,2998.25,10
27765,Israel,2023.81875,2
27792,Israel,799.5333333333333,2
27892,Israel,899.475,3
27919,Israel,2848.3375,6
27974,Israel,1199.3,2
28065,Israel,2798.366666666667,6
28198,Israel,2698.425,2
28228,Israel,3398.016666666667,16
28548,Israel,1898.8916666666667,1
28733,Israel,1469.1425,20
28922,Israel,2598.483333333333,4
28984,Israel,2398.6,6
29199,Israel,2828.349166666667,8
29515,Israel,2998.25,13
30041,Israel,3298.075,7
30126,Israel,3497.958333333333,6
30177,Israel,1199.3,3
30243,Israel,2848.3375,6
30278,Israel,1748.9791666666665,5
30621,Israel,2998.25,7
30758,Israel,2798.366666666667,3
30914,Israel,3238.1099999999997,15
31094,Israel,1998.8333333333333,3
31206,Israel,3947.695833333333,7
31417,Israel,2598.483333333333,18
31470,Israel,15990.666666666666,10
32003,Israel,3298.075,2
32028,Israel,2798.366666666667,6
32059,Israel,2898.3083333333334,5
32188,Israel,2498.5416666666665,3
32236,Israel,2398.6,3
32525,Israel,2498.5416666666665,7
33052,Israel,3697.8416666666662,20
33225,Israel,1998.8333333333333,15
33409,Israel,2698.425,8
33576,Israel,4497.375,14
33902,Israel,1998.8333333333333,4
33938,Israel,699.5916666666667,4
34024,Israel,999.4166666666666,2
34025,Israel,3497.958333333333,17
34161,Israel,1499.125,2
34264,Israel,2998.25,15
34326,Israel,4696.358858333333,13
34451,Israel,5196.966666666666,9
34510,Israel,1898.8916666666667,4
34868,Israel,2298.6583333333333,9
34899,Israel,2998.25,12
34955,Israel,699.5916666666667,14
35063,Israel,299.825,2
35281,Israel,3797.7833333333333,12
35481,Israel,999.4166666666666,1
35617,Israel,4497.375,25
35839,Israel,249.85416666666666,1
35845,Israel,1549.0958333333333,7
36053,Israel,2998.25,17
36738,Israel,1599.0666666666666,5
36833,Israel,1699.0083333333334,3
36969,Israel,2698.425,11
37026,Israel,3497.958333333333,4
37498,Israel,1499.125,2
37856,Israel,2998.25,7
38105,Israel,1699.0083333333334,2
38128,Israel,3497.958333333333,6
38171,Israel,2998.25,11
38265,Israel,2298.6583333333333,6
38609,Israel,3248.1041666666665,6
39314,Israel,3497.958333333333,10
40094,Israel,2498.5416666666665,11
40282,Israel,2148.7458333333334,4
40421,Israel,1748.9791666666665,5
40658,Israel,3098.1916666666666,8
40685,Israel,3298.075,6
40768,Israel,669.6091666666666,19
41056,Israel,9994.166666666666,10
41328,Israel,1059.3816666666667,5
41576,Israel,2798.366666666667,5
41604,Israel,4497.375,4
41635,Israel,999.4166666666666,1
41707,Israel,4497.375,15
41807,Israel,1149.3291666666667,1
42045,Israel,849.5041666666667,1
42181,Israel,399.76666666666665,1
42209,Israel,3997.6666666666665,15
42454,Israel,2898.3083333333334,6
42595,Israel,3298.075,8
42644,Israel,3398.016666666667,11
42868,Israel,2498.5416666666665,15
42911,Israel,699.5916666666667,1
42978,Israel,1978.8449999999998,2
42993,Israel,1399.1833333333334,1
43080,Israel,899.475,2
43124,Israel,66.56115,8
43147,Israel,3897.7250000000004,5
43707,Israel,3997.6666666666665,5
43864,Israel,1399.1833333333334,2
43944,Israel,2698.425,20
43949,Israel,99.94166666666666,1
44235,Israel,2798.366666666667,5
44353,Israel,299.825,4
44523,Israel,1099.3583333333333,9
44682,Israel,3497.958333333333,16
44721,Israel,3597.9,13
44810,Israel,849.5041666666667,1
45399,Israel,999.4166666666666,6
45559,Israel,1898.8916666666667,1
45687,Israel,2898.3083333333334,15
45725,Israel,3098.1916666666666,11
45733,Israel,1299.2416666666666,2
45962,Israel,2398.6,4
46310,Israel,2998.25,6
46624,Israel,2598.483333333333,4
46720,Israel,4097.608333333334,20
46772,Israel,3697.8416666666662,9
46853,Israel,3997.6666666666665,10
47155,Israel,1699.0083333333334,20
47251,Israel,2698.425,7
47261,Israel,999.4166666666666,6
47363,Israel,2248.6875,3
47760,Israel,4997.083333333333,26
48011,Israel,3797.7833333333333,22
48075,Israel,3997.6666666666665,19
48186,Israel,3497.958333333333,6
48477,Israel,2498.5416666666665,4
48662,Israel,2348.6291666666666,5
48683,Israel,4497.375,4
48748,Israel,3298.075,7
48784,Israel,2498.5416666666665,4
