,Country,Monthly_Sal_EUR,EdLevel
37,Italy,8994.75,Bachelor's degree
207,Italy,1998.8333333333333,college/university without bachelor's degree
445,Italy,2998.25,Master's degree
565,Italy,3497.958333333333,Master's degree
597,Italy,134.92125,college/university without bachelor's degree
619,Italy,299.825,college/university without bachelor's degree
768,Italy,4497.375,Secondary school
889,Italy,2498.5416666666665,Secondary school
1016,Italy,6995.916666666666,Secondary school
1071,Italy,139.91833333333332,Secondary school
1287,Italy,1898.8916666666667,Master's degree
1413,Italy,9994.166666666666,Master's degree
2124,Italy,219.87166666666667,college/university without bachelor's degree
2147,Italy,3198.133333333333,college/university without bachelor's degree
2881,Italy,2898.3083333333334,Master's degree
3393,Italy,2598.483333333333,Secondary school
3486,Italy,4997.083333333333,college/university without bachelor's degree
3648,Italy,4997.083333333333,Bachelor's degree
3796,Italy,2798.366666666667,Bachelor's degree
3958,Italy,2.3986,Bachelor's degree
4189,Italy,2298.6583333333333,Bachelor's degree
4201,Italy,149.9125,Associate degree
4398,Italy,4297.491666666667,Associate degree
4429,Italy,5196.966666666666,college/university without bachelor's degree
4587,Italy,3797.7833333333333,Bachelor's degree
4699,Italy,4697.258333333333,Master's degree
4839,Italy,6995.916666666666,Master's degree
4853,Italy,4.997083333333333,college/university without bachelor's degree
6195,Italy,149.9125,college/university without bachelor's degree
6658,Italy,249.85416666666666,Master's degree
6757,Italy,5496.791666666666,Master's degree
6853,Italy,5496.791666666666,Master's degree
7240,Italy,174.89791666666667,Secondary school
7439,Italy,3106.8865916666664,Doctoral degree
7479,Italy,169.9008333333333,Secondary school
7509,Italy,4497.375,Master's degree
7533,Italy,4997.083333333333,college/university without bachelor's degree
7573,Italy,3497.958333333333,Master's degree
7623,Italy,3298.075,Bachelor's degree
7627,Italy,159.90666666666667,Secondary school
7661,Italy,159.90666666666667,Secondary school
7665,Italy,4797.2,Bachelor's degree
7690,Italy,134.92125,college/university without bachelor's degree
7691,Italy,7695.508333333333,Master's degree
7709,Italy,174.89791666666667,Doctoral degree
7729,Italy,114.93291666666666,college/university without bachelor's degree
7881,Italy,3797.7833333333333,Master's degree
7969,Italy,4997.083333333333,Bachelor's degree
8029,Italy,3997.6666666666665,Bachelor's degree
8094,Italy,219.87166666666667,Master's degree
8099,Italy,3497.958333333333,Bachelor's degree
8128,Italy,171.8996666666667,Master's degree
8137,Italy,64.96208333333334,Master's degree
8206,Italy,149.9125,Bachelor's degree
8208,Italy,3497.958333333333,Secondary school
8285,Italy,699.5916666666667,Associate degree
8332,Italy,2998.25,Master's degree
8456,Italy,3497.958333333333,Secondary school
8478,Italy,4597.316666666667,Master's degree
8735,Italy,149.9125,Bachelor's degree
8757,Italy,8994.75,Master's degree
8803,Italy,119.93,college/university without bachelor's degree
8870,Italy,4997.083333333333,Bachelor's degree
8903,Italy,3497.958333333333,Bachelor's degree
9139,Italy,2998.25,Master's degree
9170,Italy,159.90666666666667,Secondary school
9323,Italy,4847.170833333334,Bachelor's degree
9420,Italy,3497.958333333333,Master's degree
9436,Italy,3298.075,Bachelor's degree
9574,Italy,329.8075,Master's degree
9659,Italy,299.825,Secondary school
9712,Italy,2398.6,Bachelor's degree
9768,Italy,4497.375,Doctoral degree
9930,Italy,299.825,Master's degree
9958,Italy,4697.258333333333,college/university without bachelor's degree
9979,Italy,2998.25,Bachelor's degree
10316,Italy,5296.908333333333,Master's degree
10372,Italy,2998.25,Professional degree
10425,Italy,269.8425,Master's degree
10444,Italy,11993.0,Bachelor's degree
10480,Italy,2898.3083333333334,college/university without bachelor's degree
10627,Italy,3198.133333333333,Master's degree
10756,Italy,6995.916666666666,Master's degree
10936,Italy,3997.6666666666665,Master's degree
11125,Italy,137.9195,Bachelor's degree
11343,Italy,2998.25,Master's degree
11365,Italy,12992.416666666666,Master's degree
11379,Italy,1399.1833333333334,college/university without bachelor's degree
11532,Italy,189.88916666666665,Secondary school
11540,Italy,2798.366666666667,Secondary school
11550,Italy,137.9195,Doctoral degree
11572,Italy,2398.6,Master's degree
11586,Italy,4797.2,Master's degree
11708,Italy,169.9008333333333,college/university without bachelor's degree
11715,Italy,2498.5416666666665,Master's degree
11722,Italy,159.90666666666667,Secondary school
11812,Italy,4097.608333333334,Doctoral degree
11815,Italy,6995.916666666666,Associate degree
11817,Italy,4197.549999999999,Primary/elementary school
11826,Italy,219.87166666666667,Doctoral degree
11844,Italy,119.93,Secondary school
11860,Italy,2498.5416666666665,college/university without bachelor's degree
11891,Italy,229.8658333333333,Secondary school
11926,Italy,3497.958333333333,Secondary school
11949,Italy,6596.15,college/university without bachelor's degree
11971,Italy,3797.7833333333333,Secondary school
11986,Italy,6496.208333333333,Master's degree
12007,Italy,3398.016666666667,Secondary school
12063,Italy,3997.6666666666665,Master's degree
12115,Italy,2698.425,college/university without bachelor's degree
12117,Italy,179.895,Master's degree
12151,Italy,259.84833333333336,Secondary school
12190,Italy,2398.6,Master's degree
12246,Italy,1199.3,Secondary school
12257,Italy,4997.083333333333,college/university without bachelor's degree
12259,Italy,219.87166666666667,Secondary school
12277,Italy,199.88333333333333,Secondary school
12296,Italy,11993.0,Master's degree
12340,Italy,3997.6666666666665,Master's degree
12381,Italy,2898.3083333333334,Master's degree
12434,Italy,2498.5416666666665,Bachelor's degree
12503,Italy,3497.958333333333,Secondary school
12534,Italy,4297.491666666667,Bachelor's degree
12541,Italy,219.87166666666667,Master's degree
12625,Italy,129.92416666666668,college/university without bachelor's degree
12643,Italy,4197.549999999999,Master's degree
12668,Italy,209.8775,Associate degree
12698,Italy,11193.466666666667,Master's degree
12699,Italy,4197.549999999999,Doctoral degree
12746,Italy,2998.25,college/university without bachelor's degree
12758,Italy,3697.8416666666662,college/university without bachelor's degree
12778,Italy,4297.491666666667,Bachelor's degree
12782,Italy,2798.366666666667,college/university without bachelor's degree
12815,Italy,2508.5358333333334,Bachelor's degree
12850,Italy,174.89791666666667,college/university without bachelor's degree
12864,Italy,3497.958333333333,Bachelor's degree
12871,Italy,3497.958333333333,college/university without bachelor's degree
12886,Italy,3198.133333333333,Doctoral degree
12975,Italy,4147.579166666666,Master's degree
13018,Italy,159.90666666666667,Secondary school
13037,Italy,499.7083333333333,Professional degree
13078,Italy,599.65,college/university without bachelor's degree
13092,Italy,199.88333333333333,college/university without bachelor's degree
13170,Italy,249.85416666666666,Secondary school
13181,Italy,6496.208333333333,Master's degree
13247,Italy,1798.95,Bachelor's degree
13250,Italy,2198.7166666666667,Bachelor's degree
13256,Italy,3997.6666666666665,Bachelor's degree
13266,Italy,3198.133333333333,Master's degree
13310,Italy,3697.8416666666662,Master's degree
13325,Italy,249.85416666666666,Master's degree
13345,Italy,4597.316666666667,Secondary school
13381,Italy,176.89675,college/university without bachelor's degree
13433,Italy,124.92708333333333,Secondary school
13454,Italy,79.95333333333333,Bachelor's degree
13463,Italy,249.85416666666666,Bachelor's degree
13469,Italy,5196.966666666666,Secondary school
13487,Italy,4197.549999999999,college/university without bachelor's degree
13537,Italy,3997.6666666666665,Master's degree
13556,Italy,139.91833333333332,college/university without bachelor's degree
13620,Italy,3497.958333333333,Bachelor's degree
13639,Italy,7995.333333333333,Master's degree
13663,Italy,3597.9,Secondary school
13695,Italy,84.95041666666665,college/university without bachelor's degree
13720,Italy,2498.5416666666665,Master's degree
13729,Italy,3098.1916666666666,Associate degree
13760,Italy,3298.075,Master's degree
13833,Italy,3198.133333333333,Bachelor's degree
13850,Italy,3497.958333333333,Bachelor's degree
13884,Italy,2698.425,Bachelor's degree
13949,Italy,3348.0458333333336,Bachelor's degree
14034,Italy,299.825,Doctoral degree
14051,Italy,219.87166666666667,Bachelor's degree
14081,Italy,119.93,Secondary school
14148,Italy,6995.916666666666,college/university without bachelor's degree
14265,Italy,2498.5416666666665,Master's degree
14342,Italy,179.895,Doctoral degree
14394,Italy,3997.6666666666665,Master's degree
14466,Italy,3597.9,college/university without bachelor's degree
14516,Italy,2498.5416666666665,Master's degree
14535,Italy,129.92416666666668,Professional degree
14582,Italy,3198.133333333333,Bachelor's degree
14614,Italy,3997.6666666666665,college/university without bachelor's degree
14718,Italy,4997.083333333333,Secondary school
14875,Italy,9994.166666666666,Master's degree
14912,Italy,249.85416666666666,college/university without bachelor's degree
14947,Italy,2998.25,Bachelor's degree
15009,Italy,999.4166666666666,college/university without bachelor's degree
15113,Italy,3497.958333333333,Bachelor's degree
15168,Italy,179.895,Associate degree
15334,Italy,2998.25,college/university without bachelor's degree
15375,Italy,3997.6666666666665,Master's degree
15382,Italy,3747.8125,Master's degree
15417,Italy,1998.8333333333333,college/university without bachelor's degree
15427,Italy,139.91833333333332,Professional degree
15433,Italy,3997.6666666666665,Master's degree
15466,Italy,99.94166666666666,college/university without bachelor's degree
15506,Italy,3697.8416666666662,Bachelor's degree
15533,Italy,5396.85,Bachelor's degree
15578,Italy,119.93,Associate degree
15588,Italy,2988.255833333333,Secondary school
15819,Italy,6995.916666666666,Master's degree
15878,Italy,7495.625,college/university without bachelor's degree
15879,Italy,4997.083333333333,Bachelor's degree
15887,Italy,2498.5416666666665,Bachelor's degree
15927,Italy,276.83841666666666,Master's degree
15981,Italy,169.9008333333333,college/university without bachelor's degree
16015,Italy,189.88916666666665,Bachelor's degree
16109,Italy,199.88333333333333,Master's degree
16164,Italy,199.88333333333333,college/university without bachelor's degree
16174,Italy,199.88333333333333,Associate degree
16427,Italy,2598.483333333333,Bachelor's degree
16440,Italy,4197.549999999999,college/university without bachelor's degree
16701,Italy,179.895,Secondary school
16720,Italy,849.5041666666667,Master's degree
16862,Italy,11193.466666666667,Bachelor's degree
16895,Italy,154.90958333333333,Secondary school
16957,Italy,199.88333333333333,Bachelor's degree
17063,Italy,2998.25,Master's degree
17228,Italy,3997.6666666666665,Bachelor's degree
17271,Italy,157.90783333333331,Master's degree
17309,Italy,4797.2,Bachelor's degree
17576,Italy,149.9125,college/university without bachelor's degree
