,Country,Monthly_Sal_EUR,YearsCodePro
37,Italy,8994.75,12
207,Italy,1998.8333333333333,35
445,Italy,2998.25,6
565,Italy,3497.958333333333,14
597,Italy,134.92125,3
619,Italy,299.825,10
768,Italy,4497.375,11
889,Italy,2498.5416666666665,4
1016,Italy,6995.916666666666,17
1071,Italy,139.91833333333332,6
1287,Italy,1898.8916666666667,1
1413,Italy,9994.166666666666,19
2124,Italy,219.87166666666667,16
2147,Italy,3198.133333333333,7
2881,Italy,2898.3083333333334,3
3393,Italy,2598.483333333333,2
3486,Italy,4997.083333333333,14
3648,Italy,4997.083333333333,5
3796,Italy,2798.366666666667,10
3958,Italy,2.3986,1
4189,Italy,2298.6583333333333,8
4201,Italy,149.9125,2
4398,Italy,4297.491666666667,7
4429,Italy,5196.966666666666,15
4587,Italy,3797.7833333333333,20
4699,Italy,4697.258333333333,8
4839,Italy,6995.916666666666,18
4853,Italy,4.997083333333333,10
6195,Italy,149.9125,21
6658,Italy,249.85416666666666,1
6757,Italy,5496.791666666666,10
6853,Italy,5496.791666666666,10
7240,Italy,174.89791666666667,11
7439,Italy,3106.8865916666664,4
7479,Italy,169.9008333333333,2
7509,Italy,4497.375,14
7533,Italy,4997.083333333333,13
7573,Italy,3497.958333333333,3
7623,Italy,3298.075,5
7627,Italy,159.90666666666667,23
7661,Italy,159.90666666666667,18
7665,Italy,4797.2,15
7690,Italy,134.92125,3
7691,Italy,7695.508333333333,11
7709,Italy,174.89791666666667,6
7729,Italy,114.93291666666666,4
7881,Italy,3797.7833333333333,13
7969,Italy,4997.083333333333,10
8029,Italy,3997.6666666666665,6
8094,Italy,219.87166666666667,5
8099,Italy,3497.958333333333,12
8128,Italy,171.8996666666667,19
8137,Italy,64.96208333333334,2
8206,Italy,149.9125,5
8208,Italy,3497.958333333333,5
8285,Italy,699.5916666666667,12
8332,Italy,2998.25,6
8456,Italy,3497.958333333333,12
8478,Italy,4597.316666666667,15
8735,Italy,149.9125,15
8757,Italy,8994.75,13
8803,Italy,119.93,1
8870,Italy,4997.083333333333,10
8903,Italy,3497.958333333333,14
9139,Italy,2998.25,7
9170,Italy,159.90666666666667,3
9323,Italy,4847.170833333334,8
9420,Italy,3497.958333333333,20
9436,Italy,3298.075,6
9574,Italy,329.8075,12
9659,Italy,299.825,19
9712,Italy,2398.6,5
9768,Italy,4497.375,7
9930,Italy,299.825,10
9958,Italy,4697.258333333333,15
9979,Italy,2998.25,2
10316,Italy,5296.908333333333,9
10372,Italy,2998.25,8
10425,Italy,269.8425,7
10444,Italy,11993.0,12
10480,Italy,2898.3083333333334,2
10627,Italy,3198.133333333333,22
10756,Italy,6995.916666666666,26
10936,Italy,3997.6666666666665,7
11125,Italy,137.9195,3
11343,Italy,2998.25,5
11365,Italy,12992.416666666666,33
11379,Italy,1399.1833333333334,7
11532,Italy,189.88916666666665,7
11540,Italy,2798.366666666667,20
11550,Italy,137.9195,8
11572,Italy,2398.6,21
11586,Italy,4797.2,21
11708,Italy,169.9008333333333,9
11715,Italy,2498.5416666666665,5
11722,Italy,159.90666666666667,2
11812,Italy,4097.608333333334,10
11815,Italy,6995.916666666666,21
11817,Italy,4197.549999999999,7
11826,Italy,219.87166666666667,3
11844,Italy,119.93,1
11860,Italy,2498.5416666666665,16
11891,Italy,229.8658333333333,3
11926,Italy,3497.958333333333,9
11949,Italy,6596.15,8
11986,Italy,6496.208333333333,13
12007,Italy,3398.016666666667,7
12063,Italy,3997.6666666666665,11
12115,Italy,2698.425,3
12117,Italy,179.895,6
12151,Italy,259.84833333333336,35
12190,Italy,2398.6,6
12246,Italy,1199.3,2
12257,Italy,4997.083333333333,15
12259,Italy,219.87166666666667,14
12277,Italy,199.88333333333333,7
12296,Italy,11993.0,20
12340,Italy,3997.6666666666665,8
12381,Italy,2898.3083333333334,3
12434,Italy,2498.5416666666665,8
12503,Italy,3497.958333333333,24
12534,Italy,4297.491666666667,17
12541,Italy,219.87166666666667,3
12625,Italy,129.92416666666668,10
12643,Italy,4197.549999999999,15
12668,Italy,209.8775,6
12698,Italy,11193.466666666667,10
12699,Italy,4197.549999999999,11
12746,Italy,2998.25,20
12758,Italy,3697.8416666666662,15
12778,Italy,4297.491666666667,23
12782,Italy,2798.366666666667,7
12815,Italy,2508.5358333333334,9
12850,Italy,174.89791666666667,7
12864,Italy,3497.958333333333,8
12871,Italy,3497.958333333333,10
12886,Italy,3198.133333333333,5
12975,Italy,4147.579166666666,8
13018,Italy,159.90666666666667,1
13037,Italy,499.7083333333333,20
13078,Italy,599.65,33
13092,Italy,199.88333333333333,16
13170,Italy,249.85416666666666,15
13181,Italy,6496.208333333333,19
13247,Italy,1798.95,5
13250,Italy,2198.7166666666667,1
13256,Italy,3997.6666666666665,30
13266,Italy,3198.133333333333,13
13310,Italy,3697.8416666666662,5
13325,Italy,249.85416666666666,4
13345,Italy,4597.316666666667,6
13381,Italy,176.89675,2
13433,Italy,124.92708333333333,2
13454,Italy,79.95333333333333,3
13463,Italy,249.85416666666666,15
13469,Italy,5196.966666666666,22
13487,Italy,4197.549999999999,8
13537,Italy,3997.6666666666665,21
13556,Italy,139.91833333333332,12
13620,Italy,3497.958333333333,14
13639,Italy,7995.333333333333,20
13663,Italy,3597.9,33
13695,Italy,84.95041666666665,1
13720,Italy,2498.5416666666665,7
13729,Italy,3098.1916666666666,10
13760,Italy,3298.075,7
13833,Italy,3198.133333333333,8
13850,Italy,3497.958333333333,20
13884,Italy,2698.425,1
13949,Italy,3348.0458333333336,11
14034,Italy,299.825,8
14051,Italy,219.87166666666667,10
14081,Italy,119.93,1
14148,Italy,6995.916666666666,25
14265,Italy,2498.5416666666665,5
14342,Italy,179.895,10
14394,Italy,3997.6666666666665,12
14466,Italy,3597.9,6
14516,Italy,2498.5416666666665,3
14535,Italy,129.92416666666668,3
14582,Italy,3198.133333333333,4
14614,Italy,3997.6666666666665,24
14718,Italy,4997.083333333333,12
14875,Italy,9994.166666666666,10
14912,Italy,249.85416666666666,25
14947,Italy,2998.25,9
15009,Italy,999.4166666666666,35
15113,Italy,3497.958333333333,12
15168,Italy,179.895,12
15334,Italy,2998.25,10
15375,Italy,3997.6666666666665,15
15382,Italy,3747.8125,3
15417,Italy,1998.8333333333333,4
15427,Italy,139.91833333333332,10
15433,Italy,3997.6666666666665,10
15466,Italy,99.94166666666666,5
15506,Italy,3697.8416666666662,10
15533,Italy,5396.85,4
15578,Italy,119.93,2
15588,Italy,2988.255833333333,6
15819,Italy,6995.916666666666,5
15878,Italy,7495.625,2
15879,Italy,4997.083333333333,17
15887,Italy,2498.5416666666665,2
15927,Italy,276.83841666666666,5
15981,Italy,169.9008333333333,24
16015,Italy,189.88916666666665,15
16109,Italy,199.88333333333333,2
16164,Italy,199.88333333333333,3
16174,Italy,199.88333333333333,7
16427,Italy,2598.483333333333,10
16440,Italy,4197.549999999999,21
16701,Italy,179.895,10
16720,Italy,849.5041666666667,32
16862,Italy,11193.466666666667,16
16895,Italy,154.90958333333333,2
16957,Italy,199.88333333333333,8
17063,Italy,2998.25,10
17208,Italy,108.63659166666667,1
17228,Italy,3997.6666666666665,20
