,Country,Monthly_Sal_EUR,YearsCodePro
80,Japan,3239.3093,0
193,Japan,1295.244,0
470,Japan,8998.647724999999,15
816,Japan,5631.9128,0
1126,Japan,4499.273891666667,12
1214,Japan,8818.652783333333,30
1675,Japan,377.7795,0
1783,Japan,3476.7707,0
2284,Japan,4319.8786,3
2618,Japan,2267.8763,3
4285,Japan,3239.3093,0
4381,Japan,5579.1436,9
4639,Japan,3239.3093,3
4744,Japan,4049.336508333333,3
4889,Japan,7738.783075,6
5247,Japan,7559.187900000001,6
5286,Japan,2483.7502999999997,0
5440,Japan,4499.273891666667,0
5747,Japan,5849.0860416666665,3
5880,Japan,6748.960808333333,6
6084,Japan,6299.023425,0
6085,Japan,5021.4691,6
6201,Japan,4679.2688333333335,3
6224,Japan,2159.9393,3
6362,Japan,3239.3093,3
7096,Japan,4499.273891666667,3
7131,Japan,2267.8763,3
7986,Japan,5399.2486,15
8314,Japan,539.685,0
10756,Japan,971.433,0
10802,Japan,8098.872899999999,9
11302,Japan,3563.1202999999996,0
12463,Japan,3239.3093,6
13292,Japan,3755.0083,3
13601,Japan,1620.2542999999998,6
13997,Japan,2159.9393,0
14272,Japan,5399.1486583333335,3
14329,Japan,5399.1486583333335,0
15419,Japan,4499.273891666667,3
15724,Japan,6748.960808333333,9
15792,Japan,7019.5029,18
16058,Japan,2807.5613,6
16527,Japan,4319.378891666666,0
16696,Japan,5849.0860416666665,15
17241,Japan,1394.18625,12
17299,Japan,6115.83035,6
17590,Japan,5996.5,6
17762,Japan,7018.90325,0
17950,Japan,3239.5091833333336,0
18260,Japan,7783.756825,15
18411,Japan,3023.4352999999996,3
19180,Japan,4892.6442916666665,6
21314,Japan,9628.480108333333,9
21459,Japan,7648.835574999999,6
21752,Japan,12598.04685,12
21958,Japan,6995.916666666666,9
22336,Japan,7738.783075,12
22687,Japan,4156.7738,3
22721,Japan,7795.450000000001,9
22751,Japan,4319.8786,6
22916,Japan,5399.2486,9
24670,Japan,6478.6186,6
25061,Japan,388.57320000000004,3
25199,Japan,4102.8053,6
25782,Japan,4949.211275,3
25961,Japan,3563.1202999999996,3
29384,Japan,3239.5091833333336,0
29831,Japan,9898.42255,18
30326,Japan,5849.0860416666665,0
30643,Japan,3023.4352999999996,0
30649,Japan,8998.647724999999,9
30745,Japan,5399.1486583333335,9
33130,Japan,5399.1486583333335,12
35770,Japan,3824.367816666667,0
36130,Japan,5075.437599999999,6
37072,Japan,3563.4201249999996,6
37285,Japan,1620.2542999999998,6
37360,Japan,5426.132908333333,6
38969,Japan,5669.0911,0
39316,Japan,6568.965866666666,6
40531,Japan,2915.4982999999997,3
42650,Japan,7198.898191666667,0
43069,Japan,16647.383358333333,12
43224,Japan,5399.1486583333335,3
43589,Japan,8422.6839,15
44527,Japan,7198.898191666667,0
45019,Japan,6299.023425,3
45748,Japan,3599.399125,0
46250,Japan,3701.8393333333333,0
46728,Japan,1259.2649999999999,3
47037,Japan,4048.8368,3
47109,Japan,4319.8786,3
47144,Japan,2591.6873,3
47544,Japan,3563.1202999999996,9
48488,Japan,3923.4100083333333,0
48715,Japan,4499.273891666667,9
49284,Japan,2699.6243,3
49762,Japan,2198.7166666666667,9
50388,Japan,5399.1486583333335,6
50426,Japan,7198.898191666667,6
50593,Japan,5399.1486583333335,27
51967,Japan,8098.772958333333,6
52795,Japan,8998.647724999999,12
53279,Japan,4499.273891666667,6
53336,Japan,3599.399125,0
53621,Japan,3239.3093,12
53826,Japan,8548.710341666667,12
54846,Japan,9898.42255,12
55234,Japan,6299.023425,9
55517,Japan,2699.6243,3
55680,Japan,6928.955749999999,9
56814,Japan,5399.1486583333335,3
56890,Japan,3131.472241666667,0
57060,Japan,8818.652783333333,12
57947,Japan,3599.399125,3
58823,Japan,4949.211275,3
59093,Japan,3599.399125,3
60293,Japan,9751.108533333332,3
60557,Japan,6995.916666666666,3
60906,Japan,10888.344758333333,12
61043,Japan,19988.333333333332,3
61566,Japan,2267.8763,0
61663,Japan,5849.0860416666665,3
62627,Japan,3778.9943000000003,0
63757,Japan,3455.1832999999997,9
64025,Japan,6748.960808333333,15
64294,Japan,4499.273891666667,0
64535,Japan,2159.9393,3
65194,Japan,8548.710341666667,9
65217,Japan,3599.399125,0
65265,Japan,13023.1987,12
65608,Japan,5399.1486583333335,3
66693,Japan,7018.90325,6
66753,Japan,7513.814383333332,15
67129,Japan,5938.9336,9
67660,Japan,12148.109466666665,15
67683,Japan,3239.3093,3
68476,Japan,2159.9393,0
68823,Japan,5849.0860416666665,3
69075,Japan,3023.4352999999996,3
69246,Japan,5196.966666666666,6
69636,Japan,1439.75965,9
69800,Japan,1295.244,0
70330,Japan,4535.7526,3
70585,Japan,7378.893133333333,9
70816,Japan,8098.772958333333,9
71335,Japan,3023.4352999999996,18
71574,Japan,8998.647724999999,15
72502,Japan,1512.3173,3
73759,Japan,15297.671149999998,9
73778,Japan,8047.402941666667,15
74084,Japan,8998.647724999999,30
74273,Japan,5399.2486,6
74930,Japan,8998.647724999999,9
77596,Japan,5496.791666666666,15
78904,Japan,18489.208333333332,27
79331,Japan,12492.708333333332,18
80218,Japan,11993.0,18
80284,Japan,3778.9943000000003,6
82390,Japan,179.99494166666665,0
82597,Japan,4665.277,6
83443,Japan,971.433,0
