,Country,Monthly_Sal_EUR,EdLevel
4239,Japan,11329.387333333334,Bachelor's degree
6731,Japan,2998.25,Bachelor's degree
8913,Japan,19988.333333333332,college/university without bachelor's degree
9339,Japan,7995.333333333333,Bachelor's degree
11357,Japan,39.97666666666667,college/university without bachelor's degree
18844,Japan,56.96675,Associate degree
20593,Japan,6995.916666666666,Bachelor's degree
20741,Japan,9594.4,Bachelor's degree
34418,Japan,89.9475,Master's degree
44004,Japan,11993.0,Master's degree
47340,Japan,3497.958333333333,Bachelor's degree
54693,Japan,7995.333333333333,Bachelor's degree
59380,Japan,17989.5,Bachelor's degree
67613,Japan,19988.333333333332,Bachelor's degree
73896,Japan,9594.4,Bachelor's degree
81012,Japan,19988.333333333332,Bachelor's degree
81043,Japan,6995.916666666666,Master's degree
83319,Japan,4397.433333333333,college/university without bachelor's degree
83504,Japan,2298.6583333333333,Bachelor's degree
85218,Japan,279.83666666666664,Bachelor's degree
86355,Japan,19488.625,college/university without bachelor's degree
86768,Japan,2218.705,Secondary school
