,Country,Monthly_Sal_EUR,YearsCodePro
5531,Jordan,2030.4149,6
9121,Jordan,2790.7711,6
10143,Jordan,2621.6697999999997,12
13071,Jordan,1014.6078,0
14518,Jordan,3358.04,6
18782,Jordan,719.58,0
18961,Jordan,3045.0227,9
21647,Jordan,5552.759,9
32193,Jordan,2790.7711,12
34583,Jordan,1199.3,3
34656,Jordan,1559.0900000000001,3
36700,Jordan,3383.2253,9
37653,Jordan,3975.6795,12
42490,Jordan,2199.5162,3
42662,Jordan,1437.9606999999999,0
42696,Jordan,1183.7091,3
45265,Jordan,1798.95,0
51478,Jordan,2331.4392,6
58268,Jordan,3045.0227,3
60519,Jordan,2030.4149,3
63645,Jordan,3957.6899999999996,6
64671,Jordan,1183.7091,3
67876,Jordan,3045.0227,9
76540,Jordan,1352.8103999999998,0
77828,Jordan,1099.7581,0
80880,Jordan,1798.95,3
82263,Jordan,1798.95,18
86414,Jordan,1439.16,3
