,Country,Monthly_Sal_EUR,EdLevel
11293,Kazakhstan,399.76666666666665,Bachelor's degree
15252,Kazakhstan,19988.333333333332,Bachelor's degree
25010,Kazakhstan,12492.708333333332,Bachelor's degree
27338,Kazakhstan,7795.450000000001,Bachelor's degree
37598,Kazakhstan,19988.333333333332,Bachelor's degree
40296,Kazakhstan,19988.333333333332,Secondary school
40511,Kazakhstan,19988.333333333332,Bachelor's degree
49490,Kazakhstan,14991.25,Secondary school
55881,Kazakhstan,9994.166666666666,Bachelor's degree
73255,Kazakhstan,0.09994166666666666,Primary/elementary school
