,Country,Monthly_Sal_EUR,YearsCodePro
1175,Kenya,291.4299,0
2222,Kenya,2398.6,3
2894,Kenya,897.0764,0
8838,Kenya,350.1956,0
11031,Kenya,815.524,3
12524,Kenya,1748.5793999999999,0
14171,Kenya,815.524,3
15681,Kenya,3885.931883333333,3
16330,Kenya,1165.7196,6
26695,Kenya,1515.9152,3
31266,Kenya,933.0554,0
32967,Kenya,1224.4852999999998,3
39915,Kenya,641.6255,0
42322,Kenya,1703.0059999999999,3
46812,Kenya,1993.2366000000002,21
48137,Kenya,3597.9,6
48954,Kenya,407.762,3
50026,Kenya,2914.299,3
51721,Kenya,3997.6666666666665,9
52076,Kenya,6296.325000000001,3
52789,Kenya,959.44,3
53555,Kenya,532.4892,0
56319,Kenya,1748.5793999999999,12
58896,Kenya,455.734,0
61101,Kenya,350.1956,0
62537,Kenya,484.71708333333333,0
62705,Kenya,2914.299,3
64803,Kenya,2998.25,3
67013,Kenya,1978.8449999999998,0
68315,Kenya,5996.5,6
71114,Kenya,1679.02,3
71352,Kenya,536.0871,0
71732,Kenya,10194.05,6
71968,Kenya,1199.3,6
71992,Kenya,749.5625,3
72838,Kenya,350.1956,3
72987,Kenya,1798.95,6
73755,Kenya,4080.0186,0
75631,Kenya,179.895,0
76157,Kenya,4197.549999999999,3
76619,Kenya,144.91541666666666,0
77244,Kenya,582.8598,3
77760,Kenya,149.9125,0
78614,Kenya,479.72,0
78785,Kenya,3597.9,6
79163,Kenya,3837.76,3
79840,Kenya,1798.95,0
80379,Kenya,999.4166666666666,9
82616,Kenya,699.1918999999999,6
83439,Kenya,69.5594,3
84337,Kenya,140.3181,0
85708,Kenya,4797.2,0
86717,Kenya,200.2831,0
