,Country,Monthly_Sal_EUR,EdLevel
8289,Kuwait,44.97375,Master's degree
9509,Kuwait,482.71825,Doctoral degree
20047,Kuwait,339.8016666666666,Bachelor's degree
20649,Kuwait,159.90666666666667,Bachelor's degree
24109,Kuwait,64.96208333333334,Bachelor's degree
27634,Kuwait,99.94166666666666,Master's degree
32247,Kuwait,99.94166666666666,Bachelor's degree
38863,Kuwait,139.91833333333332,Bachelor's degree
66990,Kuwait,349.79583333333335,Associate degree
67648,Kuwait,49.97083333333333,Bachelor's degree
70866,Kuwait,34.97958333333333,Bachelor's degree
78821,Kuwait,499.7083333333333,Secondary school
80598,Kuwait,79.95333333333333,Bachelor's degree
