,Country,Monthly_Sal_EUR,EdLevel
487,Kyrgyzstan,179.895,No formal education
19959,Kyrgyzstan,1998.8333333333333,Associate degree
20124,Kyrgyzstan,129.92416666666668,Bachelor's degree
22958,Kyrgyzstan,2498.5416666666665,Bachelor's degree
31443,Kyrgyzstan,999.4166666666666,college/university without bachelor's degree
47567,Kyrgyzstan,6895.974999999999,Bachelor's degree
50524,Kyrgyzstan,9994.166666666666,Bachelor's degree
53536,Kyrgyzstan,13991.833333333332,Master's degree
54081,Kyrgyzstan,1998.8333333333333,Bachelor's degree
54939,Kyrgyzstan,89.9475,Secondary school
