,Country,Monthly_Sal_EUR,EdLevel
182,Latvia,3497.958333333333,Master's degree
308,Latvia,359.79,Associate degree
1582,Latvia,3198.133333333333,Bachelor's degree
1745,Latvia,159.90666666666667,Bachelor's degree
3816,Latvia,129.92416666666668,Bachelor's degree
4541,Latvia,119.93,Bachelor's degree
7325,Latvia,349.79583333333335,Bachelor's degree
9350,Latvia,399.76666666666665,Doctoral degree
9891,Latvia,104.93875,Bachelor's degree
10421,Latvia,114.93291666666666,Associate degree
13136,Latvia,389.77250000000004,college/university without bachelor's degree
13259,Latvia,289.8308333333333,Bachelor's degree
16699,Latvia,6995.916666666666,Secondary school
16923,Latvia,209.8775,Bachelor's degree
18219,Latvia,179.895,Secondary school
18315,Latvia,4497.375,college/university without bachelor's degree
19066,Latvia,299.825,Bachelor's degree
19104,Latvia,65.9615,Bachelor's degree
19855,Latvia,199.88333333333333,Bachelor's degree
20271,Latvia,229.8658333333333,Bachelor's degree
20479,Latvia,174.89791666666667,Associate degree
22408,Latvia,999.4166666666666,Bachelor's degree
23488,Latvia,175.89733333333334,Bachelor's degree
24752,Latvia,274.83958333333334,Master's degree
25289,Latvia,149.9125,Associate degree
27910,Latvia,168.50164999999998,Bachelor's degree
28116,Latvia,69.95916666666666,Secondary school
28242,Latvia,219.87166666666667,Professional degree
28416,Latvia,139.91833333333332,Master's degree
28937,Latvia,369.78416666666664,Master's degree
29723,Latvia,4547.345833333333,Master's degree
30681,Latvia,529.6908333333333,Master's degree
32013,Latvia,519.6966666666667,Bachelor's degree
33132,Latvia,319.81333333333333,Bachelor's degree
37348,Latvia,74.95625,Bachelor's degree
38415,Latvia,104.93875,college/university without bachelor's degree
39896,Latvia,349.79583333333335,Bachelor's degree
40349,Latvia,229.8658333333333,Bachelor's degree
41194,Latvia,649.6208333333333,Master's degree
41923,Latvia,119.93,college/university without bachelor's degree
43744,Latvia,39.97666666666667,Primary/elementary school
43784,Latvia,65.9615,Associate degree
44214,Latvia,209.8775,Bachelor's degree
45903,Latvia,209.8775,Master's degree
46728,Latvia,189.88916666666665,Master's degree
47424,Latvia,69.95916666666666,Bachelor's degree
48003,Latvia,69.95916666666666,college/university without bachelor's degree
51639,Latvia,269.8425,Bachelor's degree
54199,Latvia,25.98483333333333,Bachelor's degree
54666,Latvia,299.825,Bachelor's degree
55040,Latvia,179.895,Master's degree
55408,Latvia,4497.375,college/university without bachelor's degree
55543,Latvia,599.65,college/university without bachelor's degree
56201,Latvia,179.895,Bachelor's degree
57396,Latvia,4497.375,Master's degree
58045,Latvia,278.33754166666665,Bachelor's degree
58522,Latvia,279.83666666666664,Bachelor's degree
59138,Latvia,1918.88,Bachelor's degree
59604,Latvia,99.94166666666666,college/university without bachelor's degree
59731,Latvia,569.6675,Doctoral degree
60029,Latvia,399.76666666666665,Bachelor's degree
60038,Latvia,169.9008333333333,Bachelor's degree
61185,Latvia,92.44604166666666,Bachelor's degree
65992,Latvia,449.7375,Bachelor's degree
66360,Latvia,8994.75,Bachelor's degree
66873,Latvia,449.7375,Bachelor's degree
66903,Latvia,349.79583333333335,Professional degree
67002,Latvia,249.85416666666666,Master's degree
67699,Latvia,99.94166666666666,Master's degree
68769,Latvia,343.7993333333334,Associate degree
68959,Latvia,7995.333333333333,Master's degree
69204,Latvia,224.86875,Master's degree
69455,Latvia,144.91541666666666,Master's degree
69918,Latvia,169.9008333333333,Bachelor's degree
71322,Latvia,535.6873333333333,college/university without bachelor's degree
71750,Latvia,109.93583333333333,Master's degree
71772,Latvia,299.825,Secondary school
72006,Latvia,293.82849999999996,college/university without bachelor's degree
72151,Latvia,139.91833333333332,college/university without bachelor's degree
72196,Latvia,219.87166666666667,Doctoral degree
72623,Latvia,179.895,college/university without bachelor's degree
73000,Latvia,249.85416666666666,Master's degree
74700,Latvia,3997.6666666666665,Bachelor's degree
75008,Latvia,499.7083333333333,Bachelor's degree
75030,Latvia,227.06746666666666,Bachelor's degree
75355,Latvia,289.8308333333333,Bachelor's degree
75385,Latvia,149.9125,college/university without bachelor's degree
75913,Latvia,479.72,Secondary school
76771,Latvia,149.9125,college/university without bachelor's degree
79287,Latvia,119.93,college/university without bachelor's degree
80086,Latvia,229.8658333333333,Master's degree
83460,Latvia,399.76666666666665,college/university without bachelor's degree
83720,Latvia,349.79583333333335,college/university without bachelor's degree
84268,Latvia,339.8016666666666,Master's degree
85855,Latvia,199.88333333333333,Master's degree
