,Country,Monthly_Sal_EUR,YearsCodePro
148,Lithuania,179.21146953404997,2.0
2066,Lithuania,5376.344086021508,9.0
2923,Lithuania,3942.6523297490994,6.0
2998,Lithuania,80.64516129032258,10.0
4951,Lithuania,1711.469534050175,2.0
4953,Lithuania,2759.8566308243744,4.0
6732,Lithuania,1881.7204301075249,4.0
10349,Lithuania,37.6344086021505,1.0
10802,Lithuania,3136.200716845875,15.0
11398,Lithuania,161.29032258064498,4.0
14799,Lithuania,1523.297491039425,6.0
15002,Lithuania,967.741935483875,16.0
15558,Lithuania,645.1612903225807,1.0
16739,Lithuania,2150.5376344086,5.0
17743,Lithuania,161.29032258064498,4.0
22359,Lithuania,1433.6917562723997,2.0
23411,Lithuania,125.448028673835,3.0
25686,Lithuania,2546.236559139783,4.0
26602,Lithuania,2150.5376344086,5.0
27931,Lithuania,752.6881720430108,1.0
27937,Lithuania,53.76344086021508,3.0
28064,Lithuania,3763.4408602150497,7.0
29445,Lithuania,2956.9892473118252,3.0
33655,Lithuania,1612.9032258064499,10.0
33998,Lithuania,125.448028673835,2.0
34795,Lithuania,2972.0430107526918,8.0
35231,Lithuania,3225.8064516128998,9.0
35430,Lithuania,4121.86379928315,2.0
35558,Lithuania,89.60573476702498,2.0
36788,Lithuania,107.52688172043,3.0
37322,Lithuania,106.0931899641575,1.0
38452,Lithuania,134.4086021505375,2.0
39493,Lithuania,1792.1146953404998,3.0
39700,Lithuania,1792.1146953404998,8.0
41885,Lithuania,179.21146953404997,6.0
42798,Lithuania,1792.1146953404998,7.0
47092,Lithuania,1326.164874551975,1.0
47279,Lithuania,134.4086021505375,5.0
48716,Lithuania,2060.931899641575,10.0
48792,Lithuania,3225.8064516128998,5.0
48830,Lithuania,2007.1684587813581,3.0
51071,Lithuania,2060.931899641575,9.0
