,Country,Monthly_Sal_EUR,YearsCodePro
809,Luxembourg,7995.333333333333,20
1057,Luxembourg,5996.5,15
5571,Luxembourg,309.81916666666666,4
7009,Luxembourg,5996.5,4
7669,Luxembourg,4797.2,3
9721,Luxembourg,299.825,1
11673,Luxembourg,11493.291666666666,14
12145,Luxembourg,619.6383333333333,26
14066,Luxembourg,439.74333333333334,3
19060,Luxembourg,289.8308333333333,16
20805,Luxembourg,479.72,9
22374,Luxembourg,7295.741666666667,10
29902,Luxembourg,7995.333333333333,12
30915,Luxembourg,269.8425,6
31258,Luxembourg,5796.616666666667,20
32589,Luxembourg,6196.383333333333,10
33585,Luxembourg,5996.5,11
37302,Luxembourg,399.76666666666665,8
37448,Luxembourg,519.6966666666667,10
38654,Luxembourg,799.5333333333333,19
42401,Luxembourg,7995.333333333333,1
43165,Luxembourg,7995.333333333333,15
46220,Luxembourg,499.7083333333333,30
46550,Luxembourg,7295.741666666667,4
52422,Luxembourg,1049.3874999999998,2
59688,Luxembourg,9594.4,18
62420,Luxembourg,7195.8,15
63728,Luxembourg,4997.083333333333,5
65754,Luxembourg,4997.083333333333,2
67454,Luxembourg,249.85416666666666,30
67894,Luxembourg,7195.8,6
70389,Luxembourg,8994.75,9
72790,Luxembourg,9594.4,10
76019,Luxembourg,4797.2,9
77095,Luxembourg,649.6208333333333,10
78470,Luxembourg,561.3723416666667,8
82690,Luxembourg,4797.2,10
82986,Luxembourg,399.76666666666665,16
83231,Luxembourg,4997.083333333333,4
85145,Luxembourg,9994.166666666666,10
85805,Luxembourg,3298.075,3
85821,Luxembourg,599.65,25
86134,Luxembourg,4997.083333333333,20
86253,Luxembourg,7195.8,5
