,Country,Monthly_Sal_EUR,EdLevel
1190,Luxembourg,499.7083333333333,college/university without bachelor's degree
14917,Luxembourg,8634.96,Master's degree
15740,Luxembourg,7495.625,Master's degree
16913,Luxembourg,9994.166666666666,Master's degree
20199,Luxembourg,299.825,Doctoral degree
24802,Luxembourg,7195.8,Master's degree
31239,Luxembourg,459.7316666666666,Bachelor's degree
37017,Luxembourg,6995.916666666666,Master's degree
42332,Luxembourg,6796.033333333334,Master's degree
42361,Luxembourg,7495.625,Bachelor's degree
45151,Luxembourg,6995.916666666666,Master's degree
45299,Luxembourg,6496.208333333333,Professional degree
45720,Luxembourg,4197.549999999999,Master's degree
46231,Luxembourg,899.475,Bachelor's degree
48661,Luxembourg,6995.916666666666,college/university without bachelor's degree
56084,Luxembourg,6396.266666666666,Master's degree
60194,Luxembourg,3098.1916666666666,Master's degree
61871,Luxembourg,724.5770833333333,Master's degree
63442,Luxembourg,8594.983333333334,Master's degree
65546,Luxembourg,6229.663908333333,Master's degree
66042,Luxembourg,1998.8333333333333,Bachelor's degree
69340,Luxembourg,2198.7166666666667,college/university without bachelor's degree
69588,Luxembourg,6696.091666666667,Master's degree
71398,Luxembourg,299.825,Bachelor's degree
74274,Luxembourg,7495.625,Master's degree
74357,Luxembourg,559.6733333333333,Bachelor's degree
76372,Luxembourg,719.58,Bachelor's degree
78439,Luxembourg,5496.791666666666,Master's degree
80504,Luxembourg,399.76666666666665,Bachelor's degree
