,Country,Monthly_Sal_EUR,EdLevel
764,Malaysia,151.1118,Bachelor's degree
1392,Malaysia,1061.3805,Bachelor's degree
1411,Malaysia,849.1043999999999,Bachelor's degree
1617,Malaysia,12231.6607,college/university without bachelor's degree
2291,Malaysia,1212.4923,Bachelor's degree
3064,Malaysia,2998.25,Bachelor's degree
3486,Malaysia,6940.9487500000005,college/university without bachelor's degree
3592,Malaysia,303.22301666666664,Bachelor's degree
3679,Malaysia,849.1043999999999,college/university without bachelor's degree
3768,Malaysia,787.9400999999999,college/university without bachelor's degree
5274,Malaysia,1061.3805,college/university without bachelor's degree
5895,Malaysia,970.2337,Bachelor's degree
6509,Malaysia,970.2337,Bachelor's degree
8350,Malaysia,2025.6177,Bachelor's degree
8488,Malaysia,1798.95,Bachelor's degree
8649,Malaysia,1000.2162,college/university without bachelor's degree
8804,Malaysia,3071.707125,Bachelor's degree
8946,Malaysia,239.86,Associate degree
9212,Malaysia,3631.4804000000004,Doctoral degree
9265,Malaysia,2122.761,college/university without bachelor's degree
10120,Malaysia,1000.2162,Bachelor's degree
10674,Malaysia,3631.4804000000004,Bachelor's degree
11891,Malaysia,2779.5776333333333,Bachelor's degree
12381,Malaysia,1485.9326999999998,Bachelor's degree
12600,Malaysia,2069.9918,Bachelor's degree
12945,Malaysia,910.2687000000001,Bachelor's degree
13226,Malaysia,131.923,Bachelor's degree
14079,Malaysia,454.5347,Secondary school
14949,Malaysia,2615.6733,college/university without bachelor's degree
15055,Malaysia,910.2687000000001,Bachelor's degree
15089,Malaysia,2274.2725666666665,Bachelor's degree
15947,Malaysia,1970.4498999999998,Bachelor's degree
16262,Malaysia,910.2687000000001,Master's degree
16923,Malaysia,2962.2709999999997,Bachelor's degree
18144,Malaysia,1199.3,Bachelor's degree
18517,Malaysia,3638.6762,Bachelor's degree
18890,Malaysia,1819.3381,Master's degree
18916,Malaysia,1019.405,Bachelor's degree
19665,Malaysia,907.8701000000001,Bachelor's degree
19796,Malaysia,1515.9152,Bachelor's degree
20075,Malaysia,2122.761,Bachelor's degree
20790,Malaysia,4796.0007,Bachelor's degree
21373,Malaysia,1061.3805,Bachelor's degree
21903,Malaysia,1031.398,Bachelor's degree
22562,Malaysia,1910.4849,Bachelor's degree
22824,Malaysia,2971.8653999999997,Bachelor's degree
24223,Malaysia,1000.2162,Bachelor's degree
24922,Malaysia,910.2687000000001,Bachelor's degree
25319,Malaysia,2592.8866,Bachelor's degree
25660,Malaysia,2426.1839,Bachelor's degree
25924,Malaysia,2122.661058333333,Bachelor's degree
26100,Malaysia,934.2547,Bachelor's degree
26651,Malaysia,879.0869,Bachelor's degree
27940,Malaysia,5552.958883333334,college/university without bachelor's degree
28667,Malaysia,3031.8304,Master's degree
28798,Malaysia,3487.5643999999998,Bachelor's degree
29733,Malaysia,4295.792658333334,Bachelor's degree
30441,Malaysia,2729.1070916666667,Bachelor's degree
30598,Malaysia,910.2687000000001,Bachelor's degree
30733,Malaysia,6360.48755,Bachelor's degree
30822,Malaysia,803.531,Bachelor's degree
31154,Malaysia,1000.2162,Bachelor's degree
32836,Malaysia,849.1043999999999,Bachelor's degree
34137,Malaysia,1061.3805,college/university without bachelor's degree
35920,Malaysia,2553.3097,Master's degree
36554,Malaysia,1152.5273,Master's degree
39897,Malaysia,910.2687000000001,Bachelor's degree
40670,Malaysia,16919.7244,Bachelor's degree
41566,Malaysia,3031.8304,Bachelor's degree
41745,Malaysia,910.2687000000001,Bachelor's degree
41771,Malaysia,303.4229,Bachelor's degree
42586,Malaysia,745.9646,Bachelor's degree
45319,Malaysia,2577.2956999999997,Bachelor's degree
45505,Malaysia,1798.95,Secondary school
46913,Malaysia,14080.9813,Bachelor's degree
47814,Malaysia,1122.5448,Bachelor's degree
49151,Malaysia,1891.4959833333332,Master's degree
51322,Malaysia,5154.591399999999,Bachelor's degree
52850,Malaysia,2253.4847,Bachelor's degree
55276,Malaysia,1970.4498999999998,Bachelor's degree
56297,Malaysia,3031.8304,Bachelor's degree
58030,Malaysia,7277.3524,Master's degree
58318,Malaysia,909.66905,Bachelor's degree
58334,Malaysia,16666.6721,Bachelor's degree
58431,Malaysia,757.9576,Bachelor's degree
58889,Malaysia,1152.5273,college/university without bachelor's degree
58942,Malaysia,1199.3,Bachelor's degree
60179,Malaysia,1394.7859,Bachelor's degree
60638,Malaysia,3997.6666666666665,Master's degree
62053,Malaysia,757.9576,Bachelor's degree
62115,Malaysia,4197.549999999999,Bachelor's degree
62651,Malaysia,2087.9813,Bachelor's degree
62980,Malaysia,1212.4923,college/university without bachelor's degree
63511,Malaysia,3234.5121,Bachelor's degree
63650,Malaysia,1000.2162,Bachelor's degree
63749,Malaysia,2998.25,Bachelor's degree
65019,Malaysia,1031.398,Bachelor's degree
66212,Malaysia,910.2687000000001,Bachelor's degree
67530,Malaysia,1212.4923,Bachelor's degree
69434,Malaysia,1182.5097999999998,Bachelor's degree
72773,Malaysia,151.1118,college/university without bachelor's degree
73153,Malaysia,1515.9152,college/university without bachelor's degree
73420,Malaysia,910.2687000000001,Bachelor's degree
73543,Malaysia,14678.2327,Secondary school
73793,Malaysia,2122.761,Bachelor's degree
74325,Malaysia,1619.0549999999998,Primary/elementary school
74624,Malaysia,3638.6762,Bachelor's degree
75022,Malaysia,1819.3381,Bachelor's degree
75494,Malaysia,2426.1839,Bachelor's degree
76082,Malaysia,3798.1831,Bachelor's degree
77370,Malaysia,454.5347,Master's degree
77748,Malaysia,1212.4923,Bachelor's degree
77936,Malaysia,3790.3876499999997,Bachelor's degree
78747,Malaysia,2729.6068,Bachelor's degree
78867,Malaysia,7580.775299999999,Bachelor's degree
79013,Malaysia,787.9400999999999,Bachelor's degree
79121,Malaysia,1819.3381,Master's degree
80317,Malaysia,1212.4923,Bachelor's degree
80385,Malaysia,1152.5273,Bachelor's degree
81255,Malaysia,2727.2082,Bachelor's degree
84618,Malaysia,910.2687000000001,Bachelor's degree
85348,Malaysia,2.3986,Associate degree
86032,Malaysia,757.9576,Bachelor's degree
88466,Malaysia,500.1081,Bachelor's degree
