,Country,Monthly_Sal_EUR,YearsCodePro
5089,Malaysia,79.95333333333333,1
5222,Malaysia,1099.3583333333333,7
5286,Malaysia,399.76666666666665,3
5296,Malaysia,699.5916666666667,5
5366,Malaysia,799.5333333333333,5
5587,Malaysia,999.4166666666666,3
6234,Malaysia,799.5333333333333,8
6259,Malaysia,499.7083333333333,4
6299,Malaysia,10493.875,3
6339,Malaysia,349.79583333333335,1
6360,Malaysia,649.6208333333333,3
6413,Malaysia,399.76666666666665,3
6417,Malaysia,699.5916666666667,4
6506,Malaysia,449.7375,2
6581,Malaysia,1499.125,25
6597,Malaysia,799.5333333333333,5
6620,Malaysia,317.71455833333334,3
6635,Malaysia,999.4166666666666,18
6888,Malaysia,379.7783333333333,2
6922,Malaysia,949.4458333333333,11
7159,Malaysia,949.4458333333333,4
7186,Malaysia,3597.9,3
7214,Malaysia,499.7083333333333,3
7237,Malaysia,384.7754166666667,3
7563,Malaysia,1149.3291666666667,7
7949,Malaysia,69.95916666666666,5
8520,Malaysia,8495.041666666666,7
8715,Malaysia,299.825,4
8878,Malaysia,6092.444,3
9573,Malaysia,529.6908333333333,3
9604,Malaysia,299.825,1
15290,Malaysia,149.9125,1
19918,Malaysia,699.5916666666667,4
20512,Malaysia,299.825,3
20647,Malaysia,499.7083333333333,2
20726,Malaysia,129.92416666666668,1
21612,Malaysia,305.8215,1
21679,Malaysia,4897.141666666666,3
21722,Malaysia,799.5333333333333,8
22171,Malaysia,14491.541666666666,10
22179,Malaysia,699.5916666666667,23
24724,Malaysia,149.9125,5
24790,Malaysia,99.94166666666666,1
26530,Malaysia,369.78416666666664,2
28417,Malaysia,199.88333333333333,20
28571,Malaysia,629.6324999999999,7
28646,Malaysia,314.81624999999997,1
29006,Malaysia,379.7783333333333,3
29101,Malaysia,79.95333333333333,1
30118,Malaysia,395.769,3
30206,Malaysia,449.7375,3
30208,Malaysia,299.825,1
30277,Malaysia,229.8658333333333,1
30920,Malaysia,749.5625,6
31679,Malaysia,599.65,3
33821,Malaysia,349.79583333333335,1
34102,Malaysia,729.5741666666665,3
34767,Malaysia,649.6208333333333,10
36378,Malaysia,319.81333333333333,4
36403,Malaysia,413.75849999999997,1
37592,Malaysia,369.78416666666664,1
39483,Malaysia,599.65,10
40263,Malaysia,1149.3291666666667,15
40280,Malaysia,414.7579166666667,4
40428,Malaysia,329.8075,2
42307,Malaysia,9994.166666666666,6
42399,Malaysia,529.6908333333333,2
42610,Malaysia,2998.25,5
45186,Malaysia,299.825,2
45760,Malaysia,1199.3,6
45787,Malaysia,309.81916666666666,1
46434,Malaysia,349.79583333333335,1
46437,Malaysia,549.6791666666667,5
46945,Malaysia,1599.0666666666666,8
47539,Malaysia,349.79583333333335,1
47566,Malaysia,999.4166666666666,6
47691,Malaysia,424.75208333333336,4
47755,Malaysia,399.76666666666665,2
47787,Malaysia,49.97083333333333,2
47791,Malaysia,284.83375,9
49436,Malaysia,299.825,2
53250,Malaysia,749.5625,3
53339,Malaysia,399.76666666666665,2
53352,Malaysia,189.88916666666665,4
53359,Malaysia,249.85416666666666,2
53467,Malaysia,1199.3,11
53469,Malaysia,399.76666666666665,8
53597,Malaysia,449.7375,3
53648,Malaysia,899.475,4
54208,Malaysia,1009.4108333333334,10
54591,Malaysia,1049.3874999999998,7
57969,Malaysia,1099.3583333333333,4
57973,Malaysia,799.5333333333333,2
58024,Malaysia,649.6208333333333,8
59024,Malaysia,899.475,12
60169,Malaysia,79.95333333333333,5
60733,Malaysia,399.76666666666665,4
