,Country,Monthly_Sal_EUR,EdLevel
7046,Malta,3975.2797333333333,Master's degree
7146,Malta,5871.7728,Bachelor's degree
19803,Malta,5871.17315,Bachelor's degree
20973,Malta,807.1288999999999,Associate degree
24996,Malta,4586.8227916666665,Master's degree
29499,Malta,4892.6442916666665,Master's degree
31099,Malta,2201.9148,Bachelor's degree
32647,Malta,3180.243775,Bachelor's degree
33356,Malta,2935.586575,Bachelor's degree
33754,Malta,3180.243775,Bachelor's degree
34314,Malta,4403.429833333334,Bachelor's degree
39711,Malta,5871.17315,college/university without bachelor's degree
43012,Malta,3057.915175,Bachelor's degree
43570,Malta,4281.101233333333,college/university without bachelor's degree
46419,Malta,3302.572375,Bachelor's degree
48942,Malta,5504.287291666666,college/university without bachelor's degree
48986,Malta,3669.4582333333333,Bachelor's degree
49055,Malta,5137.301491666667,college/university without bachelor's degree
53164,Malta,2935.586575,Bachelor's degree
53623,Malta,5504.287291666666,college/university without bachelor's degree
56842,Malta,5504.287291666666,Bachelor's degree
63635,Malta,4892.6442916666665,Master's degree
64962,Malta,3424.9009749999996,Bachelor's degree
66201,Malta,4892.6442916666665,Bachelor's degree
66316,Malta,3241.408075,Bachelor's degree
66609,Malta,2140.5506166666664,Bachelor's degree
69471,Malta,4709.151391666666,Bachelor's degree
72593,Malta,6115.83035,Bachelor's degree
73273,Malta,3597.9,college/university without bachelor's degree
74498,Malta,1958.8566666666666,college/university without bachelor's degree
77469,Malta,2201.9148,college/university without bachelor's degree
79065,Malta,12231.6607,Secondary school
86040,Malta,220.6712,college/university without bachelor's degree
