,Country,Monthly_Sal_EUR,YearsCodePro
637,Malta,4597.316666666667,10
11159,Malta,2498.5416666666665,3
14167,Malta,4997.083333333333,11
15166,Malta,4497.375,15
16473,Malta,6096.441666666667,4
18187,Malta,2998.25,9
19365,Malta,7995.333333333333,7
19520,Malta,2998.25,1
25555,Malta,51.96966666666666,2
27703,Malta,5496.791666666666,10
31631,Malta,2298.6583333333333,1
31861,Malta,5097.025,10
33988,Malta,4397.433333333333,10
34270,Malta,2798.366666666667,5
43435,Malta,2498.5416666666665,3
46860,Malta,4997.083333333333,11
47019,Malta,4997.083333333333,20
49947,Malta,3997.6666666666665,5
52461,Malta,5496.791666666666,5
56121,Malta,5496.791666666666,15
58264,Malta,6995.916666666666,10
58470,Malta,2098.7749999999996,3
63492,Malta,749.5625,15
71339,Malta,3797.7833333333333,11
72738,Malta,4797.2,2
73217,Malta,2998.25,5
79610,Malta,5496.791666666666,8
