,Country,Monthly_Sal_EUR,YearsCodePro
235,Mexico,4497.375,6
253,Mexico,5996.5,12
734,Mexico,199.88333333333333,3
834,Mexico,3997.6666666666665,10
903,Mexico,2498.5416666666665,2
905,Mexico,3198.133333333333,8
990,Mexico,10993.583333333332,11
1082,Mexico,799.5333333333333,3
1140,Mexico,3997.6666666666665,13
1197,Mexico,1499.125,6
1480,Mexico,3947.695833333333,3
1583,Mexico,1299.2416666666666,3
1739,Mexico,4497.375,4
1746,Mexico,6056.465,8
1805,Mexico,3298.075,10
1952,Mexico,179.895,1
2119,Mexico,1599.0666666666666,2
2253,Mexico,4497.375,5
2337,Mexico,4007.6608333333334,2
2382,Mexico,19988.333333333332,9
2513,Mexico,3997.6666666666665,5
2814,Mexico,4497.375,5
3120,Mexico,6995.916666666666,6
3460,Mexico,3497.958333333333,6
3733,Mexico,3098.1916666666666,4
3798,Mexico,3997.6666666666665,2
3987,Mexico,1998.8333333333333,2
4317,Mexico,3198.133333333333,4
4708,Mexico,4397.433333333333,8
4750,Mexico,899.475,4
4854,Mexico,3497.958333333333,4
4859,Mexico,4197.549999999999,18
5162,Mexico,5996.5,12
5530,Mexico,149.9125,10
5944,Mexico,1599.0666666666666,5
6335,Mexico,4097.608333333334,7
6348,Mexico,4997.083333333333,20
6485,Mexico,2398.6,3
12096,Mexico,3997.6666666666665,10
13972,Mexico,5996.5,4
15520,Mexico,2498.5416666666665,4
16243,Mexico,999.4166666666666,6
16381,Mexico,3997.6666666666665,5
16415,Mexico,399.76666666666665,1
16719,Mexico,3497.958333333333,3
16924,Mexico,2398.6,3
17207,Mexico,3997.6666666666665,6
17681,Mexico,1499.125,3
17729,Mexico,5296.908333333333,15
17775,Mexico,2798.366666666667,10
17779,Mexico,1499.125,1
17793,Mexico,5996.5,23
17822,Mexico,3797.7833333333333,5
17871,Mexico,1998.8333333333333,4
17955,Mexico,5996.5,6
18006,Mexico,2498.5416666666665,2
18022,Mexico,799.5333333333333,6
18150,Mexico,999.4166666666666,1
18159,Mexico,1499.125,7
18176,Mexico,10993.583333333332,23
18211,Mexico,1665.6278166666666,7
18214,Mexico,1998.8333333333333,2
18291,Mexico,2998.25,12
18373,Mexico,799.5333333333333,3
18374,Mexico,6995.916666666666,20
18389,Mexico,2248.6875,2
18416,Mexico,3997.6666666666665,11
18423,Mexico,4297.491666666667,5
18439,Mexico,9494.458333333332,9
18468,Mexico,4697.258333333333,7
18494,Mexico,1499.125,1
18576,Mexico,4197.549999999999,8
18802,Mexico,1998.8333333333333,1
18833,Mexico,1998.8333333333333,3
