,Country,Monthly_Sal_EUR,YearsCodePro
571,Morocco,669.6091666666666,5
839,Morocco,1728.9908333333333,6
9844,Morocco,949.4458333333333,1
11320,Morocco,1199.3,1
13319,Morocco,49.97083333333333,11
15524,Morocco,849.5041666666667,3
15811,Morocco,749.5625,1
21865,Morocco,999.4166666666666,2
21990,Morocco,1049.3874999999998,5
22644,Morocco,1399.1833333333334,3
22722,Morocco,924.4604166666666,4
22827,Morocco,9.994166666666667,2
23044,Morocco,1998.8333333333333,1
27201,Morocco,1299.2416666666666,2
27329,Morocco,2998.25,13
32157,Morocco,499.7083333333333,4
32510,Morocco,9694.341666666667,8
32993,Morocco,799.5333333333333,3
33277,Morocco,3997.6666666666665,3
33904,Morocco,1099.3583333333333,4
33955,Morocco,1998.8333333333333,8
41122,Morocco,399.76666666666665,2
41194,Morocco,199.88333333333333,1
43438,Morocco,199.88333333333333,8
44543,Morocco,1459.148333333333,2
44834,Morocco,949.4458333333333,1
45644,Morocco,999.4166666666666,9
49885,Morocco,2998.25,1
55031,Morocco,2998.25,6
55453,Morocco,999.4166666666666,10
56212,Morocco,699.5916666666667,3
58870,Morocco,159.90666666666667,2
62797,Morocco,299.825,2
