,Country,Monthly_Sal_EUR,EdLevel
805,Nepal,4997.083333333333,Bachelor's degree
1349,Nepal,4997.083333333333,Bachelor's degree
1813,Nepal,17989.5,Bachelor's degree
5766,Nepal,12492.708333333332,Master's degree
5969,Nepal,6995.916666666666,Bachelor's degree
6615,Nepal,9994.166666666666,Bachelor's degree
7170,Nepal,3837.76,Bachelor's degree
7386,Nepal,2998.25,Bachelor's degree
7436,Nepal,7995.333333333333,Bachelor's degree
7465,Nepal,1998.8333333333333,Bachelor's degree
7478,Nepal,5496.791666666666,Bachelor's degree
7850,Nepal,5496.791666666666,Bachelor's degree
7912,Nepal,5996.5,Bachelor's degree
8467,Nepal,7995.333333333333,Bachelor's degree
8527,Nepal,3497.958333333333,Bachelor's degree
8591,Nepal,29.9825,Bachelor's degree
8997,Nepal,9994.166666666666,Bachelor's degree
9068,Nepal,3497.958333333333,Bachelor's degree
9232,Nepal,4497.375,Bachelor's degree
9620,Nepal,6995.916666666666,Bachelor's degree
9868,Nepal,5996.5,college/university without bachelor's degree
10274,Nepal,3997.6666666666665,Bachelor's degree
11758,Nepal,3997.6666666666665,Bachelor's degree
14157,Nepal,7995.333333333333,Bachelor's degree
14507,Nepal,9994.166666666666,Bachelor's degree
14746,Nepal,14991.25,Bachelor's degree
14910,Nepal,2998.25,college/university without bachelor's degree
15130,Nepal,1199.3,Bachelor's degree
16182,Nepal,9994.166666666666,Bachelor's degree
16446,Nepal,44.97375,Bachelor's degree
16987,Nepal,5496.791666666666,Primary/elementary school
19941,Nepal,4997.083333333333,Bachelor's degree
20151,Nepal,7095.858333333334,Bachelor's degree
20172,Nepal,5796.616666666667,Bachelor's degree
20325,Nepal,5296.908333333333,Bachelor's degree
20732,Nepal,3497.958333333333,Bachelor's degree
20914,Nepal,4997.083333333333,Bachelor's degree
20959,Nepal,3497.958333333333,Bachelor's degree
21226,Nepal,2998.25,Bachelor's degree
21296,Nepal,7995.333333333333,Master's degree
21312,Nepal,6696.091666666667,Bachelor's degree
21517,Nepal,6995.916666666666,Master's degree
21878,Nepal,4997.083333333333,Master's degree
22322,Nepal,3997.6666666666665,Bachelor's degree
22565,Nepal,4497.375,Bachelor's degree
23086,Nepal,2998.25,Bachelor's degree
25010,Nepal,5996.5,Bachelor's degree
26418,Nepal,19.988333333333333,Bachelor's degree
26446,Nepal,17989.5,Bachelor's degree
27217,Nepal,12992.416666666666,Bachelor's degree
30156,Nepal,3198.133333333333,college/university without bachelor's degree
32863,Nepal,10044.1375,Bachelor's degree
33673,Nepal,3497.958333333333,Bachelor's degree
37206,Nepal,3497.958333333333,Bachelor's degree
40400,Nepal,5996.5,Bachelor's degree
43280,Nepal,9994.166666666666,Bachelor's degree
51546,Nepal,14991.25,college/university without bachelor's degree
51575,Nepal,1998.8333333333333,Bachelor's degree
52088,Nepal,2998.25,Bachelor's degree
53096,Nepal,17989.5,Master's degree
53824,Nepal,9294.575,Bachelor's degree
53886,Nepal,21.787283333333335,Bachelor's degree
54514,Nepal,2998.25,Bachelor's degree
54665,Nepal,11993.0,Bachelor's degree
55446,Nepal,0.09994166666666666,Bachelor's degree
56561,Nepal,11993.0,Bachelor's degree
58081,Nepal,249.85416666666666,Bachelor's degree
58186,Nepal,49.97083333333333,college/university without bachelor's degree
61635,Nepal,2498.5416666666665,Bachelor's degree
