,Country,Monthly_Sal_EUR,YearsCodePro
8,New Zealand,13791.949999999999,4
71,New Zealand,15990.666666666666,9
136,New Zealand,5746.645833333333,1
411,New Zealand,12492.708333333332,17
425,New Zealand,6995.916666666666,2
451,New Zealand,984.925125,20
954,New Zealand,8994.75,8
1198,New Zealand,3797.7833333333333,3
1218,New Zealand,13492.125,6
1932,New Zealand,7995.333333333333,7
2036,New Zealand,9144.662499999999,5
2355,New Zealand,15191.133333333333,28
2507,New Zealand,9994.166666666666,6
3396,New Zealand,699.5916666666667,8
3414,New Zealand,5596.733333333334,3
3455,New Zealand,9694.341666666667,5
3787,New Zealand,8495.041666666666,12
4252,New Zealand,7995.333333333333,8
4557,New Zealand,7195.8,3
4586,New Zealand,10893.641666666666,7
4764,New Zealand,49.97083333333333,2
5162,New Zealand,6396.266666666666,6
5327,New Zealand,14991.25,8
5561,New Zealand,6296.325000000001,1
6111,New Zealand,13492.125,6
6250,New Zealand,12492.708333333332,30
6570,New Zealand,8994.75,5
6906,New Zealand,9994.166666666666,10
7202,New Zealand,8195.216666666667,2
7349,New Zealand,9994.166666666666,5
7620,New Zealand,5996.5,7
7684,New Zealand,9894.224999999999,19
8684,New Zealand,14991.25,20
8777,New Zealand,7495.625,6
9532,New Zealand,6496.208333333333,5
9666,New Zealand,8495.041666666666,12
9680,New Zealand,10493.875,23
10072,New Zealand,2998.25,50
10110,New Zealand,9234.61,5
10531,New Zealand,4997.083333333333,1
10921,New Zealand,7495.625,2
11227,New Zealand,9594.4,11
12705,New Zealand,5776.628333333334,1
12740,New Zealand,10993.583333333332,16
12792,New Zealand,8395.099999999999,11
12819,New Zealand,8295.158333333333,7
12893,New Zealand,13492.125,28
13023,New Zealand,11493.291666666666,6
13157,New Zealand,6995.916666666666,3
13311,New Zealand,5996.5,10
13551,New Zealand,11993.0,20
13884,New Zealand,13991.833333333332,11
13996,New Zealand,13991.833333333332,40
14127,New Zealand,7183.307291666666,8
14344,New Zealand,12992.416666666666,31
14569,New Zealand,8495.041666666666,4
14634,New Zealand,8994.75,4
14682,New Zealand,9594.4,21
14756,New Zealand,69.95916666666666,1
15097,New Zealand,59.965,1
15403,New Zealand,582.9597416666667,3
15661,New Zealand,7495.625,2
15805,New Zealand,8994.75,1
16016,New Zealand,7795.450000000001,3
16577,New Zealand,11993.0,15
17037,New Zealand,8994.75,5
17237,New Zealand,174.89791666666667,15
17468,New Zealand,8694.925,4
17714,New Zealand,9494.458333333332,8
17796,New Zealand,5246.9375,3
17892,New Zealand,9994.166666666666,10
17983,New Zealand,5496.791666666666,1
17995,New Zealand,399.76666666666665,4
18041,New Zealand,499.7083333333333,5
18274,New Zealand,11493.291666666666,9
18291,New Zealand,5396.85,1
18422,New Zealand,7995.333333333333,2
18642,New Zealand,5097.025,5
18759,New Zealand,6995.916666666666,7
18887,New Zealand,5496.791666666666,1
19719,New Zealand,10493.875,10
19844,New Zealand,9994.166666666666,21
19885,New Zealand,18988.916666666664,24
20006,New Zealand,7495.625,1
20524,New Zealand,12492.708333333332,12
21151,New Zealand,6496.208333333333,1
21402,New Zealand,8994.75,3
21893,New Zealand,3997.6666666666665,1
22091,New Zealand,399.76666666666665,1
22123,New Zealand,6696.091666666667,4
22575,New Zealand,429.7491666666666,4
23303,New Zealand,10393.933333333332,10
23571,New Zealand,12992.416666666666,25
24200,New Zealand,154.90958333333333,1
24337,New Zealand,8495.041666666666,11
24362,New Zealand,87.94866666666667,1
24771,New Zealand,2431.880575,8
25002,New Zealand,7395.6833333333325,13
25549,New Zealand,5496.791666666666,3
25886,New Zealand,10993.583333333332,20
25997,New Zealand,9494.458333333332,8
26396,New Zealand,19988.333333333332,17
26816,New Zealand,6995.916666666666,3
27132,New Zealand,11993.0,19
27828,New Zealand,11693.175,18
27962,New Zealand,9494.458333333332,1
28402,New Zealand,14991.25,23
28859,New Zealand,7995.333333333333,6
29255,New Zealand,14391.6,22
29437,New Zealand,6496.208333333333,5
29502,New Zealand,6396.266666666666,1
30492,New Zealand,2998.25,5
30506,New Zealand,11993.0,9
30886,New Zealand,4469.391333333333,4
30990,New Zealand,6895.974999999999,3
31177,New Zealand,7995.333333333333,12
31739,New Zealand,14991.25,27
31828,New Zealand,12992.416666666666,22
31960,New Zealand,424.75208333333336,19
32073,New Zealand,6995.916666666666,2
32405,New Zealand,9994.166666666666,13
32409,New Zealand,7495.625,4
32493,New Zealand,9494.458333333332,3
32704,New Zealand,5496.791666666666,1
32812,New Zealand,6496.208333333333,3
33010,New Zealand,6096.441666666667,6
33970,New Zealand,15990.666666666666,5
34084,New Zealand,7195.8,20
34398,New Zealand,4097.608333333334,3
35043,New Zealand,7995.333333333333,30
36347,New Zealand,9494.458333333332,18
36353,New Zealand,14081.780833333332,21
36779,New Zealand,7995.333333333333,5
36807,New Zealand,10993.583333333332,20
37060,New Zealand,10493.875,6
37304,New Zealand,199.88333333333333,7
37471,New Zealand,7995.333333333333,2
37574,New Zealand,11493.291666666666,7
38167,New Zealand,6196.383333333333,2
38324,New Zealand,6995.916666666666,5
39260,New Zealand,17.889558333333333,1
39735,New Zealand,7245.770833333333,3
40182,New Zealand,13741.979166666666,6
40228,New Zealand,9994.166666666666,18
40276,New Zealand,5996.5,5
40577,New Zealand,94.94458333333333,1
40779,New Zealand,12292.824999999999,13
40829,New Zealand,12542.679166666665,8
41205,New Zealand,10493.875,14
41394,New Zealand,6496.208333333333,10
41489,New Zealand,999.4166666666666,13
41933,New Zealand,6995.916666666666,12
42206,New Zealand,10293.991666666667,37
42287,New Zealand,6496.208333333333,2
42342,New Zealand,5496.791666666666,17
42424,New Zealand,9994.166666666666,18
42860,New Zealand,10993.583333333332,15
43582,New Zealand,11493.291666666666,17
43590,New Zealand,11993.0,7
43625,New Zealand,10793.7,30
43691,New Zealand,7495.625,2
43738,New Zealand,16990.083333333332,13
43811,New Zealand,13492.125,21
43812,New Zealand,8894.808333333332,4
44138,New Zealand,71.958,2
44268,New Zealand,6496.208333333333,3
45207,New Zealand,6196.383333333333,8
45439,New Zealand,179.895,6
45477,New Zealand,11493.291666666666,1
45623,New Zealand,5996.5,5
45813,New Zealand,8395.099999999999,10
46038,New Zealand,7495.625,13
46407,New Zealand,7495.625,14
46483,New Zealand,7995.333333333333,5
46617,New Zealand,12492.708333333332,7
47121,New Zealand,6046.470833333334,2
48019,New Zealand,8994.75,22
48175,New Zealand,11193.466666666667,29
48475,New Zealand,6196.383333333333,12
48622,New Zealand,8694.925,4
48816,New Zealand,299.825,20
49194,New Zealand,919.4633333333333,8
49199,New Zealand,11493.291666666666,10
49731,New Zealand,15091.191666666668,13
49893,New Zealand,19988.333333333332,4
50023,New Zealand,10993.583333333332,12
50175,New Zealand,8295.158333333333,6
50188,New Zealand,95.94399999999999,5
50477,New Zealand,5996.5,3
50545,New Zealand,11493.291666666666,11
50588,New Zealand,12092.941666666668,8
51083,New Zealand,13492.125,14
51387,New Zealand,7345.7125,12
51453,New Zealand,5996.5,2
51725,New Zealand,6496.208333333333,1
51984,New Zealand,3997.6666666666665,2
52024,New Zealand,12492.708333333332,25
52345,New Zealand,97.74295000000001,9
52364,New Zealand,9494.458333333332,11
52492,New Zealand,12492.708333333332,16
52655,New Zealand,8095.275,2
52931,New Zealand,12992.416666666666,20
52949,New Zealand,8994.75,6
53042,New Zealand,3997.6666666666665,2
53355,New Zealand,8495.041666666666,12
53369,New Zealand,5746.645833333333,1
53399,New Zealand,9594.4,15
53510,New Zealand,8495.041666666666,5
53757,New Zealand,9494.458333333332,7
54004,New Zealand,10194.05,12
54404,New Zealand,6995.916666666666,22
54597,New Zealand,3198.133333333333,3
54653,New Zealand,12492.708333333332,29
54859,New Zealand,12492.708333333332,6
54962,New Zealand,7195.8,6
54980,New Zealand,14991.25,16
55061,New Zealand,10993.583333333332,8
55365,New Zealand,15990.666666666666,20
55537,New Zealand,14991.25,21
56256,New Zealand,16390.433333333334,10
56272,New Zealand,7695.508333333333,4
56386,New Zealand,4297.491666666667,3
56414,New Zealand,8495.041666666666,5
56556,New Zealand,10593.816666666666,14
56861,New Zealand,8994.75,6
56924,New Zealand,5796.616666666667,6
57144,New Zealand,11493.291666666666,14
57256,New Zealand,11493.291666666666,8
57469,New Zealand,14991.25,28
57548,New Zealand,39.97666666666667,1
57585,New Zealand,5496.791666666666,2
57706,New Zealand,9844.254166666666,22
57828,New Zealand,14491.541666666666,32
57913,New Zealand,5496.791666666666,1
57914,New Zealand,6696.091666666667,20
57985,New Zealand,4497.375,2
58031,New Zealand,11993.0,24
58059,New Zealand,8195.216666666667,23
58548,New Zealand,12992.416666666666,10
58672,New Zealand,3897.7250000000004,1
58805,New Zealand,17989.5,25
58860,New Zealand,7821.434833333334,6
58983,New Zealand,1199.3,12
59395,New Zealand,5996.5,11
59852,New Zealand,6816.021666666667,3
60301,New Zealand,4997.083333333333,3
60599,New Zealand,6995.916666666666,6
60990,New Zealand,9494.458333333332,8
61377,New Zealand,9994.166666666666,6
61606,New Zealand,6995.916666666666,5
61633,New Zealand,4997.083333333333,1
61666,New Zealand,99.94166666666666,3
62014,New Zealand,9994.166666666666,20
62172,New Zealand,9194.633333333333,20
62268,New Zealand,7495.625,25
62341,New Zealand,16490.375,20
62488,New Zealand,5496.791666666666,8
62651,New Zealand,7495.625,4
62874,New Zealand,5596.733333333334,2
64099,New Zealand,6496.208333333333,2
66305,New Zealand,5097.025,2
66306,New Zealand,13991.833333333332,13
66381,New Zealand,5496.791666666666,2
66423,New Zealand,5996.5,2
66814,New Zealand,6995.916666666666,1
66984,New Zealand,11993.0,3
67008,New Zealand,12492.708333333332,32
67286,New Zealand,6696.091666666667,2
68015,New Zealand,14991.25,6
68370,New Zealand,7495.625,5
68586,New Zealand,12492.708333333332,16
68728,New Zealand,99.94166666666666,1
68741,New Zealand,119.93,20
68988,New Zealand,11293.408333333333,5
69247,New Zealand,7995.333333333333,4
69351,New Zealand,7995.333333333333,3
69382,New Zealand,8994.75,6
69955,New Zealand,249.85416666666666,8
69963,New Zealand,14991.25,15
70045,New Zealand,7395.6833333333325,4
70072,New Zealand,14991.25,25
70284,New Zealand,169.9008333333333,4
70448,New Zealand,1.79895,1
70651,New Zealand,14991.25,22
70667,New Zealand,8495.041666666666,7
70797,New Zealand,6236.360000000001,1
70969,New Zealand,19988.333333333332,3
71158,New Zealand,5496.791666666666,1
71407,New Zealand,4997.083333333333,5
71441,New Zealand,8195.216666666667,2
71475,New Zealand,6096.441666666667,2
72371,New Zealand,5246.9375,2
72546,New Zealand,8495.041666666666,7
72676,New Zealand,8495.041666666666,12
72777,New Zealand,12992.416666666666,17
73236,New Zealand,8095.275,19
73441,New Zealand,4997.083333333333,1
73476,New Zealand,8195.216666666667,5
73659,New Zealand,11193.466666666667,13
73928,New Zealand,99.94166666666666,10
74005,New Zealand,13092.358333333334,20
74096,New Zealand,9194.633333333333,18
74258,New Zealand,10893.641666666666,10
74936,New Zealand,179.895,12
75630,New Zealand,7195.8,9
76036,New Zealand,7695.508333333333,3
76087,New Zealand,11993.0,11
76165,New Zealand,11993.0,10
76537,New Zealand,12292.824999999999,8
77183,New Zealand,16990.083333333332,20
77684,New Zealand,6995.916666666666,12
77759,New Zealand,4997.083333333333,1
77800,New Zealand,6496.208333333333,4
77931,New Zealand,12992.416666666666,10
78432,New Zealand,10993.583333333332,11
78437,New Zealand,7995.333333333333,4
78462,New Zealand,5496.791666666666,3
78608,New Zealand,12992.416666666666,10
79411,New Zealand,6995.916666666666,10
80277,New Zealand,11993.0,5
80717,New Zealand,6995.916666666666,4
80814,New Zealand,5496.791666666666,2
80877,New Zealand,15990.666666666666,10
81212,New Zealand,4747.229166666666,3
81435,New Zealand,5296.908333333333,2
81649,New Zealand,7995.333333333333,3
81747,New Zealand,11493.291666666666,20
82580,New Zealand,8994.75,8
82966,New Zealand,14195.314566666668,22
83090,New Zealand,8994.75,19
83761,New Zealand,8994.75,2
84263,New Zealand,15990.666666666666,31
84310,New Zealand,49.97083333333333,3
84709,New Zealand,17989.5,11
84846,New Zealand,17989.5,20
85028,New Zealand,3797.7833333333333,3
85188,New Zealand,17489.791666666664,23
85418,New Zealand,19988.333333333332,9
85482,New Zealand,4997.083333333333,5
85554,New Zealand,144.91541666666666,14
86123,New Zealand,12492.708333333332,10
86172,New Zealand,12692.591666666667,20
86579,New Zealand,12992.416666666666,6
86589,New Zealand,7995.333333333333,4
86779,New Zealand,4997.083333333333,1
86802,New Zealand,7995.333333333333,5
86956,New Zealand,5996.5,1
87298,New Zealand,4997.083333333333,2
87641,New Zealand,5996.5,3
88137,New Zealand,7995.333333333333,2
88228,New Zealand,13991.833333333332,6
