,Country,Monthly_Sal_EUR,EdLevel
229,Nicaragua,7995.333333333333,Bachelor's degree
573,Nicaragua,999.4166666666666,college/university without bachelor's degree
7833,Nicaragua,3298.075,Bachelor's degree
10001,Nicaragua,449.7375,Bachelor's degree
10847,Nicaragua,44.97375,Professional degree
36868,Nicaragua,3098.1916666666666,college/university without bachelor's degree
40156,Nicaragua,199.88333333333333,Professional degree
46277,Nicaragua,1942.866,Bachelor's degree
52203,Nicaragua,299.825,college/university without bachelor's degree
52640,Nicaragua,77.9545,Bachelor's degree
54478,Nicaragua,4997.083333333333,Master's degree
59300,Nicaragua,99.94166666666666,Bachelor's degree
61885,Nicaragua,139.91833333333332,Associate degree
63355,Nicaragua,199.88333333333333,Master's degree
63717,Nicaragua,1998.8333333333333,Professional degree
73837,Nicaragua,119.93,Bachelor's degree
75554,Nicaragua,1938.8683333333333,Associate degree
76059,Nicaragua,3497.958333333333,Professional degree
80830,Nicaragua,29.9825,Bachelor's degree
85164,Nicaragua,2398.6,college/university without bachelor's degree
87795,Nicaragua,149.9125,Master's degree
