,Country,Monthly_Sal_EUR,YearsCodePro
949,Nigeria,432.94730000000004,0
2365,Nigeria,555.2759,6
2461,Nigeria,1499.125,6
3985,Nigeria,500.1081,0
4094,Nigeria,416.15709999999996,3
4123,Nigeria,666.3110916666667,3
4449,Nigeria,13325.4223,3
4781,Nigeria,99.5419,0
4979,Nigeria,3597.9,3
5858,Nigeria,766.3527,3
6357,Nigeria,1332.2224166666665,3
6757,Nigeria,166.7027,0
7532,Nigeria,83.25140833333333,0
9273,Nigeria,179.895,0
10609,Nigeria,1332.4223,3
11438,Nigeria,832.3141999999999,3
11440,Nigeria,309.4194,0
12839,Nigeria,3164.9527,3
13039,Nigeria,999.0169000000001,0
16363,Nigeria,999.0169000000001,0
16549,Nigeria,449.7375,3
16918,Nigeria,266.2446,3
16948,Nigeria,333.4054,0
17265,Nigeria,119.93,0
18182,Nigeria,1332.4223,3
18639,Nigeria,666.8108,0
18895,Nigeria,999.0169000000001,9
21534,Nigeria,266.2446,0
21671,Nigeria,832.3141999999999,3
23577,Nigeria,599.65,0
23988,Nigeria,99.5419,0
24189,Nigeria,1015.8071,0
24336,Nigeria,1499.125,9
24509,Nigeria,9328.1554,3
24828,Nigeria,1798.95,6
26158,Nigeria,1604.6634,3
29006,Nigeria,1199.3,0
29974,Nigeria,3997.2668999999996,0
31069,Nigeria,350.1956,6
31223,Nigeria,333.4054,0
32903,Nigeria,1139.335,3
34442,Nigeria,2998.25,3
34810,Nigeria,299.825,0
35157,Nigeria,599.65,0
35420,Nigeria,232.6642,0
36509,Nigeria,555.2759,0
37102,Nigeria,333.105575,0
37396,Nigeria,399.3669,0
40080,Nigeria,166.7027,0
40232,Nigeria,266.2446,0
42161,Nigeria,1332.4223,0
42209,Nigeria,239.86,3
44462,Nigeria,999.4166666666666,6
45057,Nigeria,266.2446,0
45244,Nigeria,1332.4223,3
45964,Nigeria,1798.95,0
46243,Nigeria,2283.4672,3
46483,Nigeria,41.675675,3
46766,Nigeria,4797.2,0
47332,Nigeria,500.1081,0
48676,Nigeria,233.8635,3
51404,Nigeria,333.4054,0
51504,Nigeria,2220.9037166666667,3
54222,Nigeria,500.1081,0
54315,Nigeria,1249.2708333333333,3
55017,Nigeria,1703.0059999999999,3
55411,Nigeria,1944.8648333333333,6
55803,Nigeria,67.1608,0
56014,Nigeria,333.4054,6
56344,Nigeria,999.4166666666666,0
57033,Nigeria,1701.8067,3
58235,Nigeria,239.86,0
58371,Nigeria,333.4054,0
58454,Nigeria,11993.0,0
59095,Nigeria,3331.6554,3
59521,Nigeria,2565.3027,6
63357,Nigeria,832.3141999999999,3
65154,Nigeria,599.65,6
66655,Nigeria,333.105575,0
68300,Nigeria,1265.9610916666666,3
69106,Nigeria,399.3669,0
69458,Nigeria,500.1081,3
69643,Nigeria,4664.0777,0
71235,Nigeria,1332.4223,6
71640,Nigeria,1079.37,6
72527,Nigeria,149.9125,0
72854,Nigeria,109.93583333333333,0
72988,Nigeria,67.1608,0
73388,Nigeria,33.5804,3
73820,Nigeria,209.8775,0
74098,Nigeria,1199.3,6
74118,Nigeria,1389.1891666666666,0
74283,Nigeria,67.1608,3
74696,Nigeria,5756.64,3
74725,Nigeria,18322.9054,27
75397,Nigeria,1332.5222416666666,3
75456,Nigeria,4797.2,12
75516,Nigeria,266.2446,0
75841,Nigeria,1110.4518583333333,3
76712,Nigeria,11493.291666666666,9
76742,Nigeria,2398.6,3
77070,Nigeria,166.7027,0
77202,Nigeria,1332.4223,6
77616,Nigeria,839.51,3
77800,Nigeria,50.3706,0
78009,Nigeria,599.65,0
78036,Nigeria,266.2446,3
78910,Nigeria,33.5804,0
79255,Nigeria,333.4054,0
80725,Nigeria,107.93700000000001,3
81430,Nigeria,5996.5,0
82317,Nigeria,1798.95,3
82688,Nigeria,27.783783333333332,0
82866,Nigeria,500.1081,0
83170,Nigeria,555.2759,0
83651,Nigeria,1165.7196,0
84305,Nigeria,133.1223,0
85169,Nigeria,749.5625,3
85178,Nigeria,1389.1891666666666,3
85400,Nigeria,599.65,3
85875,Nigeria,4497.375,0
85992,Nigeria,166.7027,0
86504,Nigeria,82.7517,0
86818,Nigeria,119.93,0
