,Country,Monthly_Sal_EUR,YearsCodePro
1639,Norway,15490.958333333332,12
2640,Norway,3997.6666666666665,2
2792,Norway,8994.75,50
7549,Norway,4997.083333333333,3
8420,Norway,7295.741666666667,26
9184,Norway,8495.041666666666,8
11391,Norway,4897.141666666666,3
11609,Norway,4997.083333333333,6
11854,Norway,9994.166666666666,15
14513,Norway,10993.583333333332,18
15047,Norway,77.9545,6
16645,Norway,4497.375,10
18916,Norway,4577.328333333333,5
21077,Norway,9994.166666666666,5
21210,Norway,999.4166666666666,1
21873,Norway,3198.133333333333,1
22256,Norway,13991.833333333332,8
22277,Norway,2398.6,1
28972,Norway,3539.634008333333,2
29098,Norway,2698.425,5
31613,Norway,9694.341666666667,15
39433,Norway,4497.375,1
44253,Norway,4197.549999999999,5
47310,Norway,3797.7833333333333,2
50470,Norway,619.6383333333333,7
51559,Norway,1199.3,1
52539,Norway,4397.433333333333,1
55188,Norway,3997.6666666666665,1
55424,Norway,3497.958333333333,12
56050,Norway,4077.62,3
59351,Norway,6596.15,13
59808,Norway,587.6569999999999,3
61449,Norway,12992.416666666666,10
61520,Norway,6995.916666666666,8
