,Country,Monthly_Sal_EUR,YearsCodePro
5166,Other Country (Not Listed Above),689.5975,0
8378,Other Country (Not Listed Above),5137.8012,6
16534,Other Country (Not Listed Above),953.4435,0
17167,Other Country (Not Listed Above),620.0381,3
17736,Other Country (Not Listed Above),3058.215,12
18861,Other Country (Not Listed Above),3302.572375,3
19613,Other Country (Not Listed Above),2638.46,3
20904,Other Country (Not Listed Above),4990.2873,6
22108,Other Country (Not Listed Above),12492.708333333332,6
23564,Other Country (Not Listed Above),3748.2122666666664,0
25296,Other Country (Not Listed Above),1663.4290999999998,3
26083,Other Country (Not Listed Above),8329.338383333332,3
27289,Other Country (Not Listed Above),1467.9432,3
29620,Other Country (Not Listed Above),3997.6666666666665,6
32628,Other Country (Not Listed Above),1764.1703,0
33510,Other Country (Not Listed Above),7163.418900000001,24
34378,Other Country (Not Listed Above),6496.208333333333,3
35291,Other Country (Not Listed Above),2788.772266666667,6
41901,Other Country (Not Listed Above),10793.7,15
46104,Other Country (Not Listed Above),9594.4,6
46763,Other Country (Not Listed Above),5997.6993,9
49595,Other Country (Not Listed Above),1247.272,3
51340,Other Country (Not Listed Above),7912.881458333333,6
59907,Other Country (Not Listed Above),10.993583333333333,12
61405,Other Country (Not Listed Above),2038.81,6
67070,Other Country (Not Listed Above),16790.199999999997,15
67874,Other Country (Not Listed Above),5830.596833333333,3
70739,Other Country (Not Listed Above),6096.441666666667,9
71247,Other Country (Not Listed Above),3936.1026,0
74625,Other Country (Not Listed Above),4797.2,21
76475,Other Country (Not Listed Above),1309.6356,27
78251,Other Country (Not Listed Above),2336.2364,0
78779,Other Country (Not Listed Above),2642.0579,3
79492,Other Country (Not Listed Above),16658.277,30
84196,Other Country (Not Listed Above),1027.8001,0
85716,Other Country (Not Listed Above),694.5945833333333,0
