,Country,Monthly_Sal_EUR,YearsCodePro
83,Pakistan,3997.6666666666665,2
354,Pakistan,15690.841666666667,6
620,Pakistan,15490.958333333332,7
1477,Pakistan,2498.5416666666665,1
1489,Pakistan,8295.158333333333,3
1542,Pakistan,11993.0,6
1980,Pakistan,5996.5,2
2046,Pakistan,4497.375,2
2511,Pakistan,299.825,6
2520,Pakistan,14991.25,3
3026,Pakistan,1199.3,6
3078,Pakistan,9.994166666666667,1
3215,Pakistan,6995.916666666666,2
3474,Pakistan,5246.9375,4
3562,Pakistan,8994.75,4
3863,Pakistan,10993.583333333332,4
3897,Pakistan,13741.979166666666,12
4134,Pakistan,4997.083333333333,3
4217,Pakistan,99.94166666666666,3
4261,Pakistan,29.9825,17
4417,Pakistan,5496.791666666666,2
4722,Pakistan,1998.8333333333333,1
5040,Pakistan,149.9125,5
5054,Pakistan,6496.208333333333,3
5088,Pakistan,9994.166666666666,6
5212,Pakistan,7295.741666666667,2
5892,Pakistan,5996.5,2
5994,Pakistan,8495.041666666666,4
6215,Pakistan,8495.041666666666,3
6875,Pakistan,2498.5416666666665,1
6978,Pakistan,15291.074999999999,5
7114,Pakistan,12992.416666666666,4
7142,Pakistan,1998.8333333333333,11
7237,Pakistan,2998.25,2
7544,Pakistan,9994.166666666666,4
7755,Pakistan,7995.333333333333,2
8205,Pakistan,4997.083333333333,2
8560,Pakistan,99.94166666666666,3
8988,Pakistan,4997.083333333333,2
9089,Pakistan,7995.333333333333,2
9292,Pakistan,7995.333333333333,4
9635,Pakistan,10493.875,4
9756,Pakistan,2998.25,3
10073,Pakistan,399.76666666666665,3
10336,Pakistan,15990.666666666666,6
11535,Pakistan,9.994166666666667,12
11694,Pakistan,5996.5,2
11816,Pakistan,3997.6666666666665,2
11842,Pakistan,4997.083333333333,7
11850,Pakistan,6995.916666666666,3
12569,Pakistan,2498.5416666666665,2
12594,Pakistan,12992.416666666666,5
12664,Pakistan,99.94166666666666,5
12995,Pakistan,2498.5416666666665,3
13327,Pakistan,4497.375,1
13782,Pakistan,7995.333333333333,2
13968,Pakistan,11993.0,3
13981,Pakistan,2498.5416666666665,1
14062,Pakistan,4497.375,4
14065,Pakistan,159.90666666666667,5
14109,Pakistan,7495.625,2
14112,Pakistan,3497.958333333333,2
14335,Pakistan,14991.25,7
14445,Pakistan,4997.083333333333,2
14663,Pakistan,149.9125,3
14704,Pakistan,2998.25,2
14943,Pakistan,11793.116666666665,5
15319,Pakistan,6496.208333333333,9
15456,Pakistan,11993.0,4
16361,Pakistan,199.88333333333333,8
16432,Pakistan,11493.291666666666,7
17094,Pakistan,17989.5,12
17236,Pakistan,7495.625,5
17328,Pakistan,7995.333333333333,2
17453,Pakistan,6995.916666666666,1
17770,Pakistan,3697.8416666666662,6
18073,Pakistan,7495.625,4
18403,Pakistan,9994.166666666666,1
18636,Pakistan,1998.8333333333333,1
18852,Pakistan,5996.5,5
19065,Pakistan,2798.366666666667,2
19130,Pakistan,18489.208333333332,8
19160,Pakistan,349.79583333333335,21
19376,Pakistan,1499.125,1
19457,Pakistan,5996.5,3
19475,Pakistan,14991.25,5
20070,Pakistan,17989.5,9
20267,Pakistan,4967.100833333333,1
21612,Pakistan,27.983666666666668,3
21708,Pakistan,5996.5,3
21727,Pakistan,2933.2879166666667,2
21808,Pakistan,209.8775,15
22015,Pakistan,19.988333333333333,5
22318,Pakistan,12492.708333333332,3
22340,Pakistan,2998.25,2
22350,Pakistan,7695.508333333333,3
22471,Pakistan,9844.254166666666,3
22722,Pakistan,5996.5,2
22759,Pakistan,3997.6666666666665,5
22991,Pakistan,5404.845333333333,3
23361,Pakistan,191.88799999999998,6
23746,Pakistan,7995.333333333333,3
23771,Pakistan,8994.75,3
23954,Pakistan,4997.083333333333,2
24423,Pakistan,99.94166666666666,3
25063,Pakistan,9994.166666666666,5
25428,Pakistan,9494.458333333332,4
25534,Pakistan,5996.5,2
25912,Pakistan,3497.958333333333,2
25927,Pakistan,4497.375,3
26003,Pakistan,3797.7833333333333,3
26004,Pakistan,11993.0,6
26287,Pakistan,3497.958333333333,1
26364,Pakistan,9094.691666666666,2
26516,Pakistan,3997.6666666666665,3
26744,Pakistan,199.88333333333333,3
26867,Pakistan,8694.925,3
26870,Pakistan,49.97083333333333,2
27057,Pakistan,3497.958333333333,2
27479,Pakistan,2498.5416666666665,1
27763,Pakistan,14991.25,6
28169,Pakistan,16490.375,17
28490,Pakistan,4997.083333333333,3
28560,Pakistan,7995.333333333333,3
28583,Pakistan,170.70036666666664,1
28595,Pakistan,15071.203333333333,8
28695,Pakistan,19988.333333333332,18
28909,Pakistan,12992.416666666666,6
29068,Pakistan,10293.991666666667,7
29492,Pakistan,4997.083333333333,2
30275,Pakistan,6296.325000000001,4
30977,Pakistan,4997.083333333333,3
31035,Pakistan,9994.166666666666,8
31127,Pakistan,8495.041666666666,5
31593,Pakistan,1499.125,2
31627,Pakistan,10493.875,3
31755,Pakistan,13991.833333333332,5
31767,Pakistan,9994.166666666666,2
33138,Pakistan,14991.25,5
33323,Pakistan,28.7832,4
33383,Pakistan,13791.949999999999,8
34446,Pakistan,5796.616666666667,1
34523,Pakistan,3997.6666666666665,2
34608,Pakistan,6995.916666666666,2
34688,Pakistan,12492.708333333332,4
34858,Pakistan,15990.666666666666,8
35022,Pakistan,9994.166666666666,10
35149,Pakistan,2998.25,3
35159,Pakistan,44.97375,3
35714,Pakistan,3497.958333333333,1
35745,Pakistan,12992.416666666666,2
35847,Pakistan,9494.458333333332,6
36646,Pakistan,8495.041666666666,5
36733,Pakistan,11653.198333333334,4
37061,Pakistan,6496.208333333333,2
37494,Pakistan,299.825,1
37641,Pakistan,6995.916666666666,4
37758,Pakistan,4997.083333333333,2
38047,Pakistan,11993.0,2
38617,Pakistan,19488.625,10
38702,Pakistan,3997.6666666666665,4
38780,Pakistan,18339.295833333334,9
39520,Pakistan,16990.083333333332,13
39527,Pakistan,3997.6666666666665,3
39796,Pakistan,4697.258333333333,2
39987,Pakistan,4497.375,2
40074,Pakistan,59.965,5
40149,Pakistan,4997.083333333333,3
40562,Pakistan,4997.083333333333,1
40751,Pakistan,9994.166666666666,5
40765,Pakistan,12492.708333333332,8
40895,Pakistan,9994.166666666666,4
40978,Pakistan,1998.8333333333333,1
41033,Pakistan,11993.0,4
42161,Pakistan,4997.083333333333,2
42476,Pakistan,7995.333333333333,2
42525,Pakistan,12992.416666666666,5
42976,Pakistan,3497.958333333333,1
42981,Pakistan,199.88333333333333,6
43146,Pakistan,13492.125,7
43204,Pakistan,5996.5,3
43242,Pakistan,5996.5,1
43260,Pakistan,5996.5,4
43761,Pakistan,8345.129166666666,3
44425,Pakistan,5496.791666666666,1
44647,Pakistan,11993.0,6
45155,Pakistan,1798.95,1
45592,Pakistan,8395.099999999999,3
45649,Pakistan,7434.160875,1
46099,Pakistan,13991.833333333332,4
46392,Pakistan,9994.166666666666,5
46808,Pakistan,399.76666666666665,14
47422,Pakistan,8495.041666666666,3
