,Country,Monthly_Sal_EUR,EdLevel
295,Panama,259.84833333333336,college/university without bachelor's degree
18476,Panama,199.88333333333333,Bachelor's degree
23257,Panama,169.9008333333333,college/university without bachelor's degree
32283,Panama,149.9125,college/university without bachelor's degree
34704,Panama,229.8658333333333,Master's degree
41622,Panama,94.94458333333333,Secondary school
42963,Panama,249.85416666666666,Bachelor's degree
48443,Panama,94.444875,college/university without bachelor's degree
50034,Panama,199.88333333333333,Master's degree
50082,Panama,149.9125,Bachelor's degree
58847,Panama,1998.8333333333333,Bachelor's degree
60114,Panama,2498.5416666666665,Professional degree
61617,Panama,599.65,Master's degree
