,Country,Monthly_Sal_EUR,EdLevel
5051,Paraguay,809.5274999999999,Bachelor's degree
6105,Paraguay,1559.0900000000001,Bachelor's degree
6444,Paraguay,19988.333333333332,Master's degree
6473,Paraguay,9994.166666666666,Master's degree
7487,Paraguay,1798.95,Bachelor's degree
7559,Paraguay,599.65,Professional degree
11042,Paraguay,2878.32,Bachelor's degree
26347,Paraguay,1417.5726,Bachelor's degree
41250,Paraguay,1199.3,Bachelor's degree
42149,Paraguay,581.6605,college/university without bachelor's degree
49710,Paraguay,1798.95,college/university without bachelor's degree
57888,Paraguay,2398.6,college/university without bachelor's degree
62480,Paraguay,749.5625,college/university without bachelor's degree
64381,Paraguay,1798.95,Bachelor's degree
65332,Paraguay,3148.1625000000004,Secondary school
83596,Paraguay,2398.6,Bachelor's degree
87712,Paraguay,1064.9784,Bachelor's degree
