,Country,Monthly_Sal_EUR,YearsCodePro
1084,Peru,8794.866666666667,6
2776,Peru,1319.23,6
7337,Peru,959.44,3
12078,Peru,933.0554,0
15240,Peru,2240.2924,3
17746,Peru,7495.625,9
18362,Peru,1306.0376999999999,6
18669,Peru,1866.1108,3
19907,Peru,2053.2016,0
22104,Peru,1798.95,0
25386,Peru,2426.5836666666664,6
25426,Peru,3360.4386,6
26118,Peru,747.1639,0
27715,Peru,2398.6,6
29147,Peru,970.2337,3
32451,Peru,2518.5299999999997,3
35866,Peru,2498.5416666666665,12
37712,Peru,933.0554,3
38925,Peru,747.1639,3
39130,Peru,448.5382,0
50348,Peru,372.9823,0
54713,Peru,1088.8644583333332,6
56276,Peru,560.0731,3
57278,Peru,5996.5,18
58028,Peru,1866.1108,6
59260,Peru,634.4296999999999,0
60425,Peru,2240.2924,6
65878,Peru,1306.0376999999999,3
66605,Peru,2498.5416666666665,6
70055,Peru,671.608,3
71183,Peru,1306.0376999999999,6
71718,Peru,599.65,3
71739,Peru,671.608,3
75955,Peru,5996.5,9
77409,Peru,2986.257,12
80346,Peru,560.0731,9
81196,Peru,299.825,0
84355,Peru,779.5450000000001,0
