,Country,Monthly_Sal_EUR,EdLevel
411,Peru,1599.0666666666666,Bachelor's degree
736,Peru,92.94574999999999,Bachelor's degree
917,Peru,349.79583333333335,college/university without bachelor's degree
2728,Peru,1499.125,Bachelor's degree
3044,Peru,119.93,college/university without bachelor's degree
3582,Peru,349.79583333333335,Bachelor's degree
4147,Peru,99.94166666666666,Bachelor's degree
15794,Peru,8994.75,college/university without bachelor's degree
17124,Peru,299.825,Bachelor's degree
17140,Peru,349.79583333333335,Bachelor's degree
17351,Peru,169.9008333333333,Bachelor's degree
17447,Peru,415.7573333333333,Doctoral degree
17457,Peru,79.95333333333333,college/university without bachelor's degree
17935,Peru,349.79583333333335,Bachelor's degree
18061,Peru,249.85416666666666,Bachelor's degree
19258,Peru,4197.549999999999,Master's degree
19319,Peru,5996.5,Professional degree
19477,Peru,999.4166666666666,college/university without bachelor's degree
19662,Peru,2498.5416666666665,Bachelor's degree
19664,Peru,599.65,Bachelor's degree
19915,Peru,199.88333333333333,Bachelor's degree
19985,Peru,479.72,Bachelor's degree
24172,Peru,749.5625,Bachelor's degree
24478,Peru,499.7083333333333,college/university without bachelor's degree
24717,Peru,99.94166666666666,Associate degree
26262,Peru,4637.293333333333,Associate degree
27702,Peru,99.94166666666666,college/university without bachelor's degree
30021,Peru,179.895,Bachelor's degree
35059,Peru,419.755,Bachelor's degree
35830,Peru,149.9125,Bachelor's degree
41482,Peru,99.94166666666666,Secondary school
41741,Peru,799.5333333333333,Bachelor's degree
42124,Peru,449.7375,Bachelor's degree
44570,Peru,79.95333333333333,Bachelor's degree
44608,Peru,699.5916666666667,Bachelor's degree
44974,Peru,134.92125,Bachelor's degree
45106,Peru,8994.75,Master's degree
48829,Peru,599.65,Bachelor's degree
50009,Peru,249.85416666666666,Bachelor's degree
50105,Peru,119.93,college/university without bachelor's degree
52218,Peru,899.475,Professional degree
52525,Peru,229.8658333333333,Bachelor's degree
52699,Peru,599.65,Bachelor's degree
56766,Peru,199.88333333333333,Bachelor's degree
56798,Peru,299.825,Associate degree
57229,Peru,19.988333333333333,college/university without bachelor's degree
57540,Peru,549.6791666666667,Professional degree
59123,Peru,2998.25,Bachelor's degree
59272,Peru,199.88333333333333,Bachelor's degree
59395,Peru,1199.3,Master's degree
60685,Peru,349.79583333333335,Bachelor's degree
60691,Peru,829.5158333333334,Bachelor's degree
