,Country,Monthly_Sal_EUR,EdLevel
358,Philippines,5996.5,Bachelor's degree
1103,Philippines,8055.298333333333,Master's degree
2355,Philippines,5496.791666666666,Bachelor's degree
5091,Philippines,299.825,Bachelor's degree
5674,Philippines,6995.916666666666,Bachelor's degree
5676,Philippines,2898.3083333333334,Bachelor's degree
5820,Philippines,4867.159166666666,Bachelor's degree
5824,Philippines,4997.083333333333,Master's degree
6184,Philippines,3098.1916666666666,Bachelor's degree
6352,Philippines,3997.6666666666665,college/university without bachelor's degree
6388,Philippines,2998.25,college/university without bachelor's degree
6419,Philippines,11993.0,Bachelor's degree
6434,Philippines,118.93058333333335,Bachelor's degree
6468,Philippines,2498.5416666666665,Bachelor's degree
6551,Philippines,1998.8333333333333,Bachelor's degree
6612,Philippines,3997.6666666666665,Bachelor's degree
6698,Philippines,2998.25,Bachelor's degree
6747,Philippines,7.995333333333333,Master's degree
6798,Philippines,11993.0,Bachelor's degree
7383,Philippines,2498.5416666666665,Bachelor's degree
7612,Philippines,2498.5416666666665,Bachelor's degree
7752,Philippines,1599.0666666666666,Bachelor's degree
8154,Philippines,7995.333333333333,Bachelor's degree
9764,Philippines,5996.5,Bachelor's degree
10496,Philippines,11993.0,Secondary school
10769,Philippines,14991.25,Bachelor's degree
11268,Philippines,5996.5,Bachelor's degree
11281,Philippines,14191.716666666667,Bachelor's degree
12382,Philippines,5996.5,Bachelor's degree
14095,Philippines,3298.075,Bachelor's degree
14730,Philippines,3497.958333333333,Bachelor's degree
15303,Philippines,2998.25,Bachelor's degree
15886,Philippines,4497.375,college/university without bachelor's degree
19250,Philippines,13492.125,Bachelor's degree
19623,Philippines,1798.95,Bachelor's degree
19761,Philippines,3997.6666666666665,Bachelor's degree
19936,Philippines,599.65,Bachelor's degree
20010,Philippines,10993.583333333332,Bachelor's degree
20232,Philippines,3997.6666666666665,Bachelor's degree
20842,Philippines,2898.3083333333334,Bachelor's degree
21074,Philippines,999.4166666666666,Bachelor's degree
21440,Philippines,1019.405,Bachelor's degree
21461,Philippines,3198.133333333333,Bachelor's degree
21591,Philippines,1798.95,Bachelor's degree
21989,Philippines,3497.958333333333,Bachelor's degree
22085,Philippines,2498.5416666666665,Bachelor's degree
22316,Philippines,3797.7833333333333,Master's degree
22607,Philippines,7995.333333333333,Bachelor's degree
22619,Philippines,3797.7833333333333,Bachelor's degree
22731,Philippines,2498.5416666666665,Bachelor's degree
