,Country,Monthly_Sal_EUR,YearsCodePro
377,Portugal,3584.2293906809996,10.0
916,Portugal,1030.4659498207916,2.0
3911,Portugal,1075.2688172043,2.0
4488,Portugal,1693.5483870967748,19.0
4670,Portugal,1523.297491039425,3.0
4717,Portugal,1209.6774193548417,5.0
4796,Portugal,1971.3261648745497,15.0
5131,Portugal,1612.9032258064499,2.0
5447,Portugal,3763.4408602150497,11.0
5484,Portugal,2105.7347670250915,19.0
6139,Portugal,201.61290322580663,15.0
9252,Portugal,1164.874551971325,1.0
10185,Portugal,5645.161290322583,16.0
10588,Portugal,867.5627240143333,8.0
12298,Portugal,3763.4408602150497,9.0
12312,Portugal,3763.4408602150497,10.0
12350,Portugal,2688.17204301075,4.0
12628,Portugal,89.60573476702498,1.0
14852,Portugal,1344.086021505375,2.0
16602,Portugal,1612.9032258064499,8.0
19274,Portugal,89.60573476702498,7.0
19412,Portugal,1433.6917562723997,2.0
19435,Portugal,208.51254480286747,10.0
20679,Portugal,1720.4301075268834,6.0
21483,Portugal,1612.9032258064499,1.0
21788,Portugal,627.2401433691758,3.0
22864,Portugal,161.29032258064498,5.0
23025,Portugal,2258.064516129033,3.0
23229,Portugal,1605.7347670250915,4.0
23698,Portugal,1756.2724014336918,1.0
23739,Portugal,1505.376344086025,2.0
24186,Portugal,967.741935483875,3.0
24552,Portugal,1344.086021505375,15.0
26214,Portugal,1630.8243727598583,5.0
26742,Portugal,1254.48028673835,1.0
27086,Portugal,4480.2867383512585,10.0
28253,Portugal,806.4516129032259,4.0
28857,Portugal,1344.086021505375,3.0
29495,Portugal,134.4086021505375,3.0
32568,Portugal,1881.7204301075249,10.0
32585,Portugal,655.9139784946233,2.0
32901,Portugal,1344.086021505375,3.0
33152,Portugal,1075.2688172043,4.0
33810,Portugal,1344.086021505375,3.0
34224,Portugal,768.817204301075,7.0
35043,Portugal,824.3727598566308,3.0
36954,Portugal,1433.6917562723997,3.0
37177,Portugal,1971.3261648745497,3.0
37667,Portugal,5376.344086021508,20.0
39065,Portugal,3036.738351254483,14.0
41758,Portugal,1792.1146953404998,4.0
43210,Portugal,2016.1290322580664,9.0
43384,Portugal,1075.2688172043,3.0
43708,Portugal,2867.3835125447995,9.0
44728,Portugal,4139.7849462365575,6.0
45328,Portugal,1379.9283154121833,4.0
45830,Portugal,1.3440860215053747,2.0
46267,Portugal,1792.1146953404998,14.0
46734,Portugal,2688.17204301075,9.0
47855,Portugal,2867.3835125447995,4.0
49405,Portugal,1630.8243727598583,1.0
49463,Portugal,1433.6917562723997,7.0
49562,Portugal,810.9318996415766,3.0
50358,Portugal,896.0573476702499,3.0
51111,Portugal,4032.258064516125,16.0
51356,Portugal,1290.3225806451583,1.0
