,Country,Monthly_Sal_EUR,EdLevel
199,Portugal,369.78416666666664,Bachelor's degree
634,Portugal,109.93583333333333,Master's degree
866,Portugal,259.84833333333336,Bachelor's degree
1260,Portugal,159.90666666666667,Bachelor's degree
1483,Portugal,1399.1833333333334,Master's degree
1863,Portugal,191.38829166666667,Master's degree
1906,Portugal,359.79,college/university without bachelor's degree
1960,Portugal,239.86,college/university without bachelor's degree
2142,Portugal,221.8705,Master's degree
2183,Portugal,199.88333333333333,Bachelor's degree
2399,Portugal,98.94225,Master's degree
2740,Portugal,119.93,Professional degree
2957,Portugal,229.8658333333333,Secondary school
3332,Portugal,3148.1625000000004,Master's degree
3411,Portugal,1798.95,Master's degree
3688,Portugal,2198.7166666666667,Bachelor's degree
4376,Portugal,2498.5416666666665,Secondary school
5608,Portugal,104.93875,college/university without bachelor's degree
5733,Portugal,99.94166666666666,Master's degree
5978,Portugal,129.92416666666668,Secondary school
5988,Portugal,159.90666666666667,Master's degree
7066,Portugal,219.87166666666667,Bachelor's degree
8069,Portugal,6496.208333333333,Doctoral degree
8226,Portugal,124.92708333333333,college/university without bachelor's degree
8339,Portugal,3697.8416666666662,Bachelor's degree
8479,Portugal,134.92125,Master's degree
9077,Portugal,399.76666666666665,college/university without bachelor's degree
9148,Portugal,3997.6666666666665,Master's degree
9207,Portugal,3697.8416666666662,Master's degree
9332,Portugal,4097.608333333334,Bachelor's degree
9399,Portugal,309.81916666666666,Doctoral degree
9725,Portugal,229.8658333333333,Bachelor's degree
9818,Portugal,99.94166666666666,Master's degree
9946,Portugal,119.93,Secondary school
9963,Portugal,109.93583333333333,Professional degree
10146,Portugal,64.96208333333334,Secondary school
10352,Portugal,1587.0736666666667,Master's degree
10380,Portugal,149.9125,Bachelor's degree
10645,Portugal,3198.133333333333,Bachelor's degree
11866,Portugal,109.93583333333333,Bachelor's degree
11923,Portugal,229.8658333333333,college/university without bachelor's degree
11961,Portugal,89.9475,college/university without bachelor's degree
12464,Portugal,141.91716666666667,Master's degree
12863,Portugal,159.90666666666667,Master's degree
13102,Portugal,2798.366666666667,Master's degree
13241,Portugal,5996.5,Master's degree
13357,Portugal,79.95333333333333,college/university without bachelor's degree
13994,Portugal,139.91833333333332,Master's degree
14093,Portugal,149.9125,college/university without bachelor's degree
14172,Portugal,179.895,Professional degree
14242,Portugal,399.76666666666665,Master's degree
14840,Portugal,134.92125,Bachelor's degree
14882,Portugal,139.91833333333332,Bachelor's degree
15088,Portugal,439.74333333333334,Bachelor's degree
15753,Portugal,299.825,Master's degree
15866,Portugal,199.88333333333333,Associate degree
15891,Portugal,164.90375,Master's degree
16038,Portugal,1948.8625000000002,Master's degree
16345,Portugal,19988.333333333332,Secondary school
16494,Portugal,79.95333333333333,Bachelor's degree
16498,Portugal,174.89791666666667,Master's degree
16843,Portugal,179.895,Master's degree
17193,Portugal,4997.083333333333,Master's degree
17466,Portugal,199.88333333333333,Professional degree
17581,Portugal,6496.208333333333,college/university without bachelor's degree
17718,Portugal,74.45654166666667,Master's degree
17741,Portugal,2798.366666666667,Bachelor's degree
18206,Portugal,199.88333333333333,Master's degree
18224,Portugal,229.8658333333333,Bachelor's degree
18513,Portugal,164.90375,Bachelor's degree
18555,Portugal,199.88333333333333,Bachelor's degree
18801,Portugal,89.9475,college/university without bachelor's degree
19372,Portugal,1499.125,Master's degree
19413,Portugal,3997.6666666666665,Master's degree
19502,Portugal,124.92708333333333,Bachelor's degree
19762,Portugal,169.9008333333333,Master's degree
19875,Portugal,309.81916666666666,Bachelor's degree
20137,Portugal,135.92066666666665,college/university without bachelor's degree
20426,Portugal,74.45654166666667,Master's degree
20509,Portugal,2648.4541666666664,Bachelor's degree
20752,Portugal,119.93,Bachelor's degree
21593,Portugal,97.94283333333334,Master's degree
21936,Portugal,149.9125,Master's degree
21946,Portugal,239.86,Bachelor's degree
23059,Portugal,2998.25,Master's degree
23217,Portugal,129.92416666666668,Master's degree
23634,Portugal,399.76666666666665,Master's degree
23807,Portugal,194.88625000000002,Bachelor's degree
23970,Portugal,4397.433333333333,Bachelor's degree
24113,Portugal,4497.375,Master's degree
24328,Portugal,209.8775,Master's degree
24385,Portugal,119.93,Professional degree
24403,Portugal,89.9475,Bachelor's degree
24865,Portugal,109.93583333333333,Secondary school
25037,Portugal,129.92416666666668,Bachelor's degree
25559,Portugal,699.5916666666667,Bachelor's degree
25726,Portugal,3597.9,Bachelor's degree
25732,Portugal,2198.7166666666667,Master's degree
25892,Portugal,1948.8625000000002,Bachelor's degree
26724,Portugal,179.895,Bachelor's degree
26786,Portugal,1499.125,Master's degree
26920,Portugal,119.93,Professional degree
27406,Portugal,89.9475,Bachelor's degree
27957,Portugal,149.9125,Associate degree
28117,Portugal,3398.016666666667,Master's degree
28273,Portugal,124.92708333333333,Master's degree
28278,Portugal,4497.375,Master's degree
28743,Portugal,4197.549999999999,Master's degree
28767,Portugal,59.965,Secondary school
28956,Portugal,189.88916666666665,college/university without bachelor's degree
29062,Portugal,2198.7166666666667,college/university without bachelor's degree
29261,Portugal,74.45654166666667,Bachelor's degree
29317,Portugal,2998.25,Bachelor's degree
29621,Portugal,2338.6349999999998,college/university without bachelor's degree
29847,Portugal,109.93583333333333,Master's degree
30076,Portugal,2798.366666666667,Bachelor's degree
30112,Portugal,99.94166666666666,Master's degree
30449,Portugal,3997.6666666666665,Master's degree
31013,Portugal,2798.366666666667,Master's degree
31042,Portugal,3997.6666666666665,Bachelor's degree
31359,Portugal,4997.083333333333,Master's degree
31493,Portugal,149.9125,Bachelor's degree
31689,Portugal,3198.133333333333,Bachelor's degree
31984,Portugal,129.92416666666668,college/university without bachelor's degree
32165,Portugal,1798.95,Bachelor's degree
32562,Portugal,89.9475,Bachelor's degree
32968,Portugal,97.94283333333334,Master's degree
33318,Portugal,249.85416666666666,Master's degree
33586,Portugal,69.95916666666666,Bachelor's degree
34079,Portugal,3118.1800000000003,Master's degree
34364,Portugal,94.94458333333333,Bachelor's degree
34384,Portugal,3924.8091916666663,Master's degree
34514,Portugal,189.88916666666665,Master's degree
34857,Portugal,3218.1216666666664,Master's degree
34971,Portugal,143.916,Bachelor's degree
35030,Portugal,149.9125,college/university without bachelor's degree
35399,Portugal,319.81333333333333,Secondary school
35475,Portugal,3497.958333333333,Master's degree
35482,Portugal,4497.375,Master's degree
35605,Portugal,4597.316666666667,Bachelor's degree
35730,Portugal,149.9125,Secondary school
35800,Portugal,127.425625,Bachelor's degree
35884,Portugal,3777.795,Master's degree
35973,Portugal,139.91833333333332,Bachelor's degree
36506,Portugal,144.91541666666666,Bachelor's degree
36753,Portugal,138.91891666666666,Master's degree
36759,Portugal,184.89208333333332,Master's degree
37214,Portugal,4197.549999999999,Master's degree
37460,Portugal,2027.4166500000001,Master's degree
37613,Portugal,124.92708333333333,Bachelor's degree
37621,Portugal,399.76666666666665,Bachelor's degree
37787,Portugal,209.8775,Bachelor's degree
38190,Portugal,174.89791666666667,Master's degree
38316,Portugal,119.93,college/university without bachelor's degree
38318,Portugal,219.87166666666667,college/university without bachelor's degree
38424,Portugal,234.86291666666665,Master's degree
38787,Portugal,119.93,Bachelor's degree
38954,Portugal,74.95625,Master's degree
39146,Portugal,1499.125,Bachelor's degree
39153,Portugal,299.825,Master's degree
39448,Portugal,199.88333333333333,Master's degree
39505,Portugal,199.88333333333333,Master's degree
39787,Portugal,126.92591666666667,Bachelor's degree
40503,Portugal,214.974525,Master's degree
40706,Portugal,339.8016666666666,college/university without bachelor's degree
40809,Portugal,149.9125,Master's degree
41010,Portugal,147.4139583333333,Master's degree
41026,Portugal,229.8658333333333,Bachelor's degree
41234,Portugal,149.9125,Master's degree
41312,Portugal,2998.25,Master's degree
41708,Portugal,97.94283333333334,Doctoral degree
42654,Portugal,104.93875,Bachelor's degree
42979,Portugal,5596.733333333334,Master's degree
43066,Portugal,174.89791666666667,Bachelor's degree
43317,Portugal,104.93875,Associate degree
43344,Portugal,139.91833333333332,Master's degree
43579,Portugal,4397.433333333333,college/university without bachelor's degree
44083,Portugal,104.93875,Master's degree
44605,Portugal,309.81916666666666,Bachelor's degree
44641,Portugal,244.85708333333332,Bachelor's degree
44734,Portugal,3497.958333333333,Bachelor's degree
44837,Portugal,3997.6666666666665,Bachelor's degree
44865,Portugal,79.95333333333333,Associate degree
44896,Portugal,74.45654166666667,Bachelor's degree
45020,Portugal,2298.6583333333333,Master's degree
45270,Portugal,229.8658333333333,Master's degree
45317,Portugal,119.93,college/university without bachelor's degree
45417,Portugal,124.92708333333333,Bachelor's degree
45608,Portugal,189.88916666666665,Bachelor's degree
45778,Portugal,3997.6666666666665,Master's degree
45984,Portugal,2198.7166666666667,Master's degree
46037,Portugal,549.6791666666667,Master's degree
46145,Portugal,169.9008333333333,Bachelor's degree
46286,Portugal,629.6324999999999,Bachelor's degree
46408,Portugal,2998.25,Master's degree
46714,Portugal,139.91833333333332,Master's degree
46959,Portugal,4747.229166666666,Master's degree
47000,Portugal,1883.7005333333332,Master's degree
47211,Portugal,139.91833333333332,college/university without bachelor's degree
47443,Portugal,3148.1625000000004,Bachelor's degree
47478,Portugal,3358.04,Master's degree
47631,Portugal,199.88333333333333,Master's degree
47729,Portugal,2098.7749999999996,Bachelor's degree
47739,Portugal,149.9125,Secondary school
48259,Portugal,3797.7833333333333,Bachelor's degree
48266,Portugal,199.88333333333333,Master's degree
48406,Portugal,4997.083333333333,Master's degree
48623,Portugal,2398.6,Master's degree
48933,Portugal,209.8775,Bachelor's degree
49438,Portugal,29.9825,Master's degree
49630,Portugal,499.7083333333333,Bachelor's degree
49747,Portugal,2148.7458333333334,Master's degree
50493,Portugal,254.85125,Master's degree
50908,Portugal,129.92416666666668,Master's degree
51203,Portugal,439.74333333333334,Bachelor's degree
51423,Portugal,8195.216666666667,Bachelor's degree
51427,Portugal,2398.6,college/university without bachelor's degree
51682,Portugal,109.93583333333333,Bachelor's degree
52465,Portugal,6796.033333333334,college/university without bachelor's degree
52741,Portugal,159.90666666666667,Bachelor's degree
52844,Portugal,4097.608333333334,college/university without bachelor's degree
54041,Portugal,5276.92,Bachelor's degree
54504,Portugal,4997.083333333333,Bachelor's degree
54941,Portugal,349.79583333333335,Master's degree
55263,Portugal,181.39412499999997,Bachelor's degree
55397,Portugal,89.9475,Bachelor's degree
55597,Portugal,199.88333333333333,Master's degree
56140,Portugal,159.90666666666667,Master's degree
56160,Portugal,3697.8416666666662,Master's degree
56401,Portugal,599.65,Professional degree
56450,Portugal,169.9008333333333,Master's degree
57208,Portugal,1986.840333333333,Master's degree
57459,Portugal,14991.25,Master's degree
57532,Portugal,3797.7833333333333,Bachelor's degree
58788,Portugal,119.93,Master's degree
58914,Portugal,1299.2416666666666,Master's degree
59246,Portugal,179.895,Bachelor's degree
59540,Portugal,4997.083333333333,Doctoral degree
59653,Portugal,3497.958333333333,Bachelor's degree
59818,Portugal,3997.6666666666665,Master's degree
60370,Portugal,149.9125,college/university without bachelor's degree
60746,Portugal,84.95041666666665,Associate degree
60958,Portugal,2398.6,Bachelor's degree
60973,Portugal,349.79583333333335,Master's degree
