,Country,Monthly_Sal_EUR,EdLevel
2187,Republic of Moldova,0.09994166666666666,Bachelor's degree
8232,Republic of Moldova,1998.8333333333333,college/university without bachelor's degree
8681,Republic of Moldova,229.8658333333333,Bachelor's degree
10514,Republic of Moldova,1399.1833333333334,college/university without bachelor's degree
10537,Republic of Moldova,1199.3,Bachelor's degree
10681,Republic of Moldova,1199.3,Associate degree
10721,Republic of Moldova,1798.95,Bachelor's degree
10868,Republic of Moldova,1439.16,college/university without bachelor's degree
10970,Republic of Moldova,2398.6,Master's degree
14904,Republic of Moldova,3997.6666666666665,Doctoral degree
17095,Republic of Moldova,5196.966666666666,college/university without bachelor's degree
20549,Republic of Moldova,2298.6583333333333,Bachelor's degree
21320,Republic of Moldova,74.95625,Bachelor's degree
24342,Republic of Moldova,999.4166666666666,Bachelor's degree
29865,Republic of Moldova,1898.8916666666667,Bachelor's degree
33801,Republic of Moldova,124.92708333333333,Master's degree
44541,Republic of Moldova,609.6441666666667,Secondary school
45565,Republic of Moldova,3398.016666666667,Master's degree
48119,Republic of Moldova,299.825,Bachelor's degree
48288,Republic of Moldova,2498.5416666666665,Bachelor's degree
57579,Republic of Moldova,3198.133333333333,college/university without bachelor's degree
62739,Republic of Moldova,99.94166666666666,Secondary school
