,Country,Monthly_Sal_EUR,EdLevel
1014,Russian Federation,17489.791666666664,college/university without bachelor's degree
1563,Russian Federation,9994.166666666666,Master's degree
1606,Russian Federation,14991.25,Master's degree
2181,Russian Federation,16990.083333333332,Professional degree
2227,Russian Federation,13991.833333333332,Master's degree
2396,Russian Federation,6995.916666666666,Bachelor's degree
2502,Russian Federation,14991.25,college/university without bachelor's degree
2589,Russian Federation,9994.166666666666,Master's degree
2593,Russian Federation,3797.7833333333333,Master's degree
2598,Russian Federation,3997.6666666666665,Master's degree
2604,Russian Federation,11993.0,Professional degree
2990,Russian Federation,14991.25,Master's degree
3240,Russian Federation,9994.166666666666,Master's degree
3801,Russian Federation,10993.583333333332,Master's degree
4090,Russian Federation,999.4166666666666,Master's degree
4250,Russian Federation,10993.583333333332,Bachelor's degree
4534,Russian Federation,6396.266666666666,Master's degree
5666,Russian Federation,519.6966666666667,Secondary school
5705,Russian Federation,19198.794166666667,Master's degree
6203,Russian Federation,14991.25,Master's degree
6613,Russian Federation,9494.458333333332,college/university without bachelor's degree
6748,Russian Federation,14991.25,Master's degree
6808,Russian Federation,17989.5,Bachelor's degree
6856,Russian Federation,9.994166666666667,Master's degree
7042,Russian Federation,6316.3133333333335,Professional degree
7109,Russian Federation,14991.25,Master's degree
7116,Russian Federation,5996.5,college/university without bachelor's degree
7254,Russian Federation,7995.333333333333,Professional degree
7271,Russian Federation,9994.166666666666,Bachelor's degree
7353,Russian Federation,8794.866666666667,Bachelor's degree
7354,Russian Federation,4997.083333333333,Bachelor's degree
7413,Russian Federation,12992.416666666666,Secondary school
7523,Russian Federation,12592.650000000001,Master's degree
7736,Russian Federation,6995.916666666666,Master's degree
7792,Russian Federation,3597.9,Master's degree
7902,Russian Federation,17989.5,college/university without bachelor's degree
7905,Russian Federation,7995.333333333333,college/university without bachelor's degree
7928,Russian Federation,11993.0,Bachelor's degree
8017,Russian Federation,9994.166666666666,Master's degree
8116,Russian Federation,8495.041666666666,Master's degree
8198,Russian Federation,9994.166666666666,Secondary school
8355,Russian Federation,12992.416666666666,Bachelor's degree
8358,Russian Federation,12492.708333333332,Master's degree
8491,Russian Federation,6995.916666666666,Bachelor's degree
8827,Russian Federation,15990.666666666666,college/university without bachelor's degree
8968,Russian Federation,9994.166666666666,Bachelor's degree
9233,Russian Federation,10993.583333333332,Master's degree
9267,Russian Federation,19988.333333333332,Professional degree
9398,Russian Federation,12492.708333333332,college/university without bachelor's degree
9411,Russian Federation,4997.083333333333,Master's degree
9467,Russian Federation,15490.958333333332,Bachelor's degree
9513,Russian Federation,18988.916666666664,college/university without bachelor's degree
9602,Russian Federation,9194.633333333333,Bachelor's degree
9693,Russian Federation,14991.25,Professional degree
9733,Russian Federation,3446.18855,Master's degree
9783,Russian Federation,16990.083333333332,Bachelor's degree
9796,Russian Federation,17989.5,Master's degree
9821,Russian Federation,19988.333333333332,Professional degree
9834,Russian Federation,9994.166666666666,Master's degree
9849,Russian Federation,12592.650000000001,Master's degree
9856,Russian Federation,5796.616666666667,Master's degree
9867,Russian Federation,8395.099999999999,Master's degree
9871,Russian Federation,11993.0,Doctoral degree
9873,Russian Federation,10993.583333333332,Master's degree
9877,Russian Federation,7995.333333333333,college/university without bachelor's degree
9886,Russian Federation,9994.166666666666,Master's degree
9969,Russian Federation,17989.5,Doctoral degree
9993,Russian Federation,4997.083333333333,Master's degree
10003,Russian Federation,12492.708333333332,Bachelor's degree
10078,Russian Federation,11993.0,Master's degree
10083,Russian Federation,11993.0,college/university without bachelor's degree
10092,Russian Federation,8994.75,Master's degree
10101,Russian Federation,10993.583333333332,Bachelor's degree
10129,Russian Federation,16690.25833333333,Associate degree
10163,Russian Federation,7995.333333333333,Bachelor's degree
10219,Russian Federation,17989.5,Master's degree
10259,Russian Federation,12992.416666666666,Secondary school
10348,Russian Federation,12292.824999999999,Master's degree
10403,Russian Federation,10993.583333333332,Professional degree
10405,Russian Federation,10493.875,college/university without bachelor's degree
10417,Russian Federation,6995.916666666666,Professional degree
10505,Russian Federation,15990.666666666666,Bachelor's degree
10512,Russian Federation,20.587983333333334,college/university without bachelor's degree
10535,Russian Federation,1998.8333333333333,Professional degree
10549,Russian Federation,12992.416666666666,Master's degree
10574,Russian Federation,999.4166666666666,Master's degree
10595,Russian Federation,11993.0,Master's degree
10701,Russian Federation,9994.166666666666,Master's degree
10705,Russian Federation,7095.858333333334,Associate degree
10706,Russian Federation,5996.5,Master's degree
10713,Russian Federation,299.825,Bachelor's degree
10822,Russian Federation,9994.166666666666,college/university without bachelor's degree
10838,Russian Federation,449.7375,college/university without bachelor's degree
10962,Russian Federation,9994.166666666666,Bachelor's degree
11033,Russian Federation,14991.25,Professional degree
11076,Russian Federation,9994.166666666666,Master's degree
11153,Russian Federation,16990.083333333332,Bachelor's degree
11174,Russian Federation,5.996499999999999,Doctoral degree
11192,Russian Federation,9994.166666666666,Secondary school
11424,Russian Federation,14991.25,Master's degree
11445,Russian Federation,14991.25,Bachelor's degree
11959,Russian Federation,164.90375,Bachelor's degree
12017,Russian Federation,15990.666666666666,Bachelor's degree
12059,Russian Federation,5496.791666666666,college/university without bachelor's degree
12521,Russian Federation,16490.375,Bachelor's degree
12566,Russian Federation,149.9125,Master's degree
12594,Russian Federation,12292.824999999999,Bachelor's degree
12610,Russian Federation,9994.166666666666,Professional degree
12648,Russian Federation,6995.916666666666,Bachelor's degree
12686,Russian Federation,19688.50833333333,Master's degree
12689,Russian Federation,7995.333333333333,No formal education
12707,Russian Federation,19988.333333333332,Master's degree
12817,Russian Federation,19988.333333333332,Master's degree
13032,Russian Federation,15990.666666666666,Bachelor's degree
13054,Russian Federation,7995.333333333333,Bachelor's degree
13192,Russian Federation,5996.5,Master's degree
13193,Russian Federation,10993.583333333332,Bachelor's degree
13438,Russian Federation,19488.625,Master's degree
13515,Russian Federation,3997.6666666666665,Bachelor's degree
13530,Russian Federation,13991.833333333332,Master's degree
13711,Russian Federation,8694.925,Professional degree
13716,Russian Federation,3497.958333333333,Professional degree
13737,Russian Federation,12492.708333333332,Secondary school
13846,Russian Federation,13991.833333333332,Bachelor's degree
13992,Russian Federation,17989.5,Master's degree
14057,Russian Federation,7495.625,Master's degree
14307,Russian Federation,15990.666666666666,Master's degree
14707,Russian Federation,11493.291666666666,Professional degree
14895,Russian Federation,11993.0,Master's degree
15016,Russian Federation,8994.75,college/university without bachelor's degree
15519,Russian Federation,14933.783541666666,Master's degree
15545,Russian Federation,4997.083333333333,Bachelor's degree
15617,Russian Federation,19988.333333333332,Bachelor's degree
15786,Russian Federation,12.992416666666665,college/university without bachelor's degree
15919,Russian Federation,9994.166666666666,Doctoral degree
16130,Russian Federation,6995.916666666666,Secondary school
16448,Russian Federation,17889.558333333334,Professional degree
16624,Russian Federation,6995.916666666666,Master's degree
16806,Russian Federation,13791.949999999999,Master's degree
16934,Russian Federation,9994.166666666666,college/university without bachelor's degree
16961,Russian Federation,10993.583333333332,Bachelor's degree
17328,Russian Federation,12992.416666666666,Master's degree
17491,Russian Federation,10393.933333333332,college/university without bachelor's degree
17573,Russian Federation,19988.333333333332,Master's degree
17827,Russian Federation,6995.916666666666,Bachelor's degree
18314,Russian Federation,2598.483333333333,college/university without bachelor's degree
18417,Russian Federation,9994.166666666666,Bachelor's degree
18779,Russian Federation,17239.9375,Bachelor's degree
18874,Russian Federation,19988.333333333332,Master's degree
18901,Russian Federation,1599.0666666666666,college/university without bachelor's degree
18940,Russian Federation,17489.791666666664,college/university without bachelor's degree
19010,Russian Federation,3997.6666666666665,college/university without bachelor's degree
19440,Russian Federation,399.76666666666665,Master's degree
19467,Russian Federation,19988.333333333332,Master's degree
20515,Russian Federation,4997.083333333333,Bachelor's degree
21046,Russian Federation,2498.5416666666665,college/university without bachelor's degree
21369,Russian Federation,3497.958333333333,college/university without bachelor's degree
21402,Russian Federation,10993.583333333332,Master's degree
21409,Russian Federation,17989.5,Master's degree
21433,Russian Federation,9994.166666666666,Professional degree
21566,Russian Federation,9094.691666666666,Master's degree
21718,Russian Federation,15990.666666666666,college/university without bachelor's degree
21751,Russian Federation,8994.75,college/university without bachelor's degree
22028,Russian Federation,19.488625,Master's degree
22281,Russian Federation,9994.166666666666,Doctoral degree
22345,Russian Federation,18988.916666666664,Master's degree
22400,Russian Federation,7995.333333333333,Master's degree
22444,Russian Federation,6496.208333333333,Bachelor's degree
22526,Russian Federation,8495.041666666666,Master's degree
22579,Russian Federation,8495.041666666666,Bachelor's degree
22621,Russian Federation,16990.083333333332,Bachelor's degree
22656,Russian Federation,9994.166666666666,Bachelor's degree
22689,Russian Federation,11993.0,college/university without bachelor's degree
22705,Russian Federation,16990.083333333332,Master's degree
22717,Russian Federation,99.94166666666666,Bachelor's degree
22776,Russian Federation,12492.708333333332,college/university without bachelor's degree
22813,Russian Federation,10993.583333333332,Master's degree
22980,Russian Federation,6995.916666666666,college/university without bachelor's degree
23096,Russian Federation,6995.916666666666,Master's degree
23122,Russian Federation,6396.266666666666,Master's degree
23220,Russian Federation,6496.208333333333,Master's degree
23252,Russian Federation,10993.583333333332,Master's degree
23319,Russian Federation,2198.7166666666667,Bachelor's degree
23340,Russian Federation,1998.8333333333333,college/university without bachelor's degree
23358,Russian Federation,15990.666666666666,Bachelor's degree
23415,Russian Federation,6995.916666666666,Secondary school
23466,Russian Federation,11993.0,Bachelor's degree
23568,Russian Federation,1998.8333333333333,college/university without bachelor's degree
23582,Russian Federation,14991.25,Bachelor's degree
23720,Russian Federation,5496.791666666666,Bachelor's degree
23764,Russian Federation,17989.5,college/university without bachelor's degree
23910,Russian Federation,11393.35,college/university without bachelor's degree
23976,Russian Federation,14491.541666666666,Bachelor's degree
24075,Russian Federation,13492.125,Doctoral degree
24091,Russian Federation,13991.833333333332,Doctoral degree
24291,Russian Federation,7995.333333333333,Bachelor's degree
24305,Russian Federation,9494.458333333332,Master's degree
24358,Russian Federation,8994.75,Master's degree
24457,Russian Federation,12992.416666666666,college/university without bachelor's degree
24520,Russian Federation,7995.333333333333,Master's degree
24522,Russian Federation,16990.083333333332,college/university without bachelor's degree
24544,Russian Federation,399.76666666666665,Master's degree
25138,Russian Federation,7995.333333333333,Bachelor's degree
25256,Russian Federation,19988.333333333332,Master's degree
25309,Russian Federation,9994.166666666666,Master's degree
25799,Russian Federation,14991.25,Secondary school
26143,Russian Federation,14991.25,Master's degree
26167,Russian Federation,11993.0,Master's degree
26286,Russian Federation,4797.2,college/university without bachelor's degree
26324,Russian Federation,8314.14725,Associate degree
26519,Russian Federation,6995.916666666666,Bachelor's degree
26545,Russian Federation,19988.333333333332,Master's degree
26678,Russian Federation,279.83666666666664,Bachelor's degree
26739,Russian Federation,6995.916666666666,Bachelor's degree
26927,Russian Federation,19488.625,Bachelor's degree
26946,Russian Federation,7995.333333333333,Bachelor's degree
27051,Russian Federation,13342.212500000001,college/university without bachelor's degree
27084,Russian Federation,8994.75,Doctoral degree
27245,Russian Federation,5996.5,Master's degree
27308,Russian Federation,9094.691666666666,Professional degree
27351,Russian Federation,17189.966666666667,Master's degree
27756,Russian Federation,19988.333333333332,Primary/elementary school
27947,Russian Federation,3997.6666666666665,college/university without bachelor's degree
28149,Russian Federation,19988.333333333332,Bachelor's degree
28197,Russian Federation,17989.5,Master's degree
28286,Russian Federation,13392.183333333334,college/university without bachelor's degree
