,Country,Monthly_Sal_EUR,YearsCodePro
29,Russian Federation,19988.333333333332,16
58,Russian Federation,11993.0,3
198,Russian Federation,15990.666666666666,2
412,Russian Federation,599.65,3
450,Russian Federation,14991.25,1
790,Russian Federation,3997.6666666666665,2
861,Russian Federation,19488.625,15
937,Russian Federation,599.65,2
1023,Russian Federation,4097.608333333334,5
1082,Russian Federation,8994.75,5
1085,Russian Federation,19988.333333333332,30
1348,Russian Federation,12992.416666666666,8
1388,Russian Federation,5996.5,1
1552,Russian Federation,14991.25,6
2155,Russian Federation,11393.35,2
2229,Russian Federation,27.184133333333335,1
2251,Russian Federation,12992.416666666666,6
2369,Russian Federation,8994.75,6
2394,Russian Federation,54.96791666666667,10
2445,Russian Federation,3997.6666666666665,14
2538,Russian Federation,19988.333333333332,14
2549,Russian Federation,18988.916666666664,9
2925,Russian Federation,17989.5,12
2928,Russian Federation,10993.583333333332,2
2951,Russian Federation,19988.333333333332,4
3216,Russian Federation,19988.333333333332,10
3762,Russian Federation,17989.5,10
3956,Russian Federation,149.9125,8
3976,Russian Federation,9994.166666666666,7
4013,Russian Federation,10993.583333333332,4
4130,Russian Federation,17489.791666666664,2
4469,Russian Federation,7995.333333333333,7
4546,Russian Federation,9994.166666666666,5
4765,Russian Federation,7995.333333333333,3
4826,Russian Federation,399.76666666666665,17
4886,Russian Federation,19988.333333333332,21
5191,Russian Federation,17989.5,5
5337,Russian Federation,16990.083333333332,4
5411,Russian Federation,9994.166666666666,4
5448,Russian Federation,8994.75,1
5526,Russian Federation,149.9125,7
5595,Russian Federation,2498.5416666666665,1
5892,Russian Federation,19988.333333333332,3
6245,Russian Federation,17989.5,5
6486,Russian Federation,3997.6666666666665,1
6936,Russian Federation,19988.333333333332,2
7114,Russian Federation,349.79583333333335,7
7244,Russian Federation,16090.608333333334,9
7252,Russian Federation,19988.333333333332,4
7503,Russian Federation,15990.666666666666,4
7581,Russian Federation,19988.333333333332,3
7675,Russian Federation,13991.833333333332,4
7772,Russian Federation,14991.25,5
7829,Russian Federation,16290.491666666665,4
8656,Russian Federation,19888.391666666666,15
9021,Russian Federation,17989.5,4
9339,Russian Federation,16490.375,2
9676,Russian Federation,6995.916666666666,3
9891,Russian Federation,2998.25,7
10339,Russian Federation,9994.166666666666,6
10343,Russian Federation,11493.291666666666,12
10362,Russian Federation,17989.5,10
10415,Russian Federation,12992.416666666666,11
10504,Russian Federation,9994.166666666666,5
10524,Russian Federation,7495.625,12
