,Country,Monthly_Sal_EUR,YearsCodePro
2490,Saudi Arabia,3837.76,0
4733,Saudi Arabia,5436.4269,3
5403,Saudi Arabia,6395.866899999999,3
6854,Saudi Arabia,2278.67,3
8448,Saudi Arabia,959.44,0
10129,Saudi Arabia,1927.2751,0
12355,Saudi Arabia,5996.5,6
12494,Saudi Arabia,9494.458333333332,30
13185,Saudi Arabia,8314.247191666665,3
16979,Saudi Arabia,5496.791666666666,24
17051,Saudi Arabia,2638.46,0
20921,Saudi Arabia,1918.88,3
21129,Saudi Arabia,7994.533799999999,9
22449,Saudi Arabia,4557.34,3
23805,Saudi Arabia,4221.536,6
27885,Saudi Arabia,3358.04,3
31350,Saudi Arabia,4476.9869,9
34372,Saudi Arabia,1998.8333333333333,0
34434,Saudi Arabia,8090.477800000001,3
36819,Saudi Arabia,3517.5469,3
39222,Saudi Arabia,3198.5330999999996,3
47361,Saudi Arabia,1918.88,3
49183,Saudi Arabia,2782.376,0
50176,Saudi Arabia,4476.9869,6
50186,Saudi Arabia,1598.6669000000002,3
53225,Saudi Arabia,695.594,0
54122,Saudi Arabia,3942.0991,3
54154,Saudi Arabia,4797.2,6
59056,Saudi Arabia,4797.2,9
59319,Saudi Arabia,1598.6669000000002,3
60194,Saudi Arabia,3358.04,6
62690,Saudi Arabia,7355.3069000000005,6
64744,Saudi Arabia,3837.76,0
68968,Saudi Arabia,5996.5,6
69986,Saudi Arabia,7895.391666666666,12
70744,Saudi Arabia,4694.0602,6
74741,Saudi Arabia,799.9331,0
79002,Saudi Arabia,13.292241666666666,0
81368,Saudi Arabia,316.61519999999996,0
85067,Saudi Arabia,1798.95,0
