,Country,Monthly_Sal_EUR,EdLevel
3644,Saudi Arabia,699.5916666666667,Bachelor's degree
5063,Saudi Arabia,1249.2708333333333,Bachelor's degree
5078,Saudi Arabia,1229.2825,college/university without bachelor's degree
7054,Saudi Arabia,3198.133333333333,Bachelor's degree
7058,Saudi Arabia,999.4166666666666,Master's degree
7247,Saudi Arabia,3198.133333333333,Bachelor's degree
8768,Saudi Arabia,2998.25,Bachelor's degree
13601,Saudi Arabia,1632.3472416666666,Bachelor's degree
17360,Saudi Arabia,2498.5416666666665,Bachelor's degree
22061,Saudi Arabia,3797.7833333333333,college/university without bachelor's degree
24257,Saudi Arabia,1998.8333333333333,Bachelor's degree
26229,Saudi Arabia,1699.0083333333334,Bachelor's degree
28416,Saudi Arabia,1399.1833333333334,Master's degree
29095,Saudi Arabia,299.825,Bachelor's degree
29325,Saudi Arabia,1499.125,Associate degree
30368,Saudi Arabia,3497.958333333333,Bachelor's degree
30939,Saudi Arabia,2498.5416666666665,Bachelor's degree
34021,Saudi Arabia,1.9988333333333332,Bachelor's degree
35193,Saudi Arabia,1469.1425,Bachelor's degree
36093,Saudi Arabia,699.5916666666667,Bachelor's degree
37227,Saudi Arabia,1419.1716666666666,Bachelor's degree
39942,Saudi Arabia,14.99125,Bachelor's degree
41591,Saudi Arabia,2998.25,Master's degree
41608,Saudi Arabia,1998.8333333333333,Bachelor's degree
42412,Saudi Arabia,2498.5416666666665,Bachelor's degree
43916,Saudi Arabia,1998.8333333333333,Secondary school
46369,Saudi Arabia,15990.666666666666,Bachelor's degree
47215,Saudi Arabia,1898.8916666666667,Master's degree
49405,Saudi Arabia,999.4166666666666,Bachelor's degree
53845,Saudi Arabia,9994.166666666666,Master's degree
56729,Saudi Arabia,4597.316666666667,Associate degree
61591,Saudi Arabia,2498.5416666666665,Bachelor's degree
61679,Saudi Arabia,1898.8916666666667,Bachelor's degree
63307,Saudi Arabia,3747.8125,Bachelor's degree
70616,Saudi Arabia,799.5333333333333,Bachelor's degree
70887,Saudi Arabia,424.75208333333336,Associate degree
72868,Saudi Arabia,749.5625,Bachelor's degree
73119,Saudi Arabia,899.475,Bachelor's degree
77356,Saudi Arabia,3497.958333333333,Secondary school
79125,Saudi Arabia,499.7083333333333,Bachelor's degree
79310,Saudi Arabia,1798.95,Bachelor's degree
