,Country,Monthly_Sal_EUR,YearsCodePro
1223,Serbia,2956.9892473118252,6.0
2012,Serbia,1344.086021505375,2.0
6523,Serbia,4838.709677419358,16.0
7691,Serbia,9287.3792,14.0
8131,Serbia,67.20430107526883,2.0
10451,Serbia,1499.125,5.0
11025,Serbia,89.9475,1.0
11341,Serbia,3497.958333333333,3.0
11509,Serbia,752.6881720430108,2.0
12122,Serbia,2838.7096774193583,4.0
14699,Serbia,3225.8064516128998,5.0
14704,Serbia,1612.9032258064499,1.0
14880,Serbia,2150.5376344086,3.0
15590,Serbia,80.64516129032258,5.0
15604,Serbia,3118.1800000000003,7.0
16349,Serbia,1612.9032258064499,6.0
17394,Serbia,107.52688172043,2.0
17546,Serbia,3584.2293906809996,12.0
18344,Serbia,830.4659498207882,5.0
20568,Serbia,851.2544802867416,3.0
22370,Serbia,985.6630824372749,3.0
24084,Serbia,107.52688172043,2.0
26264,Serbia,89.60573476702498,3.0
27090,Serbia,44.80286738351258,2.0
27335,Serbia,716.8458781362008,2.0
27873,Serbia,107.52688172043,2.0
28862,Serbia,2688.17204301075,9.0
31500,Serbia,1612.9032258064499,4.0
35884,Serbia,1612.9032258064499,10.0
38672,Serbia,2688.17204301075,4.0
39516,Serbia,2518.5299999999997,6.0
40082,Serbia,896.0573476702499,2.0
40671,Serbia,1075.2688172043,2.0
42871,Serbia,2688.17204301075,8.0
44169,Serbia,3225.8064516128998,10.0
44574,Serbia,89.60573476702498,2.0
44587,Serbia,2768.817204301075,3.0
45412,Serbia,1505.376344086025,2.0
47137,Serbia,3225.8064516128998,3.0
47425,Serbia,2060.931899641575,4.0
49417,Serbia,3584.2293906809996,16.0
49498,Serbia,1399.1833333333334,4.0
50955,Serbia,143.36917562724,3.0
51290,Serbia,125.448028673835,4.0
