,Country,Monthly_Sal_EUR,EdLevel
499,Serbia,1320.4293,college/university without bachelor's degree
1142,Serbia,1467.9432,Master's degree
1262,Serbia,3717.83,Bachelor's degree
1448,Serbia,587.6569999999999,college/university without bachelor's degree
1695,Serbia,2726.0089,Bachelor's degree
1900,Serbia,4403.8296,college/university without bachelor's degree
2148,Serbia,2495.7433,Bachelor's degree
2690,Serbia,719.58,Secondary school
3525,Serbia,2935.8864,Master's degree
3996,Serbia,743.5659999999999,college/university without bachelor's degree
4539,Serbia,5396.85,Bachelor's degree
4833,Serbia,3082.201,Bachelor's degree
5582,Serbia,1821.7367,Secondary school
6711,Serbia,5871.7728,Master's degree
6846,Serbia,3841.3579,Master's degree
7105,Serbia,2275.0721,Bachelor's degree
8219,Serbia,3669.858,college/university without bachelor's degree
8319,Serbia,2935.8864,Bachelor's degree
9606,Serbia,5137.8012,Master's degree
10197,Serbia,1467.9432,Associate degree
11542,Serbia,1487.1319999999998,Master's degree
11746,Serbia,616.4402,Secondary school
14119,Serbia,3155.3583,Master's degree
14704,Serbia,3669.858,Master's degree
15021,Serbia,5871.7728,Bachelor's degree
15157,Serbia,733.9716,Bachelor's degree
15301,Serbia,1195.7021,Bachelor's degree
15416,Serbia,1614.2577999999999,college/university without bachelor's degree
15851,Serbia,7339.016408333333,Secondary school
16165,Serbia,2937.0857,Master's degree
16799,Serbia,2446.3721166666664,Bachelor's degree
17248,Serbia,4051.2354,college/university without bachelor's degree
17980,Serbia,1232.8804,Secondary school
17990,Serbia,2949.0787,Master's degree
19494,Serbia,880.2862,Bachelor's degree
19609,Serbia,2054.4008999999996,college/university without bachelor's degree
21404,Serbia,4110.0010999999995,Bachelor's degree
22135,Serbia,4843.9727,Master's degree
22436,Serbia,1467.9432,Secondary school
23034,Serbia,7338.5167,Master's degree
23457,Serbia,954.6428000000001,Bachelor's degree
24329,Serbia,18347.491049999997,Doctoral degree
24532,Serbia,1177.7125999999998,Master's degree
24783,Serbia,3757.4069,Master's degree
25140,Serbia,2201.9148,Bachelor's degree
25246,Serbia,1264.0621999999998,Bachelor's degree
26203,Serbia,1247.272,Secondary school
27075,Serbia,5381.958691666667,college/university without bachelor's degree
27536,Serbia,867.0939,Bachelor's degree
27743,Serbia,3522.3441000000003,Master's degree
28193,Serbia,9994.166666666666,college/university without bachelor's degree
28577,Serbia,2849.5368,Master's degree
29134,Serbia,4956.7069,Master's degree
29744,Serbia,3816.1726,college/university without bachelor's degree
30994,Serbia,2204.3134,Bachelor's degree
32286,Serbia,3669.858,Bachelor's degree
33327,Serbia,7045.887500000001,Master's degree
33394,Serbia,807.1288999999999,Bachelor's degree
33496,Serbia,31.1818,college/university without bachelor's degree
34965,Serbia,1761.7716999999998,Master's degree
36129,Serbia,1761.7716999999998,Bachelor's degree
36438,Serbia,1761.7716999999998,Secondary school
36634,Serbia,3669.4582333333333,Bachelor's degree
37015,Serbia,1394.7859,Master's degree
37293,Serbia,146.81430833333332,Bachelor's degree
37561,Serbia,1614.2577999999999,Master's degree
38527,Serbia,2935.8864,Master's degree
39575,Serbia,3669.4582333333333,Master's degree
39588,Serbia,5871.7728,Bachelor's degree
39628,Serbia,2788.3725,college/university without bachelor's degree
39778,Serbia,620.0381,Bachelor's degree
40131,Serbia,1908.0863,Bachelor's degree
40693,Serbia,2348.2294,Master's degree
42214,Serbia,2398.6,Bachelor's degree
42264,Serbia,3229.7149,Master's degree
42400,Serbia,880.2862,Master's degree
42868,Serbia,3229.7149,Bachelor's degree
43117,Serbia,1982.4429,Secondary school
43583,Serbia,2079.5861999999997,Master's degree
43664,Serbia,3962.4872,Master's degree
43737,Serbia,4403.429833333334,Bachelor's degree
44794,Serbia,587.6569999999999,Secondary school
45997,Serbia,733.9716,Secondary school
46251,Serbia,4997.083333333333,college/university without bachelor's degree
47375,Serbia,1115.349,Master's degree
48115,Serbia,2446.3721166666664,Master's degree
48599,Serbia,743.5659999999999,Doctoral degree
48824,Serbia,780.7443,Secondary school
49761,Serbia,4403.8296,Master's degree
49781,Serbia,1467.9432,Bachelor's degree
49838,Serbia,7339.016408333333,Master's degree
50160,Serbia,2935.8864,Master's degree
50891,Serbia,1238.8769,Secondary school
51226,Serbia,733.9716,Master's degree
51935,Serbia,3057.915175,college/university without bachelor's degree
53162,Serbia,1834.929,Secondary school
53340,Serbia,3245.3058,college/university without bachelor's degree
53876,Serbia,1834.929,Bachelor's degree
53981,Serbia,4403.8296,Master's degree
54816,Serbia,513.3004,Bachelor's degree
54962,Serbia,2935.8864,college/university without bachelor's degree
55445,Serbia,4197.549999999999,Master's degree
57467,Serbia,733.9716,Secondary school
59757,Serbia,9594.4,Bachelor's degree
59942,Serbia,4110.0010999999995,Master's degree
60432,Serbia,743.5659999999999,Bachelor's degree
60708,Serbia,12231.6607,Bachelor's degree
60972,Serbia,3522.3441000000003,Master's degree
61937,Serbia,2935.8864,college/university without bachelor's degree
63218,Serbia,3669.4582333333333,Bachelor's degree
63454,Serbia,1487.1319999999998,Master's degree
63634,Serbia,1761.7716999999998,college/university without bachelor's degree
64547,Serbia,2054.4008999999996,Master's degree
65898,Serbia,3669.858,Bachelor's degree
66151,Serbia,3597.9,college/university without bachelor's degree
66768,Serbia,495.3109,Secondary school
67042,Serbia,733.9716,Bachelor's degree
67820,Serbia,929.4575,Secondary school
69070,Serbia,1587.8732,Bachelor's degree
69518,Serbia,2201.9148,Bachelor's degree
70329,Serbia,2054.4008999999996,Bachelor's degree
71594,Serbia,3669.858,college/university without bachelor's degree
71595,Serbia,7338.5167,Bachelor's degree
72063,Serbia,3962.4872,Master's degree
73092,Serbia,6164.402,Bachelor's degree
73352,Serbia,2935.8864,Bachelor's degree
73436,Serbia,6115.83035,No formal education
73736,Serbia,366.9858,Associate degree
74502,Serbia,440.1431,Bachelor's degree
74806,Serbia,3613.9906083333335,Bachelor's degree
74991,Serbia,4460.1967,Bachelor's degree
75093,Serbia,2935.8864,Bachelor's degree
75168,Serbia,2398.6,Secondary school
75260,Serbia,2498.5416666666665,Bachelor's degree
75343,Serbia,9994.166666666666,Doctoral degree
75833,Serbia,6116.43,Master's degree
76324,Serbia,4997.083333333333,Bachelor's degree
76983,Serbia,5137.301491666667,Bachelor's degree
77361,Serbia,371.78299999999996,Bachelor's degree
77642,Serbia,5898.1574,Bachelor's degree
78214,Serbia,1467.9432,Secondary school
78457,Serbia,5871.7728,Bachelor's degree
78885,Serbia,2935.8864,college/university without bachelor's degree
79217,Serbia,2201.9148,Master's degree
