,Country,Monthly_Sal_EUR,EdLevel
2033,Singapore,560.2797202797209,Bachelor's degree
2680,Singapore,10085.034965034964,Master's degree
3537,Singapore,4855.75757575758,college/university without bachelor's degree
11724,Singapore,4482.237762237767,college/university without bachelor's degree
12540,Singapore,6163.076923076929,Bachelor's degree
13284,Singapore,4668.997668997674,Bachelor's degree
13449,Singapore,11993.0,college/university without bachelor's degree
16752,Singapore,7843.916083916078,Master's degree
18175,Singapore,5882.937062937069,Bachelor's degree
18297,Singapore,4034.013986013985,Bachelor's degree
21990,Singapore,4108.717948717953,Bachelor's degree
25799,Singapore,6536.59673659673,Bachelor's degree
30070,Singapore,3809.902097902094,Bachelor's degree
30321,Singapore,8404.195804195799,Bachelor's degree
33241,Singapore,5882.937062937069,Bachelor's degree
35262,Singapore,3735.1981351981394,Master's degree
37036,Singapore,5602.797202797208,college/university without bachelor's degree
37969,Singapore,5042.517482517487,Bachelor's degree
38150,Singapore,7631.009790209797,Master's degree
41411,Singapore,3735.1981351981394,Bachelor's degree
42185,Singapore,3483.0722610722632,Bachelor's degree
43286,Singapore,5042.517482517487,Bachelor's degree
45940,Singapore,9337.995337995335,Bachelor's degree
46781,Singapore,247.45687645687602,Master's degree
49339,Singapore,4482.237762237767,Bachelor's degree
49645,Singapore,5826.909090909086,Master's degree
