,Country,Monthly_Sal_EUR,YearsCodePro
18,Singapore,1868.9091666666666,30
872,Singapore,399.76666666666665,1
1107,Singapore,649.6208333333333,10
3872,Singapore,519.6966666666667,5
9277,Singapore,9094.691666666666,1
9852,Singapore,1399.1833333333334,8
10023,Singapore,999.4166666666666,10
10049,Singapore,13991.833333333332,13
10058,Singapore,8994.75,1
10319,Singapore,609.6441666666667,4
10321,Singapore,11993.0,10
10710,Singapore,374.78125,1
10942,Singapore,9994.166666666666,1
11786,Singapore,543.3828416666666,3
12007,Singapore,749.5625,18
12728,Singapore,749.5625,9
13559,Singapore,11693.175,5
15300,Singapore,399.76666666666665,1
16143,Singapore,599.65,15
17182,Singapore,499.7083333333333,4
18952,Singapore,12992.416666666666,12
22144,Singapore,749.5625,10
22408,Singapore,4997.083333333333,1
22417,Singapore,499.7083333333333,1
22842,Singapore,389.77250000000004,2
22987,Singapore,3497.958333333333,5
23190,Singapore,12992.416666666666,4
23838,Singapore,11716.761233333333,6
24089,Singapore,749.5625,3
24290,Singapore,749.5625,4
24693,Singapore,99.94166666666666,3
25204,Singapore,799.5333333333333,5
26156,Singapore,7995.333333333333,4
26511,Singapore,199.88333333333333,1
26661,Singapore,16990.083333333332,15
28079,Singapore,1798.95,15
28256,Singapore,8495.041666666666,3
28380,Singapore,599.65,2
29436,Singapore,399.76666666666665,2
29870,Singapore,899.475,10
30787,Singapore,329.8075,1
31368,Singapore,9994.166666666666,21
31383,Singapore,8994.75,2
31488,Singapore,571.6663333333333,4
31663,Singapore,7795.450000000001,5
35072,Singapore,15091.191666666668,7
36442,Singapore,699.5916666666667,2
36467,Singapore,599.65,5
36559,Singapore,7995.333333333333,1
36577,Singapore,6596.15,4
36642,Singapore,799.5333333333333,5
36747,Singapore,7995.333333333333,4
37208,Singapore,19988.333333333332,10
37267,Singapore,1299.2416666666666,15
38123,Singapore,5996.5,1
38332,Singapore,199.88333333333333,1
38409,Singapore,229.8658333333333,1
38896,Singapore,10194.05,5
39179,Singapore,16990.083333333332,8
39223,Singapore,9994.166666666666,21
39243,Singapore,13991.833333333332,21
39756,Singapore,15590.900000000001,10
39824,Singapore,939.4516666666666,7
40130,Singapore,9994.166666666666,12
40349,Singapore,1026.4009166666665,13
40719,Singapore,499.7083333333333,1
41375,Singapore,699.5916666666667,7
41446,Singapore,299.825,1
41571,Singapore,5996.5,1
41605,Singapore,15990.666666666666,3
41711,Singapore,349.79583333333335,1
41740,Singapore,1399.1833333333334,9
41847,Singapore,399.76666666666665,2
41873,Singapore,449.7375,5
42591,Singapore,6995.916666666666,2
43381,Singapore,471.2249583333333,17
43829,Singapore,6596.15,6
44498,Singapore,7795.450000000001,3
44507,Singapore,7633.5445,5
44562,Singapore,499.7083333333333,6
44681,Singapore,899.475,28
45222,Singapore,699.5916666666667,11
45265,Singapore,6995.916666666666,5
46715,Singapore,299.825,10
47857,Singapore,6796.033333333334,3
47893,Singapore,1149.3291666666667,7
47914,Singapore,329.8075,6
47946,Singapore,1199.3,16
47995,Singapore,799.5333333333333,7
48838,Singapore,499.7083333333333,1
50618,Singapore,9994.166666666666,2
51396,Singapore,749.5625,3
53112,Singapore,689.5975,12
53192,Singapore,1099.3583333333333,12
53233,Singapore,439.74333333333334,1
53903,Singapore,589.6558333333332,2
54527,Singapore,419.755,1
54550,Singapore,566.369425,10
55443,Singapore,9994.166666666666,11
56839,Singapore,9994.166666666666,3
57258,Singapore,16990.083333333332,6
57780,Singapore,11993.0,5
58318,Singapore,10423.915833333333,7
58578,Singapore,1599.0666666666666,3
58615,Singapore,999.4166666666666,8
59231,Singapore,499.7083333333333,6
59713,Singapore,747.0639583333333,9
60147,Singapore,839.51,10
60232,Singapore,989.4224999999999,12
61284,Singapore,11993.0,12
62773,Singapore,14491.541666666666,9
64272,Singapore,439.74333333333334,3
65525,Singapore,7995.333333333333,4
67116,Singapore,299.825,2
67145,Singapore,13492.125,2
67232,Singapore,449.7375,1
69063,Singapore,1049.3874999999998,10
69472,Singapore,299.825,4
70169,Singapore,5496.791666666666,1
70428,Singapore,499.7083333333333,1
70895,Singapore,999.4166666666666,8
71513,Singapore,2198.7166666666667,5
71589,Singapore,3837.76,1
72470,Singapore,899.475,20
72557,Singapore,799.5333333333333,10
73053,Singapore,799.5333333333333,10
74222,Singapore,149.9125,7
74348,Singapore,5996.5,2
75265,Singapore,11993.0,17
75832,Singapore,649.6208333333333,9
75928,Singapore,11493.291666666666,9
77692,Singapore,11093.525000000001,1
79100,Singapore,8495.041666666666,10
79989,Singapore,349.79583333333335,2
81253,Singapore,799.5333333333333,15
82031,Singapore,949.4458333333333,8
82168,Singapore,599.65,7
82466,Singapore,533.6885,5
82619,Singapore,15490.958333333332,15
83373,Singapore,8874.82,4
