,Country,Monthly_Sal_EUR,EdLevel
211,Slovakia,4696.4588,Master's degree
247,Slovakia,3229.7149,Master's degree
1516,Slovakia,2495.7433,Master's degree
2281,Slovakia,7.1958,Bachelor's degree
4503,Slovakia,2935.586575,Bachelor's degree
5158,Slovakia,4403.8296,Master's degree
5991,Slovakia,2421.3867,Master's degree
6816,Slovakia,1129.7406,Bachelor's degree
7287,Slovakia,3376.0294999999996,Master's degree
8354,Slovakia,2935.8864,college/university without bachelor's degree
8919,Slovakia,3962.4872,Master's degree
10452,Slovakia,5504.287291666666,Bachelor's degree
12548,Slovakia,3229.7149,Master's degree
13230,Slovakia,5871.7728,Master's degree
14889,Slovakia,1467.9432,Master's degree
16825,Slovakia,2862.7290999999996,Master's degree
18478,Slovakia,3302.572375,Master's degree
18504,Slovakia,4403.8296,Master's degree
19131,Slovakia,1467.9432,college/university without bachelor's degree
20507,Slovakia,4403.8296,Master's degree
20878,Slovakia,470.12559999999996,Bachelor's degree
21513,Slovakia,4892.6442916666665,Bachelor's degree
21541,Slovakia,2642.0579,Master's degree
21597,Slovakia,1981.2436,Master's degree
23529,Slovakia,733.9716,Secondary school
23652,Slovakia,5626.515949999999,Master's degree
25637,Slovakia,1834.929,Master's degree
28513,Slovakia,7338.5167,Master's degree
28896,Slovakia,5871.7728,Bachelor's degree
31713,Slovakia,4256.615524999999,college/university without bachelor's degree
31764,Slovakia,4843.9727,Master's degree
32400,Slovakia,2495.7433,Master's degree
34162,Slovakia,5871.7728,Secondary school
35869,Slovakia,4550.1442,Master's degree
36065,Slovakia,1579.4780999999998,college/university without bachelor's degree
36902,Slovakia,609.6441666666667,Bachelor's degree
37661,Slovakia,1467.9432,Master's degree
38249,Slovakia,3229.7149,Secondary school
38717,Slovakia,1761.7716999999998,Bachelor's degree
39835,Slovakia,3669.858,Bachelor's degree
43072,Slovakia,3669.858,Bachelor's degree
43822,Slovakia,2201.9148,Master's degree
44409,Slovakia,3669.4582333333333,Master's degree
44593,Slovakia,3669.858,Master's degree
46491,Slovakia,2495.7433,Master's degree
48712,Slovakia,3816.1726,Master's degree
49544,Slovakia,1467.9432,Master's degree
52401,Slovakia,4696.4588,Master's degree
52686,Slovakia,2642.0579,Master's degree
53231,Slovakia,1224.2854166666666,Bachelor's degree
54544,Slovakia,4281.101233333333,Master's degree
54558,Slovakia,3669.4582333333333,Doctoral degree
55544,Slovakia,3816.1726,Master's degree
56119,Slovakia,3669.858,Doctoral degree
57333,Slovakia,1467.9432,Master's degree
57379,Slovakia,821.5205000000001,Bachelor's degree
57933,Slovakia,2935.8864,Master's degree
59272,Slovakia,1687.4151000000002,Master's degree
60660,Slovakia,1761.7716999999998,Master's degree
60719,Slovakia,3603.8965,Master's degree
62473,Slovakia,1409.1775,Primary/elementary school
64681,Slovakia,3816.1726,Doctoral degree
65740,Slovakia,5871.17315,Bachelor's degree
66010,Slovakia,4403.8296,Master's degree
68739,Slovakia,4403.8296,Doctoral degree
69009,Slovakia,1467.9432,Master's degree
70938,Slovakia,3376.0294999999996,Master's degree
71552,Slovakia,2642.0579,Secondary school
71641,Slovakia,6940.9487500000005,Secondary school
71769,Slovakia,1174.1147,Secondary school
71874,Slovakia,190.68869999999998,Primary/elementary school
71949,Slovakia,7338.5167,Master's degree
72314,Slovakia,660.8143,Primary/elementary school
73654,Slovakia,14678.2327,Associate degree
74093,Slovakia,3522.3441000000003,Master's degree
74479,Slovakia,1761.7716999999998,Secondary school
74515,Slovakia,4403.8296,Master's degree
74890,Slovakia,122.3286,Primary/elementary school
75655,Slovakia,1467.9432,Secondary school
75677,Slovakia,8806.759725,Master's degree
76606,Slovakia,2201.9148,Bachelor's degree
76719,Slovakia,1761.7716999999998,college/university without bachelor's degree
77138,Slovakia,2495.7433,Master's degree
77183,Slovakia,2201.9148,Secondary school
78162,Slovakia,10396.931583333333,Bachelor's degree
78353,Slovakia,5871.7728,Master's degree
78413,Slovakia,4696.958508333333,Master's degree
78539,Slovakia,2348.2294,Master's degree
78658,Slovakia,954.6428000000001,Master's degree
78688,Slovakia,1761.7716999999998,college/university without bachelor's degree
79192,Slovakia,1467.9432,Master's degree
79271,Slovakia,1541.1005,Secondary school
79489,Slovakia,3669.4582333333333,Secondary school
79956,Slovakia,4403.8296,college/university without bachelor's degree
80227,Slovakia,4281.101233333333,Secondary school
80235,Slovakia,1761.7716999999998,Master's degree
80347,Slovakia,7338.5167,Master's degree
82604,Slovakia,61.1643,Primary/elementary school
82996,Slovakia,1099.3583333333333,Secondary school
83267,Slovakia,7338.5167,Secondary school
83282,Slovakia,4110.0010999999995,Secondary school
84333,Slovakia,8562.102524999998,Master's degree
85401,Slovakia,2201.9148,Master's degree
