,Country,Monthly_Sal_EUR,YearsCodePro
211,Slovakia,4696.4588,6
247,Slovakia,3229.7149,3
1516,Slovakia,2495.7433,15
2281,Slovakia,7.1958,0
4503,Slovakia,2935.586575,0
5158,Slovakia,4403.8296,9
5991,Slovakia,2421.3867,18
6816,Slovakia,1129.7406,0
7287,Slovakia,3376.0294999999996,6
8354,Slovakia,2935.8864,9
8919,Slovakia,3962.4872,18
10452,Slovakia,5504.287291666666,9
12548,Slovakia,3229.7149,3
13230,Slovakia,5871.7728,15
14889,Slovakia,1467.9432,3
16825,Slovakia,2862.7290999999996,6
18478,Slovakia,3302.572375,9
18504,Slovakia,4403.8296,18
19131,Slovakia,1467.9432,0
20507,Slovakia,4403.8296,3
21513,Slovakia,4892.6442916666665,6
21541,Slovakia,2642.0579,3
21597,Slovakia,1981.2436,3
23529,Slovakia,733.9716,0
23652,Slovakia,5626.515949999999,15
25637,Slovakia,1834.929,0
28513,Slovakia,7338.5167,9
28896,Slovakia,5871.7728,3
31713,Slovakia,4256.615524999999,6
31764,Slovakia,4843.9727,12
32400,Slovakia,2495.7433,0
34162,Slovakia,5871.7728,18
35869,Slovakia,4550.1442,3
36065,Slovakia,1579.4780999999998,0
36902,Slovakia,609.6441666666667,0
37661,Slovakia,1467.9432,3
38249,Slovakia,3229.7149,3
38717,Slovakia,1761.7716999999998,0
39835,Slovakia,3669.858,12
43072,Slovakia,3669.858,6
43822,Slovakia,2201.9148,0
44409,Slovakia,3669.4582333333333,6
44593,Slovakia,3669.858,6
46491,Slovakia,2495.7433,3
48712,Slovakia,3816.1726,3
49544,Slovakia,1467.9432,12
52401,Slovakia,4696.4588,6
52686,Slovakia,2642.0579,6
53231,Slovakia,1224.2854166666666,0
54544,Slovakia,4281.101233333333,3
54558,Slovakia,3669.4582333333333,9
55544,Slovakia,3816.1726,6
56119,Slovakia,3669.858,12
57333,Slovakia,1467.9432,3
57379,Slovakia,821.5205000000001,0
57933,Slovakia,2935.8864,3
59272,Slovakia,1687.4151000000002,15
60660,Slovakia,1761.7716999999998,0
60719,Slovakia,3603.8965,9
62473,Slovakia,1409.1775,0
64681,Slovakia,3816.1726,3
65740,Slovakia,5871.17315,0
66010,Slovakia,4403.8296,6
68739,Slovakia,4403.8296,12
69009,Slovakia,1467.9432,0
70938,Slovakia,3376.0294999999996,6
71552,Slovakia,2642.0579,6
71641,Slovakia,6940.9487500000005,3
71769,Slovakia,1174.1147,0
71874,Slovakia,190.68869999999998,3
71949,Slovakia,7338.5167,6
72314,Slovakia,660.8143,0
73654,Slovakia,14678.2327,15
74093,Slovakia,3522.3441000000003,12
74479,Slovakia,1761.7716999999998,0
74515,Slovakia,4403.8296,6
74890,Slovakia,122.3286,3
75655,Slovakia,1467.9432,0
75677,Slovakia,8806.759725,12
76606,Slovakia,2201.9148,0
76719,Slovakia,1761.7716999999998,0
77138,Slovakia,2495.7433,6
77183,Slovakia,2201.9148,15
78162,Slovakia,10396.931583333333,12
78353,Slovakia,5871.7728,12
78413,Slovakia,4696.958508333333,3
78539,Slovakia,2348.2294,9
78658,Slovakia,954.6428000000001,3
78688,Slovakia,1761.7716999999998,0
79192,Slovakia,1467.9432,3
79271,Slovakia,1541.1005,3
79489,Slovakia,3669.4582333333333,3
79956,Slovakia,4403.8296,21
80227,Slovakia,4281.101233333333,9
80235,Slovakia,1761.7716999999998,15
80347,Slovakia,7338.5167,6
82604,Slovakia,61.1643,0
82996,Slovakia,1099.3583333333333,0
83267,Slovakia,7338.5167,9
83282,Slovakia,4110.0010999999995,3
84333,Slovakia,8562.102524999998,12
85401,Slovakia,2201.9148,0
