,Country,Monthly_Sal_EUR,EdLevel
323,Slovenia,1657.7060931899664,Secondary school
1178,Slovenia,3288.530465949825,Bachelor's degree
3314,Slovenia,2464.1577060931913,Master's degree
4028,Slovenia,3136.200716845875,Master's degree
4150,Slovenia,4480.2867383512585,Bachelor's degree
4284,Slovenia,1612.9032258064499,Secondary school
5692,Slovenia,2150.5376344086,Secondary school
8601,Slovenia,87.813620071685,Bachelor's degree
9229,Slovenia,2240.1433691756247,college/university without bachelor's degree
10050,Slovenia,3584.2293906809996,Master's degree
11236,Slovenia,1075.2688172043,Secondary school
11872,Slovenia,2688.17204301075,Bachelor's degree
11887,Slovenia,2365.591397849458,Bachelor's degree
11903,Slovenia,206.0931899641575,Secondary school
11913,Slovenia,1702.508960573475,Bachelor's degree
11923,Slovenia,125.448028673835,Secondary school
11940,Slovenia,10752.688172043,Master's degree
11958,Slovenia,4032.258064516125,Secondary school
11968,Slovenia,1505.376344086025,Secondary school
12014,Slovenia,1935.4838709677417,Secondary school
12214,Slovenia,4032.258064516125,college/university without bachelor's degree
12224,Slovenia,4480.2867383512585,college/university without bachelor's degree
12238,Slovenia,3225.8064516128998,Bachelor's degree
12278,Slovenia,179.21146953404997,Master's degree
12307,Slovenia,1612.9032258064499,Secondary school
12321,Slovenia,71.68458781362008,Bachelor's degree
12326,Slovenia,4301.0752688172,Master's degree
12329,Slovenia,2240.1433691756247,Secondary school
12358,Slovenia,1908.6021505376332,Bachelor's degree
12362,Slovenia,3225.8064516128998,college/university without bachelor's degree
12364,Slovenia,2150.5376344086,Bachelor's degree
12365,Slovenia,1989.2473118279581,Secondary school
12469,Slovenia,4032.258064516125,Bachelor's degree
12625,Slovenia,161.29032258064498,Bachelor's degree
12655,Slovenia,215.05376344086,college/university without bachelor's degree
12758,Slovenia,1451.6129032258082,Bachelor's degree
12773,Slovenia,1344.086021505375,Bachelor's degree
12937,Slovenia,2329.74910394265,Bachelor's degree
13039,Slovenia,2329.74910394265,Secondary school
13051,Slovenia,1344.086021505375,college/university without bachelor's degree
13497,Slovenia,1612.9032258064499,Bachelor's degree
13779,Slovenia,2150.5376344086,Bachelor's degree
14909,Slovenia,1612.9032258064499,Bachelor's degree
15146,Slovenia,2240.1433691756247,Master's degree
16363,Slovenia,3136.200716845875,Master's degree
16403,Slovenia,3763.4408602150497,Master's degree
16434,Slovenia,1075.2688172043,Secondary school
16730,Slovenia,2508.9605734767,Master's degree
16824,Slovenia,860.2150537634417,college/university without bachelor's degree
16848,Slovenia,210.57347670250914,Master's degree
16860,Slovenia,1612.9032258064499,Secondary school
16866,Slovenia,3225.8064516128998,Bachelor's degree
17027,Slovenia,3584.2293906809996,college/university without bachelor's degree
17839,Slovenia,120.96774193548416,Master's degree
17877,Slovenia,3655.9139784946246,college/university without bachelor's degree
17983,Slovenia,1792.1146953404998,college/university without bachelor's degree
18346,Slovenia,1989.2473118279581,Master's degree
19377,Slovenia,1792.1146953404998,Secondary school
20446,Slovenia,3225.8064516128998,Master's degree
21779,Slovenia,2240.1433691756247,Secondary school
21841,Slovenia,1792.1146953404998,Master's degree
23366,Slovenia,2688.17204301075,Bachelor's degree
30202,Slovenia,125.448028673835,Master's degree
30470,Slovenia,3136.200716845875,Master's degree
31446,Slovenia,1397.8494623655915,Master's degree
32903,Slovenia,4032.258064516125,Master's degree
35622,Slovenia,1075.2688172043,Bachelor's degree
41174,Slovenia,2688.17204301075,Master's degree
41181,Slovenia,3225.8064516128998,Bachelor's degree
41191,Slovenia,143.36917562724,college/university without bachelor's degree
41505,Slovenia,2240.1433691756247,Bachelor's degree
41625,Slovenia,1075.2688172043,Secondary school
41637,Slovenia,1881.7204301075249,Bachelor's degree
41769,Slovenia,2060.931899641575,college/university without bachelor's degree
42572,Slovenia,89.60573476702498,Secondary school
43875,Slovenia,2643.3691756272415,Secondary school
43883,Slovenia,2508.9605734767,Bachelor's degree
43944,Slovenia,2688.17204301075,Bachelor's degree
44091,Slovenia,4480.2867383512585,college/university without bachelor's degree
44189,Slovenia,3978.4946236559163,Bachelor's degree
46298,Slovenia,1612.9032258064499,Secondary school
46327,Slovenia,1971.3261648745497,Secondary school
46332,Slovenia,3763.4408602150497,Bachelor's degree
46350,Slovenia,2508.9605734767,Master's degree
46454,Slovenia,1075.2688172043,Secondary school
46680,Slovenia,922.9390681003583,Bachelor's degree
46813,Slovenia,1164.874551971325,Bachelor's degree
48418,Slovenia,2016.1290322580664,Secondary school
49362,Slovenia,2150.5376344086,Bachelor's degree
49761,Slovenia,5161.290322580641,Bachelor's degree
50324,Slovenia,3449.8207885304664,college/university without bachelor's degree
