,Country,Monthly_Sal_EUR,EdLevel
4,South Africa,2141.3501499999998,college/university without bachelor's degree
120,South Africa,2866.3269999999998,Bachelor's degree
200,South Africa,3706.236766666667,college/university without bachelor's degree
356,South Africa,983.426,Primary/elementary school
550,South Africa,13991.833333333332,Bachelor's degree
1130,South Africa,4744.4308,Bachelor's degree
1369,South Africa,6918.261991666666,Master's degree
1888,South Africa,2570.0999,college/university without bachelor's degree
2448,South Africa,592.4542,Secondary school
3124,South Africa,2470.757883333333,college/university without bachelor's degree
3487,South Africa,3756.2076,college/university without bachelor's degree
3561,South Africa,15812.7705,Bachelor's degree
3615,South Africa,3854.4502583333333,Bachelor's degree
3936,South Africa,4447.0044,Bachelor's degree
4029,South Africa,2174.3309,Associate degree
4267,South Africa,6918.7617,Associate degree
4328,South Africa,5765.234983333333,Bachelor's degree
4442,South Africa,691.9961,Secondary school
4681,South Africa,3756.2076,Bachelor's degree
4836,South Africa,1957.2576,Bachelor's degree
4945,South Africa,5732.6539999999995,Bachelor's degree
5176,South Africa,10673.77,college/university without bachelor's degree
5495,South Africa,9883.4313,Master's degree
5496,South Africa,2766.7851,Associate degree
5718,South Africa,7212.5902,Bachelor's degree
5863,South Africa,8565.500541666666,Doctoral degree
5874,South Africa,4605.312,Master's degree
6133,South Africa,5353.375375,Master's degree
6619,South Africa,3952.8928,Master's degree
6767,South Africa,2174.3309,Bachelor's degree
6772,South Africa,2283.4672,college/university without bachelor's degree
6915,South Africa,2223.5022,Bachelor's degree
7551,South Africa,1878.1038,Bachelor's degree
7623,South Africa,4077.62,Bachelor's degree
7781,South Africa,8793.2676,Bachelor's degree
7845,South Africa,6918.7617,Bachelor's degree
7854,South Africa,909.0694,Secondary school
7904,South Africa,1976.4464,Secondary school
7935,South Africa,1482.3347999999999,college/university without bachelor's degree
7996,South Africa,3212.9247,Bachelor's degree
8023,South Africa,1976.4464,college/university without bachelor's degree
8621,South Africa,6918.7617,Bachelor's degree
8965,South Africa,8401.0965,Master's degree
9181,South Africa,10396.831641666666,Bachelor's degree
9241,South Africa,5929.93885,Bachelor's degree
9421,South Africa,4447.0044,Bachelor's degree
9469,South Africa,2125.1596,college/university without bachelor's degree
9647,South Africa,823.619275,Secondary school
9837,South Africa,3458.7812,college/university without bachelor's degree
9900,South Africa,4150.7773,Bachelor's degree
9917,South Africa,3953.292566666667,Bachelor's degree
10003,South Africa,2964.6695999999997,Bachelor's degree
10336,South Africa,6226.7656,Bachelor's degree
10403,South Africa,2058.998216666667,college/university without bachelor's degree
10435,South Africa,10283.9975,Master's degree
10645,South Africa,6918.7617,Secondary school
10722,South Africa,2372.2154,Bachelor's degree
10758,South Africa,6522.9927,Secondary school
10836,South Africa,2766.7851,Bachelor's degree
10922,South Africa,815.524,college/university without bachelor's degree
11117,South Africa,3260.8967,Bachelor's degree
11535,South Africa,3113.3828,college/university without bachelor's degree
11667,South Africa,2470.558,Bachelor's degree
11691,South Africa,9883.231416666666,Doctoral degree
11832,South Africa,1878.1038,Bachelor's degree
13634,South Africa,1976.4464,Bachelor's degree
13693,South Africa,3162.5541,Bachelor's degree
14113,South Africa,8203.112058333332,Bachelor's degree
14330,South Africa,3705.837,college/university without bachelor's degree
14333,South Africa,988.2232,college/university without bachelor's degree
14498,South Africa,4447.0044,college/university without bachelor's degree
14613,South Africa,8401.0965,Doctoral degree
14833,South Africa,6621.3353,Doctoral degree
15173,South Africa,2381.8098,Bachelor's degree
15341,South Africa,2766.7851,No formal education
15537,South Africa,6424.05045,Bachelor's degree
16070,South Africa,5435.2276,Bachelor's degree
16452,South Africa,4159.1723999999995,Master's degree
16834,South Africa,4941.116,Bachelor's degree
16873,South Africa,3137.9684500000003,Master's degree
17489,South Africa,4282.7002999999995,Master's degree
17787,South Africa,3360.4386,Bachelor's degree
17945,South Africa,4150.7773,college/university without bachelor's degree
18092,South Africa,2519.7293,Bachelor's degree
18971,South Africa,2766.7851,Bachelor's degree
19140,South Africa,1976.4464,Bachelor's degree
19183,South Africa,2470.757883333333,Bachelor's degree
19578,South Africa,4546.5463,Bachelor's degree
20054,South Africa,3162.5541,college/university without bachelor's degree
20824,South Africa,4.7972,Bachelor's degree
21035,South Africa,4599.3155,Secondary school
21194,South Africa,1383.9922,Master's degree
21701,South Africa,6250.7516,college/university without bachelor's degree
21869,South Africa,3360.4386,Secondary school
22047,South Africa,9952.39105,college/university without bachelor's degree
22237,South Africa,4447.0044,Bachelor's degree
22524,South Africa,3162.5541,Bachelor's degree
22672,South Africa,3260.8967,college/university without bachelor's degree
22995,South Africa,3952.8928,Bachelor's degree
23281,South Africa,8895.2081,Bachelor's degree
23361,South Africa,4348.6618,Bachelor's degree
24173,South Africa,8301.5546,Bachelor's degree
24359,South Africa,8895.2081,Secondary school
24786,South Africa,1086.5657999999999,Bachelor's degree
25105,South Africa,6275.936900000001,Bachelor's degree
25116,South Africa,1778.5619,college/university without bachelor's degree
25358,South Africa,4941.116,Bachelor's degree
26738,South Africa,1284.4503,college/university without bachelor's degree
26992,South Africa,1680.2193,Associate degree
27305,South Africa,6176.994650000001,Bachelor's degree
27783,South Africa,4941.116,college/university without bachelor's degree
27976,South Africa,1729.3906,Bachelor's degree
28249,South Africa,4117.996433333334,Doctoral degree
28499,South Africa,6226.7656,college/university without bachelor's degree
29102,South Africa,3952.8928,Bachelor's degree
29131,South Africa,2964.6695999999997,Bachelor's degree
29459,South Africa,1976.4464,college/university without bachelor's degree
29513,South Africa,9389.3197,college/university without bachelor's degree
29530,South Africa,9883.231416666666,college/university without bachelor's degree
29705,South Africa,1778.5619,Secondary school
29896,South Africa,5435.2276,Bachelor's degree
29940,South Africa,2817.1557,Bachelor's degree
29949,South Africa,5929.339199999999,Master's degree
30318,South Africa,5732.6539999999995,Bachelor's degree
30405,South Africa,9883.4313,Bachelor's degree
30519,South Africa,2470.558,Bachelor's degree
30650,South Africa,8301.5546,Bachelor's degree
31009,South Africa,5549.161099999999,Master's degree
31055,South Africa,839.51,college/university without bachelor's degree
31062,South Africa,3000.6485999999995,Master's degree
31400,South Africa,988.2232,college/university without bachelor's degree
31499,South Africa,5534.769499999999,college/university without bachelor's degree
31738,South Africa,5210.9585,Master's degree
31794,South Africa,7247.669725,Bachelor's degree
31979,South Africa,3162.6540416666667,Bachelor's degree
32215,South Africa,4941.116,Bachelor's degree
32705,South Africa,6347.495133333334,Bachelor's degree
32721,South Africa,1284.4503,Bachelor's degree
32801,South Africa,2964.6695999999997,Bachelor's degree
33023,South Africa,2390.2048999999997,college/university without bachelor's degree
33224,South Africa,2668.4425,Master's degree
33342,South Africa,3013.8408999999997,Bachelor's degree
33773,South Africa,6895.974999999999,Secondary school
33870,South Africa,2964.6695999999997,college/university without bachelor's degree
33937,South Africa,4117.996433333334,Bachelor's degree
33995,South Africa,4801.597433333333,Bachelor's degree
34067,South Africa,3458.7812,Bachelor's degree
34304,South Africa,6424.6501,Secondary school
34592,South Africa,7856.614299999999,Bachelor's degree
34753,South Africa,4397.8331,Master's degree
34852,South Africa,3458.7812,Bachelor's degree
34898,South Africa,4447.0044,Secondary school
35366,South Africa,2964.6695999999997,Bachelor's degree
35565,South Africa,8499.4391,college/university without bachelor's degree
35612,South Africa,4941.116,Bachelor's degree
35914,South Africa,3409.6099,Bachelor's degree
35941,South Africa,1086.5657999999999,college/university without bachelor's degree
35972,South Africa,8235.992866666667,Bachelor's degree
36162,South Africa,988.2232,college/university without bachelor's degree
36167,South Africa,3294.377158333333,Bachelor's degree
36453,South Africa,4694.559908333333,Bachelor's degree
36835,South Africa,2174.3309,college/university without bachelor's degree
37508,South Africa,494.1116,Secondary school
37581,South Africa,2759.089591666667,Bachelor's degree
37774,South Africa,6021.685299999999,Master's degree
38491,South Africa,592.4542,Secondary school
38668,South Africa,790.3387,college/university without bachelor's degree
38777,South Africa,4735.735875,Bachelor's degree
39281,South Africa,6424.6501,college/university without bachelor's degree
39602,South Africa,3952.8928,college/university without bachelor's degree
40059,South Africa,2882.6174916666664,Bachelor's degree
40357,South Africa,3953.292566666667,Master's degree
40367,South Africa,5353.375375,Bachelor's degree
40931,South Africa,3458.7812,Bachelor's degree
41195,South Africa,2964.6695999999997,Bachelor's degree
41563,South Africa,4348.6618,Associate degree
41878,South Africa,6325.1082,college/university without bachelor's degree
42009,South Africa,3953.292566666667,Master's degree
42602,South Africa,9587.2042,Secondary school
42679,South Africa,6588.854258333334,Master's degree
42850,South Africa,3805.3789,Secondary school
42966,South Africa,5682.2834,Bachelor's degree
43730,South Africa,3458.7812,Bachelor's degree
43794,South Africa,3064.2115,Bachelor's degree
44357,South Africa,3458.7812,Secondary school
44609,South Africa,1778.5619,Secondary school
44858,South Africa,3376.7290916666666,Associate degree
44978,South Africa,2964.6695999999997,Secondary school
45201,South Africa,2635.561691666667,Bachelor's degree
45743,South Africa,4941.116,college/university without bachelor's degree
45978,South Africa,2766.7851,college/university without bachelor's degree
46065,South Africa,4295.892599999999,college/university without bachelor's degree
46941,South Africa,494.1116,Associate degree
46997,South Africa,3706.236766666667,college/university without bachelor's degree
47013,South Africa,1482.3347999999999,Secondary school
47027,South Africa,4941.116,college/university without bachelor's degree
47640,South Africa,7000.613925,Bachelor's degree
47651,South Africa,11993.0,Bachelor's degree
47736,South Africa,123.5279,college/university without bachelor's degree
48538,South Africa,3854.5502,Bachelor's degree
49405,South Africa,4250.3192,Bachelor's degree
49541,South Africa,4941.615708333333,college/university without bachelor's degree
49640,South Africa,7247.669725,Bachelor's degree
50247,South Africa,3417.9050583333337,Bachelor's degree
50292,South Africa,6720.577375000001,college/university without bachelor's degree
50340,South Africa,7412.3735916666665,Master's degree
50361,South Africa,4744.4308,Bachelor's degree
50567,South Africa,4941.615708333333,college/university without bachelor's degree
50935,South Africa,6424.05045,Secondary school
50950,South Africa,1482.3347999999999,Bachelor's degree
52033,South Africa,2396.2014,college/university without bachelor's degree
52671,South Africa,939.0519,Secondary school
53777,South Africa,3458.7812,college/university without bachelor's degree
54195,South Africa,2386.607,Bachelor's degree
54255,South Africa,6028.8811,college/university without bachelor's degree
54355,South Africa,6451.0347,Bachelor's degree
54587,South Africa,1482.3347999999999,Bachelor's degree
54734,South Africa,7206.493758333334,Bachelor's degree
54943,South Africa,2902.3059999999996,Bachelor's degree
54960,South Africa,2025.6177,college/university without bachelor's degree
55454,South Africa,2964.6695999999997,Bachelor's degree
55472,South Africa,6720.577375000001,Bachelor's degree
55593,South Africa,4941.116,Bachelor's degree
55758,South Africa,8203.212,Master's degree
56004,South Africa,6918.7617,Bachelor's degree
56186,South Africa,9685.5468,Primary/elementary school
56643,South Africa,4941.116,Bachelor's degree
56705,South Africa,4941.116,Secondary school
56810,South Africa,3360.4386,Bachelor's degree
57250,South Africa,2372.2154,Bachelor's degree
57699,South Africa,2964.6695999999997,Bachelor's degree
58032,South Africa,9263.393199999999,Bachelor's degree
58223,South Africa,2570.0999,Bachelor's degree
