,Country,Monthly_Sal_EUR,EdLevel
188,Spain,2935.586575,college/university without bachelor's degree
339,Spain,1056.5833,Master's degree
507,Spain,3424.9009749999996,college/university without bachelor's degree
735,Spain,3669.4582333333333,Bachelor's degree
745,Spain,2201.9148,Bachelor's degree
771,Spain,2201.714916666667,Master's degree
905,Spain,3302.572375,Secondary school
938,Spain,2201.714916666667,Professional degree
1039,Spain,1761.7716999999998,college/university without bachelor's degree
1106,Spain,2690.9293749999997,Bachelor's degree
1135,Spain,3265.6939,Primary/elementary school
1289,Spain,5552.958883333334,Master's degree
1859,Spain,3914.1154333333334,college/university without bachelor's degree
1871,Spain,2201.9148,Bachelor's degree
2192,Spain,3669.4582333333333,Master's degree
2264,Spain,3669.4582333333333,Bachelor's degree
2493,Spain,4281.101233333333,Master's degree
2525,Spain,3669.4582333333333,college/university without bachelor's degree
2663,Spain,4892.6442916666665,Master's degree
2785,Spain,2690.9293749999997,college/university without bachelor's degree
2969,Spain,7094.359208333333,Bachelor's degree
2978,Spain,1590.0719166666668,Bachelor's degree
3040,Spain,2568.600775,Associate degree
3070,Spain,3057.915175,Professional degree
3133,Spain,3302.572375,Associate degree
3257,Spain,4281.101233333333,college/university without bachelor's degree
3363,Spain,2935.586575,Bachelor's degree
3619,Spain,5810.008849999999,Bachelor's degree
3723,Spain,5504.287291666666,Master's degree
3868,Spain,3302.572375,Professional degree
3905,Spain,4647.987091666666,Bachelor's degree
3909,Spain,3669.4582333333333,Bachelor's degree
4108,Spain,3669.4582333333333,Doctoral degree
4311,Spain,4403.429833333334,Master's degree
4314,Spain,9785.288583333333,Bachelor's degree
4466,Spain,5565.3516500000005,college/university without bachelor's degree
4536,Spain,6604.5451,Master's degree
4600,Spain,851.5029999999999,Bachelor's degree
4651,Spain,3102.3892166666665,Primary/elementary school
4693,Spain,2813.2579749999995,Master's degree
5076,Spain,3424.9009749999996,Bachelor's degree
5188,Spain,4525.658491666667,Master's degree
5216,Spain,2568.600775,Bachelor's degree
5485,Spain,2935.586575,Master's degree
5525,Spain,5198.4657916666665,Master's degree
5637,Spain,3180.243775,college/university without bachelor's degree
5669,Spain,880.2862,college/university without bachelor's degree
5969,Spain,7950.559466666667,Bachelor's degree
6043,Spain,11008.474641666668,college/university without bachelor's degree
6137,Spain,4403.8296,Doctoral degree
6391,Spain,2348.2294,Professional degree
6489,Spain,10396.931583333333,Secondary school
6556,Spain,4281.101233333333,Bachelor's degree
6622,Spain,3180.243775,Bachelor's degree
6695,Spain,2568.600775,Master's degree
6748,Spain,6360.48755,Bachelor's degree
6849,Spain,12231.6607,college/university without bachelor's degree
