,Country,Monthly_Sal_EUR,YearsCodePro
11,Spain,4297.491666666667,5
68,Spain,5396.85,10
108,Spain,3597.9,8
300,Spain,2998.25,5
301,Spain,99.94166666666666,10
305,Spain,2598.483333333333,4
389,Spain,499.7083333333333,10
492,Spain,3198.133333333333,4
503,Spain,5996.5,20
538,Spain,1898.8916666666667,2
677,Spain,1499.125,8
681,Spain,349.79583333333335,30
834,Spain,899.475,1
1034,Spain,5396.85,20
1274,Spain,1679.02,1
1449,Spain,2998.25,4
1489,Spain,7495.625,9
1531,Spain,2998.25,7
1571,Spain,2798.366666666667,3
1693,Spain,3497.958333333333,7
1763,Spain,8994.75,13
1785,Spain,3797.6833916666665,12
1830,Spain,7995.333333333333,11
1843,Spain,6995.916666666666,13
1868,Spain,219.87166666666667,6
2122,Spain,3997.6666666666665,16
2133,Spain,2398.6,4
2166,Spain,5696.675,9
2212,Spain,2598.483333333333,7
2272,Spain,2398.6,2
2524,Spain,149.9125,5
2542,Spain,3198.133333333333,24
2668,Spain,524.6937499999999,5
2728,Spain,5496.791666666666,16
2746,Spain,119.93,5
2772,Spain,3997.6666666666665,6
3181,Spain,3398.016666666667,8
3403,Spain,129.92416666666668,1
3468,Spain,3198.133333333333,1
3542,Spain,8495.041666666666,18
3570,Spain,3647.8708333333334,2
3632,Spain,6346.295833333334,11
3935,Spain,2898.3083333333334,8
4063,Spain,6496.208333333333,20
4081,Spain,1958.8566666666666,3
4163,Spain,199.88333333333333,7
4194,Spain,1998.8333333333333,3
4233,Spain,399.76666666666665,20
4296,Spain,1898.8916666666667,1
4303,Spain,209.8775,5
4351,Spain,2098.7749999999996,3
4482,Spain,5696.675,25
4665,Spain,2798.366666666667,17
4680,Spain,5996.5,6
4749,Spain,3997.6666666666665,35
5150,Spain,6995.916666666666,9
5376,Spain,4397.433333333333,5
5378,Spain,17789.616666666665,14
5408,Spain,4797.2,2
5536,Spain,99.94166666666666,2
5694,Spain,5296.908333333333,11
5772,Spain,3697.8416666666662,14
6175,Spain,3897.7250000000004,10
6319,Spain,3198.133333333333,5
6349,Spain,134.92125,2
6582,Spain,6496.208333333333,18
6880,Spain,3897.7250000000004,15
6932,Spain,2498.5416666666665,4
7261,Spain,3997.6666666666665,5
7567,Spain,5996.5,10
7822,Spain,11193.466666666667,4
8251,Spain,189.88916666666665,4
8377,Spain,3198.133333333333,11
8411,Spain,2198.7166666666667,2
8429,Spain,6995.916666666666,10
8567,Spain,1948.8625000000002,4
8639,Spain,4067.6258333333335,8
8733,Spain,229.8658333333333,2
9046,Spain,239.86,8
9099,Spain,19988.333333333332,20
9158,Spain,5496.791666666666,8
9420,Spain,3997.6666666666665,2
11186,Spain,2998.25,5
11273,Spain,6296.325000000001,5
11278,Spain,2998.25,1
11669,Spain,4397.433333333333,4
11680,Spain,8495.041666666666,22
11775,Spain,3497.958333333333,15
11804,Spain,10993.583333333332,20
11825,Spain,2498.5416666666665,4
11997,Spain,4397.433333333333,7
12037,Spain,5496.791666666666,7
12063,Spain,2698.425,1
12250,Spain,4197.549999999999,5
12307,Spain,2998.25,4
12397,Spain,4897.141666666666,6
12471,Spain,2798.366666666667,5
12494,Spain,3398.016666666667,18
12512,Spain,3398.016666666667,4
12515,Spain,4997.083333333333,9
12638,Spain,3797.7833333333333,6
12642,Spain,4397.433333333333,5
12647,Spain,3697.8416666666662,2
12766,Spain,6995.916666666666,17
12861,Spain,3765.802,5
12922,Spain,149.9125,8
