,Country,Monthly_Sal_EUR,EdLevel
17,Sweden,4787.6056,Master's degree
26,Sweden,7256.864358333333,Master's degree
116,Sweden,6359.088366666667,Bachelor's degree
136,Sweden,5535.9688,Master's degree
173,Sweden,5984.507,Secondary school
270,Sweden,7481.233399999999,Bachelor's degree
320,Sweden,5237.3431,Bachelor's degree
796,Sweden,4189.1548999999995,Bachelor's degree
927,Sweden,4264.7108,Bachelor's degree
1069,Sweden,6732.870199999999,Bachelor's degree
1164,Sweden,5984.507,Master's degree
1381,Sweden,5087.4306,Master's degree
1607,Sweden,6434.244500000001,Master's degree
2094,Sweden,6434.244500000001,Bachelor's degree
2116,Sweden,8229.5966,Bachelor's degree
2376,Sweden,5835.7938,Bachelor's degree
2539,Sweden,3666.2601,Secondary school
2584,Sweden,7855.315058333334,Bachelor's degree
3242,Sweden,6433.844733333333,Master's degree
3414,Sweden,7181.4084,college/university without bachelor's degree
3518,Sweden,7855.414999999999,Master's degree
3558,Sweden,8229.5966,college/university without bachelor's degree
3618,Sweden,6134.4195,college/university without bachelor's degree
3667,Sweden,624.6354166666666,Bachelor's degree
3673,Sweden,7032.6952,college/university without bachelor's degree
3732,Sweden,5237.3431,Master's degree
3769,Sweden,11970.013416666665,Bachelor's degree
3842,Sweden,8752.491399999999,Bachelor's degree
3925,Sweden,6134.4195,Master's degree
4227,Sweden,5237.3431,college/university without bachelor's degree
4259,Sweden,5535.9688,Bachelor's degree
4441,Sweden,7107.051799999999,Master's degree
4818,Sweden,5147.3956,Bachelor's degree
4873,Sweden,5984.507,college/university without bachelor's degree
4895,Sweden,6733.170025,Secondary school
4986,Sweden,5984.507,Bachelor's degree
5207,Sweden,4189.1548999999995,college/university without bachelor's degree
5269,Sweden,5237.3431,Bachelor's degree
5445,Sweden,8229.5966,Bachelor's degree
5511,Sweden,6284.331999999999,Master's degree
5533,Sweden,4863.1615,Master's degree
5719,Sweden,2917.8969,Secondary school
5970,Sweden,3292.0785,Secondary school
5988,Sweden,2618.0719,Professional degree
6070,Sweden,7481.233399999999,Associate degree
6159,Sweden,7361.303400000001,Master's degree
6197,Sweden,5087.4306,Master's degree
6236,Sweden,4339.0674,Bachelor's degree
6281,Sweden,4189.1548999999995,Bachelor's degree
6392,Sweden,5984.507,Master's degree
6480,Sweden,4937.518099999999,Master's degree
6657,Sweden,7481.233399999999,college/university without bachelor's degree
6793,Sweden,3243.1070833333333,Bachelor's degree
6800,Sweden,1122.1450333333332,Bachelor's degree
6922,Sweden,5535.9688,college/university without bachelor's degree
7029,Sweden,4787.6056,Master's degree
7184,Sweden,7481.233399999999,college/university without bachelor's degree
7230,Sweden,5835.394033333334,Master's degree
7232,Sweden,6733.170025,college/university without bachelor's degree
7298,Sweden,5984.507,Primary/elementary school
7454,Sweden,10024.9487,Master's degree
7548,Sweden,7032.6952,Doctoral degree
7722,Sweden,14962.466799999998,Bachelor's degree
7871,Sweden,4488.9799,college/university without bachelor's degree
7879,Sweden,4638.8924,Bachelor's degree
7991,Sweden,5685.881299999999,Bachelor's degree
8029,Sweden,3590.7042,college/university without bachelor's degree
8148,Sweden,14962.466799999998,Master's degree
8235,Sweden,7929.7716,Master's degree
8352,Sweden,6284.331999999999,Master's degree
8385,Sweden,4787.6056,college/university without bachelor's degree
8389,Sweden,4600.5148,college/university without bachelor's degree
8616,Sweden,13167.1147,college/university without bachelor's degree
8640,Sweden,4787.6056,Master's degree
8690,Sweden,9974.977866666666,Master's degree
8710,Sweden,5476.0037999999995,Doctoral degree
8913,Sweden,7481.233399999999,college/university without bachelor's degree
9067,Sweden,5535.9688,Master's degree
