,Country,Monthly_Sal_EUR,YearsCodePro
17,Sweden,4787.6056,0
26,Sweden,7256.864358333333,12
116,Sweden,6359.088366666667,3
136,Sweden,5535.9688,3
173,Sweden,5984.507,9
270,Sweden,7481.233399999999,15
320,Sweden,5237.3431,0
796,Sweden,4189.1548999999995,0
927,Sweden,4264.7108,3
1069,Sweden,6732.870199999999,6
1164,Sweden,5984.507,9
1381,Sweden,5087.4306,0
1607,Sweden,6434.244500000001,3
2094,Sweden,6434.244500000001,6
2116,Sweden,8229.5966,6
2376,Sweden,5835.7938,3
2539,Sweden,3666.2601,0
2584,Sweden,7855.315058333334,6
3242,Sweden,6433.844733333333,3
3414,Sweden,7181.4084,6
3518,Sweden,7855.414999999999,6
3558,Sweden,8229.5966,9
3618,Sweden,6134.4195,6
3673,Sweden,7032.6952,6
3732,Sweden,5237.3431,0
3769,Sweden,11970.013416666665,9
3842,Sweden,8752.491399999999,6
3925,Sweden,6134.4195,3
4227,Sweden,5237.3431,3
4259,Sweden,5535.9688,3
4343,Sweden,5461.3123749999995,12
4441,Sweden,7107.051799999999,9
4818,Sweden,5147.3956,0
4873,Sweden,5984.507,18
4895,Sweden,6733.170025,6
4986,Sweden,5984.507,9
5207,Sweden,4189.1548999999995,0
5269,Sweden,5237.3431,3
5445,Sweden,8229.5966,3
5511,Sweden,6284.331999999999,6
5533,Sweden,4863.1615,9
5719,Sweden,2917.8969,0
5970,Sweden,3292.0785,0
5988,Sweden,2618.0719,0
6070,Sweden,7481.233399999999,18
6159,Sweden,7361.303400000001,9
6197,Sweden,5087.4306,3
6236,Sweden,4339.0674,6
6281,Sweden,4189.1548999999995,12
6392,Sweden,5984.507,3
6480,Sweden,4937.518099999999,3
6657,Sweden,7481.233399999999,18
6922,Sweden,5535.9688,6
7029,Sweden,4787.6056,0
7184,Sweden,7481.233399999999,6
7230,Sweden,5835.394033333334,12
7232,Sweden,6733.170025,21
7298,Sweden,5984.507,9
7454,Sweden,10024.9487,15
7548,Sweden,7032.6952,18
7722,Sweden,14962.466799999998,6
7871,Sweden,4488.9799,0
7879,Sweden,4638.8924,0
7991,Sweden,5685.881299999999,9
8029,Sweden,3590.7042,3
8148,Sweden,14962.466799999998,12
8235,Sweden,7929.7716,3
8352,Sweden,6284.331999999999,9
8385,Sweden,4787.6056,3
8389,Sweden,4600.5148,0
8616,Sweden,13167.1147,18
8640,Sweden,4787.6056,9
8690,Sweden,9974.977866666666,21
8710,Sweden,5476.0037999999995,6
8913,Sweden,7481.233399999999,15
9067,Sweden,5535.9688,0
9079,Sweden,5685.781358333334,6
9126,Sweden,7481.233399999999,6
9476,Sweden,3366.4350999999997,6
9581,Sweden,4488.780016666667,3
9916,Sweden,7780.45875,6
9989,Sweden,6582.9577,9
10098,Sweden,7781.0584,18
10189,Sweden,7331.3209,9
10386,Sweden,14962.466799999998,3
10389,Sweden,5984.507,6
10546,Sweden,6434.244500000001,3
10733,Sweden,6732.870199999999,9
10769,Sweden,4987.488933333333,0
10778,Sweden,3740.6166999999996,3
10867,Sweden,7481.233399999999,21
10952,Sweden,6434.244500000001,12
11291,Sweden,5386.0563,3
11414,Sweden,4937.518099999999,3
11461,Sweden,6582.9577,9
11563,Sweden,5237.3431,15
11597,Sweden,6434.244500000001,6
11712,Sweden,6732.870199999999,6
11760,Sweden,9725.1237,9
11903,Sweden,7481.233399999999,6
11966,Sweden,5237.3431,0
12357,Sweden,4787.6056,12
12597,Sweden,5805.811299999999,9
12666,Sweden,7929.7716,3
12681,Sweden,4114.7983,9
12902,Sweden,5984.507,0
13168,Sweden,5237.3431,9
13468,Sweden,5535.9688,9
13808,Sweden,4488.9799,0
13988,Sweden,5237.3431,3
