,Country,Monthly_Sal_EUR,YearsCodePro
26,Switzerland,7995.333333333333,5
83,Switzerland,359.79,7
105,Switzerland,13192.3,26
156,Switzerland,359.79,6
212,Switzerland,11993.0,22
396,Switzerland,449.7375,1
435,Switzerland,9994.166666666666,16
478,Switzerland,7995.333333333333,7
493,Switzerland,9094.691666666666,10
556,Switzerland,10993.583333333332,13
605,Switzerland,14991.25,25
758,Switzerland,12396.56445,15
1141,Switzerland,7866.408583333334,6
1280,Switzerland,6796.033333333334,2
1587,Switzerland,549.6791666666667,4
1648,Switzerland,13991.833333333332,16
1949,Switzerland,9994.166666666666,7
2106,Switzerland,14991.25,15
2271,Switzerland,10793.7,4
2290,Switzerland,9494.458333333332,32
2448,Switzerland,4997.083333333333,15
2552,Switzerland,14991.25,20
2645,Switzerland,10493.875,17
2729,Switzerland,129.92416666666668,4
2754,Switzerland,599.65,26
2947,Switzerland,10993.583333333332,10
2965,Switzerland,7495.625,6
3193,Switzerland,11793.116666666665,23
3283,Switzerland,479.72,21
3287,Switzerland,17489.791666666664,25
3563,Switzerland,499.7083333333333,1
3598,Switzerland,7995.333333333333,4
3874,Switzerland,10493.875,15
3910,Switzerland,15990.666666666666,11
4360,Switzerland,11993.0,9
4424,Switzerland,11993.0,11
4813,Switzerland,12.992416666666665,6
4935,Switzerland,10493.875,13
4939,Switzerland,11493.291666666666,1
5220,Switzerland,10493.875,2
5596,Switzerland,9994.166666666666,11
5636,Switzerland,9894.224999999999,2
5676,Switzerland,399.76666666666665,22
5854,Switzerland,399.76666666666665,2
5877,Switzerland,11493.291666666666,14
5995,Switzerland,109.93583333333333,1
6014,Switzerland,829.5158333333334,14
6162,Switzerland,9194.633333333333,6
6184,Switzerland,319.81333333333333,1
6229,Switzerland,9894.224999999999,3
6290,Switzerland,12492.708333333332,10
6409,Switzerland,1199.3,17
6484,Switzerland,699.5916666666667,2
6800,Switzerland,869.4925,6
6931,Switzerland,11993.0,9
7000,Switzerland,599.65,8
7018,Switzerland,104.93875,3
7085,Switzerland,7995.333333333333,4
7091,Switzerland,8994.75,7
7130,Switzerland,10264.009166666667,7
7289,Switzerland,14491.541666666666,7
7377,Switzerland,7995.333333333333,5
7574,Switzerland,7995.333333333333,14
7973,Switzerland,8495.041666666666,4
8083,Switzerland,11493.291666666666,6
8475,Switzerland,11493.291666666666,6
10019,Switzerland,9994.166666666666,2
10240,Switzerland,10094.108333333334,12
11061,Switzerland,10993.583333333332,15
11071,Switzerland,10993.583333333332,1
11193,Switzerland,10993.583333333332,12
11259,Switzerland,7495.625,1
11386,Switzerland,8495.041666666666,2
11440,Switzerland,11793.116666666665,16
11475,Switzerland,10693.758333333333,8
11547,Switzerland,2498.5416666666665,23
11780,Switzerland,9994.166666666666,5
11864,Switzerland,10993.583333333332,11
11910,Switzerland,479.72,7
12014,Switzerland,10194.05,4
12154,Switzerland,10194.05,8
12196,Switzerland,8994.75,2
12224,Switzerland,11993.0,8
12299,Switzerland,9994.166666666666,19
12455,Switzerland,12992.416666666666,13
12518,Switzerland,9994.166666666666,10
12548,Switzerland,15790.783333333333,10
12576,Switzerland,6396.266666666666,3
12884,Switzerland,10493.875,6
12931,Switzerland,17989.5,25
13073,Switzerland,14991.25,10
13088,Switzerland,14991.25,15
13291,Switzerland,12492.708333333332,11
13352,Switzerland,819.5216666666666,10
13358,Switzerland,10014.154999999999,4
13541,Switzerland,14991.25,15
13548,Switzerland,11993.0,12
13595,Switzerland,9494.458333333332,12
13600,Switzerland,679.6033333333332,5
13617,Switzerland,619.6383333333333,1
13680,Switzerland,9794.283333333333,5
13840,Switzerland,11993.0,9
13956,Switzerland,17689.675,19
13983,Switzerland,7495.625,21
14013,Switzerland,11993.0,5
14478,Switzerland,10293.991666666667,12
14613,Switzerland,944.44875,3
14679,Switzerland,699.5916666666667,18
14752,Switzerland,8395.099999999999,8
15087,Switzerland,13292.241666666665,24
15348,Switzerland,12992.416666666666,15
15357,Switzerland,6596.15,13
15577,Switzerland,12992.416666666666,10
15649,Switzerland,17989.5,42
15822,Switzerland,8495.041666666666,5
15836,Switzerland,699.5916666666667,1
