,Country,Monthly_Sal_EUR,YearsCodePro
2267,Taiwan,4197.549999999999,5
3340,Taiwan,14991.25,1
5541,Taiwan,7337.3174,3
8288,Taiwan,3997.6666666666665,2
8737,Taiwan,6995.916666666666,7
9323,Taiwan,4797.2,4
12670,Taiwan,3398.016666666667,1
12878,Taiwan,3997.6666666666665,2
13124,Taiwan,7495.625,8
13547,Taiwan,666.21115,10
13651,Taiwan,11.992999999999999,9
15040,Taiwan,4597.316666666667,3
16707,Taiwan,9394.516666666666,5
17459,Taiwan,4667.275833333333,1
17473,Taiwan,3997.6666666666665,5
19706,Taiwan,19988.333333333332,25
20327,Taiwan,9994.166666666666,6
21003,Taiwan,4997.083333333333,2
21641,Taiwan,7495.625,2
23436,Taiwan,2998.25,6
24923,Taiwan,3398.016666666667,1
26154,Taiwan,9494.458333333332,16
28204,Taiwan,299.825,1
28332,Taiwan,9494.458333333332,14
33758,Taiwan,369.78416666666664,9
34056,Taiwan,6496.208333333333,5
38937,Taiwan,8994.75,1
41579,Taiwan,4197.549999999999,3
42357,Taiwan,9994.166666666666,1
44201,Taiwan,4797.2,6
44339,Taiwan,4197.549999999999,4
45160,Taiwan,4597.316666666667,3
47493,Taiwan,3398.016666666667,1
50813,Taiwan,5996.5,3
51131,Taiwan,10493.875,6
52078,Taiwan,3597.9,1
52298,Taiwan,3997.6666666666665,1
57790,Taiwan,4899.1404999999995,3
58128,Taiwan,3997.6666666666665,3
58818,Taiwan,3997.6666666666665,2
60563,Taiwan,5996.5,5
60570,Taiwan,4397.433333333333,31
62831,Taiwan,249.85416666666666,3
63654,Taiwan,4997.083333333333,1
67131,Taiwan,3797.7833333333333,4
67596,Taiwan,4997.083333333333,3
69905,Taiwan,4997.083333333333,3
70695,Taiwan,4497.375,1
71161,Taiwan,5236.943333333333,3
71865,Taiwan,6496.208333333333,14
74706,Taiwan,3797.7833333333333,7
75163,Taiwan,4997.083333333333,3
75493,Taiwan,9994.166666666666,8
78792,Taiwan,6546.179166666667,1
82659,Taiwan,5796.616666666667,7
85992,Taiwan,3797.7833333333333,1
