,Country,Monthly_Sal_EUR,EdLevel
1337,Taiwan,499.7083333333333,Bachelor's degree
1907,Taiwan,5996.5,Master's degree
6275,Taiwan,5996.5,Bachelor's degree
9632,Taiwan,5996.5,Master's degree
9719,Taiwan,8994.75,Bachelor's degree
10055,Taiwan,5496.791666666666,Bachelor's degree
10481,Taiwan,3797.7833333333333,Bachelor's degree
10488,Taiwan,4997.083333333333,Bachelor's degree
14847,Taiwan,3298.075,Bachelor's degree
17306,Taiwan,5996.5,Master's degree
19072,Taiwan,5596.733333333334,Master's degree
20455,Taiwan,11993.0,Master's degree
21915,Taiwan,4497.375,Primary/elementary school
22043,Taiwan,7995.333333333333,Master's degree
22052,Taiwan,6995.916666666666,Master's degree
22250,Taiwan,3398.016666666667,Bachelor's degree
22793,Taiwan,4397.433333333333,Bachelor's degree
23142,Taiwan,7195.8,Bachelor's degree
23350,Taiwan,4997.083333333333,Bachelor's degree
24255,Taiwan,10993.583333333332,Bachelor's degree
25289,Taiwan,4697.258333333333,Bachelor's degree
30900,Taiwan,6196.383333333333,Bachelor's degree
31609,Taiwan,299.825,Master's degree
31794,Taiwan,3797.7833333333333,Bachelor's degree
32098,Taiwan,6995.916666666666,Bachelor's degree
32486,Taiwan,4297.491666666667,Bachelor's degree
32849,Taiwan,9994.166666666666,college/university without bachelor's degree
33078,Taiwan,5097.025,Bachelor's degree
34865,Taiwan,6596.15,Master's degree
35573,Taiwan,4397.433333333333,Bachelor's degree
37134,Taiwan,8994.75,Master's degree
39852,Taiwan,99.94166666666666,Bachelor's degree
41448,Taiwan,6496.208333333333,Bachelor's degree
42239,Taiwan,7995.333333333333,college/university without bachelor's degree
43791,Taiwan,3098.1916666666666,Bachelor's degree
44383,Taiwan,7595.566666666667,Bachelor's degree
44663,Taiwan,11993.0,Master's degree
45938,Taiwan,3953.892216666666,Bachelor's degree
46879,Taiwan,13991.833333333332,Master's degree
47798,Taiwan,5996.5,Bachelor's degree
47867,Taiwan,5496.791666666666,Bachelor's degree
48572,Taiwan,14271.67,Bachelor's degree
48950,Taiwan,5596.733333333334,Doctoral degree
53919,Taiwan,4997.083333333333,Bachelor's degree
55177,Taiwan,4397.433333333333,Bachelor's degree
56790,Taiwan,4.997083333333333,Master's degree
56798,Taiwan,6995.916666666666,Bachelor's degree
57176,Taiwan,4997.083333333333,Bachelor's degree
57514,Taiwan,13991.833333333332,Bachelor's degree
57705,Taiwan,4197.549999999999,college/university without bachelor's degree
57769,Taiwan,16990.083333333332,Master's degree
58060,Taiwan,8994.75,Doctoral degree
58134,Taiwan,6995.916666666666,Master's degree
58371,Taiwan,9994.166666666666,Bachelor's degree
58391,Taiwan,6496.208333333333,Bachelor's degree
58481,Taiwan,14991.25,Bachelor's degree
58502,Taiwan,3797.7833333333333,Primary/elementary school
58572,Taiwan,4997.083333333333,Master's degree
58768,Taiwan,199.88333333333333,Bachelor's degree
58816,Taiwan,11.992999999999999,Master's degree
58876,Taiwan,5796.616666666667,Bachelor's degree
58895,Taiwan,5996.5,Primary/elementary school
58964,Taiwan,41.675675,Bachelor's degree
59042,Taiwan,5496.791666666666,Bachelor's degree
59043,Taiwan,8.99475,Master's degree
59138,Taiwan,6796.033333333334,Master's degree
59183,Taiwan,7995.333333333333,Bachelor's degree
59217,Taiwan,3497.958333333333,Bachelor's degree
59306,Taiwan,4597.316666666667,Bachelor's degree
59342,Taiwan,4497.375,Master's degree
59858,Taiwan,3118.1800000000003,Bachelor's degree
60385,Taiwan,5496.791666666666,Bachelor's degree
60482,Taiwan,12492.708333333332,Master's degree
61566,Taiwan,4097.608333333334,Bachelor's degree
61782,Taiwan,5496.791666666666,Bachelor's degree
62206,Taiwan,17989.5,Master's degree
63023,Taiwan,4997.083333333333,Master's degree
63106,Taiwan,8295.158333333333,Bachelor's degree
63179,Taiwan,4117.596666666666,Bachelor's degree
64647,Taiwan,3298.075,Bachelor's degree
65518,Taiwan,3997.6666666666665,college/university without bachelor's degree
67434,Taiwan,4297.491666666667,Associate degree
67653,Taiwan,4297.491666666667,Master's degree
68557,Taiwan,6995.916666666666,Master's degree
69115,Taiwan,9994.166666666666,Bachelor's degree
70282,Taiwan,4997.083333333333,Bachelor's degree
70305,Taiwan,6995.916666666666,Bachelor's degree
70368,Taiwan,4297.491666666667,Bachelor's degree
72963,Taiwan,5796.616666666667,Doctoral degree
75071,Taiwan,3298.075,Bachelor's degree
75719,Taiwan,3597.9,Bachelor's degree
76583,Taiwan,16990.083333333332,Master's degree
80330,Taiwan,7995.333333333333,Bachelor's degree
81840,Taiwan,3298.075,Bachelor's degree
82064,Taiwan,3997.6666666666665,Bachelor's degree
82394,Taiwan,4997.083333333333,Master's degree
