,Country,Monthly_Sal_EUR,EdLevel
3861,Thailand,4997.083333333333,Master's degree
9307,Thailand,7995.333333333333,Bachelor's degree
9914,Thailand,7495.625,Bachelor's degree
10187,Thailand,14991.25,Master's degree
10353,Thailand,8994.75,Bachelor's degree
10507,Thailand,4997.083333333333,Bachelor's degree
10838,Thailand,399.76666666666665,Secondary school
11296,Thailand,8994.75,Bachelor's degree
12562,Thailand,7795.450000000001,college/university without bachelor's degree
14890,Thailand,359.79,Bachelor's degree
15663,Thailand,10993.583333333332,Associate degree
17077,Thailand,4997.083333333333,Master's degree
18251,Thailand,6646.1208333333325,Master's degree
22117,Thailand,11493.291666666666,Master's degree
22426,Thailand,6995.916666666666,Bachelor's degree
22526,Thailand,2498.5416666666665,Master's degree
22549,Thailand,16490.375,Bachelor's degree
24242,Thailand,4867.159166666666,Bachelor's degree
24469,Thailand,5396.85,Master's degree
24602,Thailand,17989.5,Bachelor's degree
26400,Thailand,19988.333333333332,Bachelor's degree
26666,Thailand,239.86,Bachelor's degree
28223,Thailand,179.895,Bachelor's degree
28697,Thailand,2998.25,Master's degree
30810,Thailand,2998.25,Bachelor's degree
31060,Thailand,809.5274999999999,Master's degree
31112,Thailand,6696.091666666667,Bachelor's degree
32287,Thailand,6296.325000000001,Master's degree
33387,Thailand,3997.6666666666665,Bachelor's degree
33733,Thailand,6995.916666666666,Bachelor's degree
34110,Thailand,13492.125,Primary/elementary school
34660,Thailand,2998.25,Bachelor's degree
35066,Thailand,1299.2416666666666,college/university without bachelor's degree
37960,Thailand,2798.366666666667,Bachelor's degree
40217,Thailand,9994.166666666666,Bachelor's degree
41474,Thailand,3597.9,Master's degree
41565,Thailand,1998.8333333333333,Bachelor's degree
44848,Thailand,4497.375,Master's degree
45108,Thailand,3997.6666666666665,Bachelor's degree
45192,Thailand,3797.7833333333333,Bachelor's degree
45286,Thailand,3997.6666666666665,Bachelor's degree
46824,Thailand,2598.483333333333,Bachelor's degree
48267,Thailand,19988.333333333332,Secondary school
48378,Thailand,9994.166666666666,Associate degree
53260,Thailand,3497.958333333333,Doctoral degree
54706,Thailand,299.825,Bachelor's degree
55260,Thailand,1998.8333333333333,Bachelor's degree
56814,Thailand,9994.166666666666,college/university without bachelor's degree
57737,Thailand,7995.333333333333,Bachelor's degree
58523,Thailand,349.79583333333335,Bachelor's degree
59026,Thailand,3298.075,Bachelor's degree
60988,Thailand,1599.0666666666666,college/university without bachelor's degree
61680,Thailand,5996.5,Bachelor's degree
62009,Thailand,5496.791666666666,Bachelor's degree
63995,Thailand,19988.333333333332,college/university without bachelor's degree
65222,Thailand,4997.083333333333,Bachelor's degree
67757,Thailand,5496.791666666666,Master's degree
67841,Thailand,2498.5416666666665,Bachelor's degree
68203,Thailand,4287.4974999999995,Bachelor's degree
69047,Thailand,2998.25,Bachelor's degree
69225,Thailand,2898.3083333333334,Bachelor's degree
72192,Thailand,9994.166666666666,college/university without bachelor's degree
72686,Thailand,5996.5,Bachelor's degree
73503,Thailand,1499.125,Master's degree
74694,Thailand,3997.6666666666665,Bachelor's degree
79121,Thailand,5996.5,Bachelor's degree
79519,Thailand,4997.083333333333,Bachelor's degree
79551,Thailand,2498.5416666666665,Secondary school
82390,Thailand,8994.75,Master's degree
82463,Thailand,5097.025,Bachelor's degree
