,Country,Monthly_Sal_EUR,YearsCodePro
2319,The former Yugoslav Republic of Macedonia,159.90666666666667,10
3047,The former Yugoslav Republic of Macedonia,2998.25,10
5428,The former Yugoslav Republic of Macedonia,3997.6666666666665,1
7357,The former Yugoslav Republic of Macedonia,3997.6666666666665,3
13112,The former Yugoslav Republic of Macedonia,3398.016666666667,10
20644,The former Yugoslav Republic of Macedonia,349.79583333333335,12
27811,The former Yugoslav Republic of Macedonia,10393.933333333332,8
28579,The former Yugoslav Republic of Macedonia,32.48104166666667,1
30073,The former Yugoslav Republic of Macedonia,109.93583333333333,5
32235,The former Yugoslav Republic of Macedonia,149.9125,15
37806,The former Yugoslav Republic of Macedonia,13991.833333333332,12
40286,The former Yugoslav Republic of Macedonia,179.895,13
42655,The former Yugoslav Republic of Macedonia,2398.6,3
43350,The former Yugoslav Republic of Macedonia,2498.5416666666665,1
43853,The former Yugoslav Republic of Macedonia,2998.25,2
44114,The former Yugoslav Republic of Macedonia,4597.316666666667,4
44753,The former Yugoslav Republic of Macedonia,299.825,7
45290,The former Yugoslav Republic of Macedonia,399.76666666666665,10
47906,The former Yugoslav Republic of Macedonia,19988.333333333332,21
49732,The former Yugoslav Republic of Macedonia,169.9008333333333,7
57110,The former Yugoslav Republic of Macedonia,3597.9,2
61169,The former Yugoslav Republic of Macedonia,13991.833333333332,10
63453,The former Yugoslav Republic of Macedonia,18289.324999999997,12
63691,The former Yugoslav Republic of Macedonia,119.93,3
68073,The former Yugoslav Republic of Macedonia,499.7083333333333,20
68459,The former Yugoslav Republic of Macedonia,11292.00915,5
69236,The former Yugoslav Republic of Macedonia,999.4166666666666,4
79650,The former Yugoslav Republic of Macedonia,99.94166666666666,4
85906,The former Yugoslav Republic of Macedonia,2598.483333333333,3
87725,The former Yugoslav Republic of Macedonia,176.69686666666666,2
