,Country,Monthly_Sal_EUR,YearsCodePro
1491,Tunisia,585.2583999999999,0
2516,Tunisia,879.0869,3
5551,Tunisia,585.2583999999999,0
7602,Tunisia,634.4296999999999,3
15527,Tunisia,1467.9432,3
26982,Tunisia,1908.0863,9
29130,Tunisia,488.1151,0
30254,Tunisia,731.573,3
31580,Tunisia,2201.9148,3
36999,Tunisia,780.7443,0
38766,Tunisia,292.62919999999997,0
40818,Tunisia,1655.0339999999999,3
45031,Tunisia,731.573,6
45184,Tunisia,733.9716,0
50631,Tunisia,731.573,0
51679,Tunisia,869.4925,3
54738,Tunisia,239.86,0
58111,Tunisia,537.2864,0
64123,Tunisia,683.6009999999999,0
65185,Tunisia,780.7443,0
69998,Tunisia,2935.8864,9
71634,Tunisia,440.1431,3
71929,Tunisia,5504.287291666666,6
73804,Tunisia,95.94399999999999,0
73933,Tunisia,5196.966666666666,3
74809,Tunisia,40.67625833333334,3
75234,Tunisia,731.573,3
81811,Tunisia,11742.3463,0
85242,Tunisia,488.1151,0
