,Country,Monthly_Sal_EUR,EdLevel
603,Tunisia,299.825,Master's degree
8147,Tunisia,139.91833333333332,Professional degree
8724,Tunisia,54.96791666666667,Associate degree
9575,Tunisia,217.87283333333335,Professional degree
11866,Tunisia,99.94166666666666,Associate degree
12255,Tunisia,149.9125,Bachelor's degree
12845,Tunisia,179.895,Bachelor's degree
13995,Tunisia,129.92416666666668,Bachelor's degree
16055,Tunisia,499.7083333333333,Master's degree
17427,Tunisia,249.85416666666666,Master's degree
18251,Tunisia,149.9125,Master's degree
22151,Tunisia,164.90375,Bachelor's degree
22790,Tunisia,94.94458333333333,Secondary school
27983,Tunisia,169.9008333333333,Master's degree
33490,Tunisia,199.88333333333333,Bachelor's degree
38222,Tunisia,84.95041666666665,Master's degree
39029,Tunisia,399.76666666666665,Master's degree
41776,Tunisia,199.88333333333333,Master's degree
41791,Tunisia,299.825,Bachelor's degree
43479,Tunisia,59.965,Bachelor's degree
49305,Tunisia,249.85416666666666,Master's degree
52413,Tunisia,179.895,Master's degree
54887,Tunisia,229.8658333333333,Bachelor's degree
55254,Tunisia,157.10829999999999,No formal education
55295,Tunisia,1299.2416666666666,Bachelor's degree
63083,Tunisia,379.7783333333333,Bachelor's degree
64115,Tunisia,2398.6,Professional degree
