,Country,Monthly_Sal_EUR,EdLevel
167,Turkey,3597.9,Master's degree
832,Turkey,953.4435,Bachelor's degree
1298,Turkey,1905.6877,Bachelor's degree
1597,Turkey,1588.5727916666667,Bachelor's degree
2035,Turkey,7338.5167,Bachelor's degree
2187,Turkey,5083.8327,Bachelor's degree
2323,Turkey,460.5312,Secondary school
2412,Turkey,3176.9457,Doctoral degree
2784,Turkey,733.9716,Secondary school
2852,Turkey,2862.7290999999996,Bachelor's degree
3071,Turkey,3819.370733333333,Bachelor's degree
3154,Turkey,1238.8769,Bachelor's degree
3160,Turkey,3812.5746999999997,Bachelor's degree
3306,Turkey,1429.5656,Bachelor's degree
3357,Turkey,1302.4398,Bachelor's degree
3510,Turkey,2541.3167,Master's degree
4459,Turkey,1589.0724999999998,Bachelor's degree
4615,Turkey,1111.7511,Bachelor's degree
4795,Turkey,1589.0724999999998,Bachelor's degree
5103,Turkey,508.5032,Associate degree
5133,Turkey,2223.5022,Master's degree
5300,Turkey,1482.3347999999999,Associate degree
5882,Turkey,1271.2579999999998,Bachelor's degree
6225,Turkey,4403.8296,Master's degree
6317,Turkey,826.3177000000001,Bachelor's degree
6414,Turkey,1636.2449666666666,Bachelor's degree
6503,Turkey,633.2303999999999,Bachelor's degree
6580,Turkey,2668.4425,Secondary school
6642,Turkey,2856.7326,Bachelor's degree
6723,Turkey,5242.1403,Bachelor's degree
6733,Turkey,1429.5656,Bachelor's degree
7061,Turkey,3298.075,Master's degree
7690,Turkey,2831.5473,Bachelor's degree
8333,Turkey,1439.16,Bachelor's degree
8366,Turkey,2541.3167,Bachelor's degree
9018,Turkey,317.81449999999995,Associate degree
9355,Turkey,3145.7639,Master's degree
9508,Turkey,4766.0181999999995,Bachelor's degree
9745,Turkey,599.65,Bachelor's degree
10110,Turkey,1905.6877,Master's degree
10205,Turkey,4448.2037,Master's degree
10360,Turkey,1429.5656,Bachelor's degree
10925,Turkey,476.12210000000005,Bachelor's degree
11195,Turkey,1683.8172,Bachelor's degree
11581,Turkey,1366.0027,Bachelor's degree
11690,Turkey,190.68869999999998,Bachelor's degree
11768,Turkey,1199.3,Bachelor's degree
11778,Turkey,2276.8710499999997,Bachelor's degree
11808,Turkey,953.4435,Bachelor's degree
11888,Turkey,1199.3,Associate degree
12228,Turkey,5871.7728,Master's degree
12350,Turkey,3176.9457,Bachelor's degree
12549,Turkey,1271.2579999999998,Bachelor's degree
13002,Turkey,4236.127483333334,Bachelor's degree
13688,Turkey,3336.4525999999996,Bachelor's degree
13896,Turkey,4500.872958333333,Bachelor's degree
14209,Turkey,4130.3892,Bachelor's degree
14283,Turkey,2118.063741666667,Bachelor's degree
14311,Turkey,4130.3892,Master's degree
14615,Turkey,3176.9457,Bachelor's degree
14713,Turkey,3176.9457,Master's degree
14869,Turkey,3494.7601999999997,Bachelor's degree
15239,Turkey,2859.1312,Bachelor's degree
15318,Turkey,3812.5746999999997,Bachelor's degree
15667,Turkey,1798.95,Master's degree
15698,Turkey,6933.1533,Bachelor's degree
15746,Turkey,2128.7574999999997,Associate degree
15800,Turkey,2859.1312,Bachelor's degree
15808,Turkey,3018.6381,Bachelor's degree
15857,Turkey,14677.932875,Bachelor's degree
16029,Turkey,2541.3167,Bachelor's degree
16124,Turkey,2604.8796,Bachelor's degree
16255,Turkey,3018.6381,Bachelor's degree
16270,Turkey,1518.3138,Bachelor's degree
16401,Turkey,2383.0090999999998,college/university without bachelor's degree
16915,Turkey,2319.4462,Bachelor's degree
17326,Turkey,4767.2175,Bachelor's degree
17386,Turkey,1057.5827166666666,Bachelor's degree
17433,Turkey,3.4979583333333335,college/university without bachelor's degree
17480,Turkey,1905.6877,Bachelor's degree
17854,Turkey,2859.1312,Master's degree
18036,Turkey,1589.0724999999998,Bachelor's degree
18769,Turkey,1543.4991,Bachelor's degree
19290,Turkey,3653.0678,Bachelor's degree
19819,Turkey,2065.1946,Bachelor's degree
20181,Turkey,2827.9494,Bachelor's degree
20228,Turkey,7195.8,Master's degree
20230,Turkey,2638.46,Bachelor's degree
20256,Turkey,1017.0064,Bachelor's degree
20301,Turkey,1747.3800999999999,Bachelor's degree
20772,Turkey,317.81449999999995,Secondary school
20902,Turkey,4403.8296,Associate degree
21018,Turkey,3176.9457,Associate degree
21042,Turkey,4766.0181999999995,Bachelor's degree
21242,Turkey,874.2896999999999,college/university without bachelor's degree
21296,Turkey,3706.6365333333333,Bachelor's degree
21441,Turkey,3176.9457,Bachelor's degree
21488,Turkey,1589.0724999999998,Bachelor's degree
21686,Turkey,4766.0181999999995,Secondary school
21692,Turkey,3494.7601999999997,Bachelor's degree
21748,Turkey,3176.9457,Master's degree
21765,Turkey,876.388475,Bachelor's degree
22553,Turkey,3176.9457,Bachelor's degree
23029,Turkey,127.1258,Secondary school
23571,Turkey,3176.9457,Master's degree
23703,Turkey,839.51,Bachelor's degree
24065,Turkey,3494.7601999999997,Master's degree
24096,Turkey,2224.001908333333,Bachelor's degree
24923,Turkey,1199.3,Bachelor's degree
25218,Turkey,2398.6,Master's degree
25302,Turkey,1905.6877,Bachelor's degree
25457,Turkey,7338.5167,college/university without bachelor's degree
25475,Turkey,4130.3892,Bachelor's degree
25897,Turkey,5051.4516,Bachelor's degree
25971,Turkey,1048.1882,Bachelor's degree
26463,Turkey,4130.3892,Bachelor's degree
26583,Turkey,3177.0456416666666,Bachelor's degree
26648,Turkey,1619.0549999999998,Bachelor's degree
26787,Turkey,1190.9049,Bachelor's degree
26820,Turkey,857.4995,Bachelor's degree
26866,Turkey,1905.6877,Bachelor's degree
26877,Turkey,1905.6877,Professional degree
27704,Turkey,6353.8914,Master's degree
27858,Turkey,3812.5746999999997,Bachelor's degree
27902,Turkey,649.6208333333333,No formal education
28229,Turkey,1589.0724999999998,Master's degree
28434,Turkey,3812.5746999999997,Master's degree
28557,Turkey,1271.2579999999998,college/university without bachelor's degree
28893,Turkey,5996.5,Bachelor's degree
29065,Turkey,5996.5,Bachelor's degree
29270,Turkey,3812.5746999999997,Bachelor's degree
29379,Turkey,2001.6317,Bachelor's degree
29484,Turkey,2223.5022,Bachelor's degree
29624,Turkey,2998.25,Bachelor's degree
29655,Turkey,1589.0724999999998,Bachelor's degree
29825,Turkey,1199.3,Bachelor's degree
29874,Turkey,1589.0724999999998,Bachelor's degree
29927,Turkey,5295.109383333333,Master's degree
30081,Turkey,4606.5113,Bachelor's degree
30251,Turkey,1944.0652999999998,Bachelor's degree
30374,Turkey,1589.0724999999998,Bachelor's degree
31177,Turkey,1905.6877,Bachelor's degree
31235,Turkey,5083.8327,Master's degree
31449,Turkey,1429.5656,Bachelor's degree
31554,Turkey,5083.8327,Master's degree
31688,Turkey,317.81449999999995,college/university without bachelor's degree
31762,Turkey,4766.0181999999995,Bachelor's degree
31878,Turkey,539.685,Bachelor's degree
32223,Turkey,4448.2037,Bachelor's degree
32459,Turkey,953.4435,Bachelor's degree
32886,Turkey,4766.0181999999995,Master's degree
33004,Turkey,762.7547999999999,Bachelor's degree
33126,Turkey,4766.0181999999995,Bachelor's degree
33311,Turkey,1238.8769,Bachelor's degree
33939,Turkey,1271.2579999999998,Bachelor's degree
34182,Turkey,1271.2579999999998,Bachelor's degree
34289,Turkey,1302.4398,Master's degree
34774,Turkey,5396.85,Bachelor's degree
34868,Turkey,2795.5683,Bachelor's degree
34935,Turkey,793.9366,Primary/elementary school
34941,Turkey,4288.6968,Master's degree
35089,Turkey,3082.201,Bachelor's degree
35092,Turkey,3238.1099999999997,college/university without bachelor's degree
35450,Turkey,2859.1312,Bachelor's degree
35651,Turkey,793.9366,Master's degree
35662,Turkey,3653.0678,Bachelor's degree
35748,Turkey,508.5032,Associate degree
36425,Turkey,3494.7601999999997,college/university without bachelor's degree
36707,Turkey,799.9331,Bachelor's degree
