,Country,Monthly_Sal_EUR,YearsCodePro
292,Turkey,1699.0083333333334,14
410,Turkey,10993.583333333332,1
550,Turkey,349.79583333333335,2
802,Turkey,399.76666666666665,3
1028,Turkey,1499.125,4
1096,Turkey,201.88216666666668,4
1367,Turkey,1049.3874999999998,5
1764,Turkey,899.475,4
2149,Turkey,369.78416666666664,2
2312,Turkey,299.825,2
2315,Turkey,1199.3,3
2868,Turkey,499.7083333333333,6
2904,Turkey,1499.125,13
3596,Turkey,424.75208333333336,5
3707,Turkey,499.7083333333333,2
3818,Turkey,699.5916666666667,2
3881,Turkey,749.5625,9
3989,Turkey,3497.958333333333,1
4210,Turkey,999.4166666666666,15
4228,Turkey,529.6908333333333,2
4270,Turkey,749.5625,2
4308,Turkey,1499.125,24
4332,Turkey,2198.7166666666667,16
4405,Turkey,1798.95,11
4713,Turkey,1599.0666666666666,9
6078,Turkey,1998.8333333333333,11
6227,Turkey,999.4166666666666,8
6228,Turkey,1469.1425,8
6289,Turkey,699.5916666666667,3
6353,Turkey,13592.066666666668,8
6439,Turkey,769.5508333333333,4
6457,Turkey,849.5041666666667,10
6672,Turkey,1249.2708333333333,18
6717,Turkey,419.755,6
6832,Turkey,999.4166666666666,2
6975,Turkey,399.76666666666665,10
7015,Turkey,799.5333333333333,2
7029,Turkey,5996.5,8
7095,Turkey,699.5916666666667,3
7167,Turkey,4997.083333333333,11
7270,Turkey,299.825,1
7325,Turkey,449.7375,2
7593,Turkey,899.475,8
7615,Turkey,7795.450000000001,4
7700,Turkey,999.4166666666666,15
7706,Turkey,349.79583333333335,1
7886,Turkey,999.4166666666666,7
7991,Turkey,999.4166666666666,4
8181,Turkey,999.4166666666666,7
8385,Turkey,729.5741666666665,3
8487,Turkey,1199.3,3
8499,Turkey,399.76666666666665,4
8521,Turkey,299.825,2
8596,Turkey,499.7083333333333,4
9111,Turkey,17589.733333333334,7
9509,Turkey,1199.3,3
9522,Turkey,1299.2416666666666,11
9546,Turkey,2498.5416666666665,9
9610,Turkey,699.5916666666667,12
9639,Turkey,1898.8916666666667,11
9700,Turkey,949.4458333333333,14
9749,Turkey,854.5012499999999,3
9788,Turkey,1099.3583333333333,5
9795,Turkey,649.6208333333333,3
9832,Turkey,3198.133333333333,13
9835,Turkey,249.85416666666666,1
9863,Turkey,259.84833333333336,1
9870,Turkey,999.4166666666666,12
9947,Turkey,1399.1833333333334,5
9959,Turkey,699.5916666666667,14
10004,Turkey,724.5770833333333,20
10053,Turkey,599.65,13
10077,Turkey,1499.125,9
10085,Turkey,899.475,5
10182,Turkey,349.79583333333335,6
10338,Turkey,1199.3,18
10396,Turkey,1798.95,20
10409,Turkey,1499.125,10
10419,Turkey,1499.125,8
10436,Turkey,8994.75,5
10446,Turkey,399.76666666666665,10
10448,Turkey,9194.633333333333,4
10494,Turkey,2198.7166666666667,4
10544,Turkey,1798.95,7
10600,Turkey,2198.7166666666667,9
10645,Turkey,374.78125,2
10887,Turkey,599.65,25
10971,Turkey,14991.25,19
11035,Turkey,999.4166666666666,8
11091,Turkey,2298.6583333333333,13
11109,Turkey,1359.2066666666665,25
11336,Turkey,479.72,2
11411,Turkey,2398.6,10
11416,Turkey,2398.6,10
11559,Turkey,799.5333333333333,3
11566,Turkey,499.7083333333333,2
11578,Turkey,1998.8333333333333,9
11742,Turkey,1199.3,1
11925,Turkey,549.6791666666667,3
12478,Turkey,799.5333333333333,2
12482,Turkey,399.76666666666665,1
12506,Turkey,699.5916666666667,4
12813,Turkey,1699.0083333333334,11
12873,Turkey,1299.2416666666666,16
13027,Turkey,1199.3,8
13203,Turkey,349.79583333333335,13
13225,Turkey,1199.3,5
13387,Turkey,1299.2416666666666,10
13772,Turkey,199.88333333333333,2
13894,Turkey,249.85416666666666,1
14427,Turkey,799.5333333333333,5
14461,Turkey,599.65,6
14570,Turkey,479.72,1
14767,Turkey,849.5041666666667,1
14946,Turkey,469.7258333333333,1
14984,Turkey,999.4166666666666,10
15018,Turkey,799.5333333333333,4
15202,Turkey,1998.8333333333333,8
15251,Turkey,299.825,1
15631,Turkey,799.5333333333333,3
15642,Turkey,669.6091666666666,3
15932,Turkey,15091.191666666668,6
15962,Turkey,899.475,6
16119,Turkey,2998.25,15
16349,Turkey,449.7375,1
16371,Turkey,769.5508333333333,3
16469,Turkey,399.76666666666665,2
16700,Turkey,1499.125,3
16729,Turkey,799.5333333333333,10
16748,Turkey,1099.3583333333333,4
16997,Turkey,899.475,3
17086,Turkey,999.4166666666666,5
17335,Turkey,499.7083333333333,2
17375,Turkey,799.5333333333333,20
17398,Turkey,1099.3583333333333,8
17401,Turkey,449.7375,2
17556,Turkey,649.6208333333333,3
17809,Turkey,1948.8625000000002,10
18217,Turkey,1199.3,1
18522,Turkey,399.76666666666665,19
19209,Turkey,1499.125,6
20441,Turkey,2298.6583333333333,11
20449,Turkey,899.475,4
20503,Turkey,999.4166666666666,7
20623,Turkey,799.5333333333333,6
20749,Turkey,1149.3291666666667,7
20758,Turkey,1049.3874999999998,4
20794,Turkey,5496.791666666666,7
20839,Turkey,959.44,6
20855,Turkey,1224.2854166666666,11
20985,Turkey,549.6791666666667,6
21095,Turkey,799.5333333333333,9
21116,Turkey,649.6208333333333,10
21150,Turkey,349.79583333333335,1
21203,Turkey,999.4166666666666,7
21228,Turkey,579.6616666666666,3
21243,Turkey,424.75208333333336,4
21279,Turkey,799.5333333333333,8
21308,Turkey,449.7375,7
21404,Turkey,2498.5416666666665,16
21416,Turkey,999.4166666666666,5
21419,Turkey,199.88333333333333,1
21457,Turkey,929.4575,4
21492,Turkey,599.65,10
22360,Turkey,909.4691666666668,3
22541,Turkey,999.4166666666666,7
22604,Turkey,349.79583333333335,4
22856,Turkey,699.5916666666667,5
22874,Turkey,599.65,2
23150,Turkey,4497.375,8
23202,Turkey,9994.166666666666,4
23231,Turkey,1499.125,10
23307,Turkey,249.85416666666666,8
23714,Turkey,424.75208333333336,1
23745,Turkey,1848.9208333333331,12
23748,Turkey,399.76666666666665,1
23842,Turkey,379.278625,1
23975,Turkey,1399.1833333333334,9
25151,Turkey,549.6791666666667,3
25162,Turkey,1199.3,9
25736,Turkey,899.475,3
26547,Turkey,499.7083333333333,1
26614,Turkey,999.4166666666666,5
26643,Turkey,599.65,10
26858,Turkey,1249.2708333333333,10
26922,Turkey,4997.083333333333,8
26950,Turkey,249.85416666666666,2
26953,Turkey,1399.1833333333334,5
27104,Turkey,869.4925,3
27114,Turkey,674.60625,19
27190,Turkey,787.0406250000001,2
27301,Turkey,1349.2125,10
27391,Turkey,1599.0666666666666,16
27549,Turkey,624.6354166666666,7
27837,Turkey,519.6966666666667,2
27901,Turkey,17989.5,10
27929,Turkey,149.9125,3
27938,Turkey,1499.125,15
28047,Turkey,1199.3,5
28048,Turkey,499.7083333333333,3
28591,Turkey,1399.1833333333334,6
28813,Turkey,1099.3583333333333,11
29041,Turkey,10493.875,2
29292,Turkey,5996.5,1
29324,Turkey,499.7083333333333,1
29536,Turkey,999.4166666666666,5
29575,Turkey,649.6208333333333,2
29738,Turkey,999.4166666666666,20
29780,Turkey,599.65,4
29797,Turkey,1349.2125,10
